Condition,Count
Intercept,4286
Previous,33
Current,37
Species,853
Stage,1542
Generation,1315
Previous:Current,21
Previous:Species,22
Current:Species,20
Previous:Stage,12
Current:Stage,12
Species:Stage,246
Previous:Generation,16
Current:Generation,28
Species:Generation,1177
Stage:Generation,221
Previous:Current:Species,18
Previous:Current:Stage,10
Previous:Species:Stage,11
Current:Species:Stage,11
Previous:Current:Generation,20
Previous:Species:Generation,21
Current:Species:Generation,28
Previous:Stage:Generation,24
Current:Stage:Generation,37
Species:Stage:Generation,534
Previous:Current:Species:Stage,11
Previous:Current:Species:Generation,18
Previous:Current:Stage:Generation,20
Previous:Species:Stage:Generation,16
Current:Species:Stage:Generation,33
Previous:Current:Species:Stage:Generation,24
