Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
128up,Acp33A,Acp33A,128up,a5,14-3-3epsilon,CG11289,C901,C901,b,CG13557,alpha-Man-Ic,alc,Arpc4,128up,Acp32CD,Acp53C14a,Acp53Ea,CG11865,C901,alc,alc,CG10803,alc,AttD,AANATL2,CG13361,C901,CG12395,arg,arg,arg
14-3-3epsilon,aqrs,aqrs,7B2,Aatf,5-HT1B,CG11327,Ccp84Ag,Ccp84Ac,bug,CG15252,Amy-d,Cdlc2,CG10195,a6,Amy-d,C901,CG13670,CG13361,CG10853,Blos1,CG11319,CG10936,alpha-Est5,CG10055,Ahcy,CG14052,CG12012,CG13670,btv,brn,CG10803
7B2,CG11327,CG10337,Ac78C,Acam,7B2,CG12539,CG12278,CG14052,CG11865,CG43244,Amy-p,CG17386,CG12934,AANATL2,Amy-p,CG11327,CG14007,CG14325,CG13557,CG14300,CG15212,CG11857,aly,CG10494,AIMP1,CG15212,CG14007,CG13771,CG13245,CG10803,CG14007
Aac11,CG12236,CG11327,ACC,ACC,a6,CG12849,CG12723,CG14317,CG12849,CG5498,awd,CG17919,CG14300,Aatf,AQP,CG12723,CG18284,CG15212,CG14052,CG14990,CG15368,CG12012,CG13245,CG12395,AlaRS,CG17959,CG15547,CG30273,CG13361,CG12309,CG15547
Aatf,CG12723,CG12395,Acp33A,Acp32CD,Aac11,CG13670,CG13712,CG15185,CG13670,dmrt93B,bam,CG2909,CG17266,Ac78C,Arpc1,CG14329,CG6984,CG1690,CG14568,CG17919,CG1690,CG12309,CG13771,CG12682,alien,CG8629,CG30091,CG30432,CG1690,CG13148,CG31988
Ac78C,CG12849,CG13500,Acp63F,Acp33A,ab,CG15020,CG14034,CG1690,CG14246,dsf,cal1,CG30054,CG17343,Acer,Arpc4,CG15020,CG8629,CG18284,CG15252,CG2909,CG2909,CG13148,CG17078,CG13245,Amy-d,CheA7a,CG30281,CG33287,CG33003,CG13658,CG34124
Acam,CG13500,CG14069,Adat1,Acp63F,Ac3,CG15564,CG14329,CG17147,CG18284,JhI-1,Cdlc2,CG4045,CG30033,Ack,Atg8b,CG15212,fln,CG31207,CG1690,CG6324,CG30091,CG14806,CG17145,CG13557,Amy-p,fln,CG31547,CG34124,CG4793,CG14806,CG34133
ACC,CG13670,CG15084,ade2,Acp65Aa,Acn,CG16782,CG15212,CG17732,CG4045,ppk21,CG10075,CG5987,CG30054,Ack-like,beat-Ia,CG1690,sphinx2,CG42264,CG3713,CG8629,CG31803,CG15547,CG2909,CG15330,arg,Tb,CG34291,CG34176,CG5267,CG14893,CG34291
AcCoAS,CG14069,CG15116,ade3,Acp76A,Acp33A,CG31226,CG15564,CG18234,CG43134,Sec15,CG10096,d,CG30090,Acph-1,BicC,CG1999,TwdlO,CG43134,CheA7a,CG9095,CG32645,CG30281,CG30273,CG15578,Arpc4,TwdlO,CG4313,CG34312,CG5987,CG15330,CG34312
Acer,CG14329,CG15330,ade5,Acsl,ade5,CG32563,CG1690,CG1999,CG6984,Send2,CG10194,fd96Cb,CG33465,Adat1,blanks,CG30265,Wdr24,CG6984,ppk21,CG9752,CG34291,CG32834,CG31803,CG15764,AsnRS,TwdlX,CG7166,CG3526,eIF2D,CG15547,CG7166
Acf,CG15116,CG17343,Adhr,Actn3,Adh,CG34224,CG31803,CG32461,tam,sphinx2,CG10211,ft,CG43244,Adhr,brv1,CG30429,NA,Wdr24,TwdlX,d,CG42269,CG34291,CG33287,CG18605,AspRS,Wdr24,CG8629,CG43331,heix,CG2528,CG8629
Ack,CG15564,CG2574,Ady43A,ACXE,adp,CG42367,CG33003,CG3345,Wdr24,TwdlX,CG10424,Ih,CG7685,AdSL,CG10075,CG32461,NA,NA,NA,Ih,CG4313,CG34433,CG34176,CG2528,Atg3,NA,Cpr49Ac,CG8629,ox,CG31988,CG9173
Ack-like,CG16771,CG30033,AGBE,Acyp,AGBE,CG43244,CG34433,CG33483,NA,NA,CG10494,niki,CG7747,Ady43A,CG10096,CG42367,NA,NA,NA,mei-W68,CG4793,CG4313,CG43134,CG30054,ATPsynGL,NA,Gos28,FLASH,qkr58E-2,CG32944,cmpy
Acn,CG18284,CG30039,agt,Adck,ago,CG8629,CG4045,CG42367,NA,NA,CG10561,Pex6,Cortactin,ago,CG10104,CG42544,NA,NA,NA,niki,CG7166,CG7166,CG5928,CG30090,awd,NA,par-6,gsb,Syn1,CG5142,Cpr49Ac
Acox57D-p,CG30039,CG30065,AhcyL2,Adgf-E,agt,CheA46a,CG42367,CG43244,NA,NA,CG10853,PGRP-SD,Cpr23B,Ahcy,CG10321,CG43376,NA,NA,NA,nompA,CG9522,Cpr49Ac,CG6984,CG30432,baf,NA,PHGPx,Ih,Tengl3,CG5290,Cyp4ac1
Acp1,CG31803,CG30090,alpha-Est1,Adh,Ahcy,Cpr76Ba,CG42544,Gas8,NA,NA,CG10916,pk,Gadd45,AIMP1,CG10469,CG8629,NA,NA,NA,opa,Cpr49Ac,Fibp,CG8712,CG32718,ball,NA,Pof,Or63a,Wdr24,CG7166,gd
Acp26Aa,CG33927,CG31659,alpha-Est3,AGBE,Akap200,mey,CG43376,HLH54F,NA,NA,CG10933,NA,GEFmeso,Akap200,CG10494,CheB53a,NA,NA,NA,park,d,fz3,COX8,CG34124,Bap111,NA,robo1,Pof,NA,CG7708,heix
Acp26Ab,CG34298,CG32241,alpha-Est5,Ahcy,akirin,Pex10,Cyp316a1,nab,NA,NA,CG11353,NA,Glo1,AlaRS,CG10565,Cyp316a1,NA,NA,NA,PHGPx,DCP1,Gas8,d,CG3526,Bap60,NA,sca,retn,NA,CG7747,PHGPx
Acp29AB,CG34433,CG34448,alpha-Est7,AhcyL2,Alas,tsg,Gr58b,sna,NA,NA,CG11362,NA,Gr64b,AlaRS-m,CG10834,NA,NA,NA,NA,Pof,Gas8,Kaz1-ORFB,Ets65A,CG5498,betaggt-II,NA,NA,Vha68-3,NA,cmpy,retn
Acp32CD,CG34448,CG42789,alphaSnap,AIMP1,alc,Tsp42Ep,l(3)mbn,TwdlX,NA,NA,CG1137,NA,Ih,Alas,CG10920,NA,NA,NA,NA,Rpb5,l(3)mbn,mTerf3,Ih,CG6550,betaNACtes6,NA,NA,Wdr24,NA,Cpr49Ac,sgll
Acp33A,CG4045,CG43244,alphaTub84D,al,Aldh,TwdlX,Osi21,NA,NA,NA,CG11674,NA,Ir21a,Aldh-III,CG11145,NA,NA,NA,NA,NA,sca,par-6,nompA,CG7024,betaTub56D,NA,NA,NA,NA,Cyp4d2,Smyd5
Acp36DE,CG42789,CG9997,Ance,Aldh,Aldh-III,NA,Spn43Aa,NA,NA,NA,CG11854,NA,PHGPx,alien,CG11269,NA,NA,NA,NA,NA,NA,PHGPx,ubl,CG9702,bic,NA,NA,NA,NA,DNApol-epsilon58,Tengl3
Acp53C14a,CG43780,Cpr23B,AnxB9,Alp1,Alg-2,NA,NA,NA,NA,NA,CG11892,NA,Pof,ALiX,CG11286,NA,NA,NA,NA,NA,NA,Pof,usp,corolla,boca,NA,NA,NA,NA,Gas8,usp
Acp53C14b,CG9997,Cpr47Ed,ApepP,alphaKap4,ALiX,NA,NA,NA,NA,NA,CG11980,NA,Rpb5,alph,CG11400,NA,NA,NA,NA,NA,NA,robo1,Wdr24,Cpr49Aa,boil,NA,NA,NA,NA,gd,Wdr24
Acp53C14c,EbpII,E(spl)malpha-BFM,aqrs,alphaTub84D,alph,NA,NA,NA,NA,NA,CG13008,NA,TwdlX,alpha-Man-Ia,CG11635,NA,NA,NA,NA,NA,NA,sca,NA,gsb,Bx42,NA,NA,NA,NA,He,NA
Acp53Ea,Gr22e,EbpII,Archease,aly,alpha-Est3,NA,NA,NA,NA,NA,CG13010,NA,TyrRII,alpha-Man-Ib,CG11980,NA,NA,NA,NA,NA,NA,Smyd5,NA,He,c12.1,NA,NA,NA,NA,Imp,NA
