gene_name,min_residue,first_quantile,median_residue,third_quantile,max_residue,res_std_err,r_square,adj_r_square,model_pvalue,f_stats,numdf,dendf
128up,-0.844986516958213,-0.0883489291286476,-0.00642116131693365,0.110312508949082,0.598386538530935,0.228392655821996,0.953002127298666,0.930237532708958,6.97129758899626e-32,41.8633472053792,31,64
14-3-3epsilon,-1.23623509019901,-0.13913149366393,0.0109723668676606,0.119850921944914,1.29957336764131,0.40021839195633,0.924973993946773,0.888633272264741,1.45149996805678e-25,25.4528240258948,31,64
4E-T,-6.77599690849471,-0.231942050583624,0.0236264625933559,0.279762419384145,7.02670253302741,2.02573294295486,0.700924801289095,0.5560602519135,5.07858655336243e-08,4.83848397907058,31,64
5-HT1B,-5.08382011399991,-0.318463377362113,2.44162329243736e-16,0.137428424431502,6.81656651810435,2.33149523023234,0.787169964907297,0.684080416659269,4.72819155457167e-12,7.63578828586393,31,64
5-HT2A,-5.85503951049354,-0.198890593237833,-1.00613961606655e-16,0.156018570639554,7.25248036712229,2.40068429708673,0.791641657596009,0.690718085494076,2.59270764579426e-12,7.84397184035905,31,64
5-HT7,-6.7182215442912,-0.258280585786087,-2.53269627492614e-16,0.268901043636559,6.92482254513211,2.92543566332061,0.685055328600258,0.532504003391008,1.93854902214221e-07,4.49065472004644,31,64
7B2,-0.706539521253893,-0.166105173970721,-0.0605258684426673,0.199285796280711,0.779137252607528,0.371243526813286,0.934482416608811,0.902747337153703,2.19147808239527e-27,29.4463550321573,31,64
a5,-8.13670952966101,-0.0826506013563039,1.23165366794353e-16,0.0504095001189922,7.55118841088776,2.67512515144459,0.858287031470573,0.789644812339131,3.51312349285136e-17,12.5037774467498,31,64
a6,-6.9672183795079,-0.155683359647729,-1.38777878078145e-17,0.135285434180869,6.71969020229039,1.5084333534772,0.938717959207359,0.909034470698423,2.75094742579175e-28,31.6242465546047,31,64
Aac11,-0.849809727707968,-0.103755946593019,-0.0121134116870945,0.0993426959107916,0.576268574838928,0.267963710970351,0.828354083359951,0.745213092487427,9.86074956045921e-15,9.96324526165471,31,64
AANATL2,-8.2083644055917,-0.158992255011835,-7.28583859910259e-17,0.170574207288271,7.6265382069851,1.74866958654234,0.899848047710164,0.851336945819775,1.02018112482163e-21,18.5493219622875,31,64
Aatf,-0.504714005901821,-0.140183800744429,0.00404943376842012,0.105107820371502,0.544418615632962,0.276324359528851,0.945000092667332,0.918359512553072,9.48468562238725e-30,35.4722040066037,31,64
ab,-6.83725890110688,-0.216654431197281,-5.53376788836601e-16,0.253914781630474,6.3955702341645,2.74963625460668,0.645285442186672,0.473470578245842,3.83865429893061e-06,3.75570208179948,31,64
abd-A,-7.31098067371227,-0.297356983402948,2.73218947466347e-16,0.278911162044264,7.61076607390497,2.84822569198403,0.680249282793184,0.525370029146133,2.85726478161711e-07,4.39212655520267,31,64
Abd-B,-6.69981730763793,-0.289572627144881,-1.29236898960272e-16,0.230705393965564,7.24848999636962,2.58577562168207,0.746324985679112,0.623451150617432,6.22038209500513e-10,6.07391301251786,31,64
abo,-7.20677028114991,-0.20862762195704,0.0209291729155274,0.21692556876604,3.76478787494163,1.56327688429332,0.430651998562657,0.154874060366443,0.0667574477478988,1.5615897391192,31,64
Ac3,-6.78623468966142,-0.190590857873003,3.30031141304588e-16,0.154909442667035,6.92448340060144,2.69229222303676,0.772525736100976,0.662342889524886,3.06415615135545e-11,7.01130675152312,31,64
Ac76E,-7.90349469494231,-0.246078764059942,0.0527973343329088,0.320220972455378,4.17633422401361,1.6737329342009,0.371510185244342,0.0670854312220707,0.247340441067859,1.22036785884095,31,64
Ac78C,-6.25998011247363,-0.435185789373954,6.12757103072692e-16,0.203314211857434,6.51364306804104,2.95438636872095,0.706113519949803,0.563762256175488,3.21090043016925e-08,4.96036003634843,31,64
Acam,-3.85913382805153,-0.378995573818895,-4.11937500356249e-17,2.01033380779802e-15,7.71826765610306,3.29392701809287,0.76650905002894,0.653411871136707,6.33935453122321e-11,6.7774373997368,31,64
ACC,-0.803608061252752,-0.219909628890887,0.0246482186419349,0.182284907415992,0.851501648826434,0.368887243222803,0.961199700711866,0.942405805744177,1.70504122403342e-34,51.1442520224974,31,64
AcCoAS,-7.02739638468626,-0.108573710609682,0.000598442512194793,0.181734265265364,4.50586097925588,1.17599676912431,0.765765283433461,0.652307842596543,6.92469481439272e-11,6.74936150317513,31,64
Acer,-1.05939551716707,-0.151133843729298,0.0332464691587234,0.156373406274828,1.67030253557754,0.427435526049338,0.853103272345641,0.78195016988806,1.01920402116767e-16,11.9896848187925,31,64
Acf,-5.95205248873429,-0.290281680972585,0.0383503186999857,0.23762937407584,3.35294330328327,1.0250808331214,0.691591314432839,0.542205857361246,1.12906135992649e-07,4.62957591716169,31,64
achi,-7.70333480858952,-0.214929134686124,0.0352804318289642,0.249013136022137,7.11394417441106,1.97916931097242,0.496894367211812,0.253202576330033,0.00820766273054516,2.03902792709529,31,64
Ack,-0.79466456506403,-0.135816694832339,-0.0133112061593158,0.159217054618299,0.729818280070857,0.335238466740642,0.845352115843761,0.770444546955582,4.65146458472597e-16,11.285269678231,31,64
Ack-like,-1.78922763509675,-0.213333745451449,0.00982910902714375,0.199601225711154,1.03428312359849,0.470282741804048,0.659855577440823,0.495098122763721,1.36122888398354e-06,4.00501196582598,31,64
Acn,-1.19274105156056,-0.155333172226356,-0.00134858888987268,0.15566357141382,0.98419274258565,0.413528073019716,0.870474175555345,0.807735104339966,2.40704882931838e-18,13.8745148548192,31,64
Acox57D-d,-6.98852166439236,-0.314866687798123,0.0450835366573165,0.330611913192798,6.80419726264545,2.90290396159079,0.626583485138725,0.445709860752795,1.33031634208106e-05,3.4642059463672,31,64
