gene_name,Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
128up,1.89226831593096e-36,1,1,0.00536711780204249,0.305225297259562,1,1,1,1,1,1,1,1,1,1.87721003572168e-05,1,1,1,1,1,1,1,1,1,1,0.468307269349946,1,1,1,1,1,1
14-3-3epsilon,1.03338624395444e-30,1,1,0.157471694350391,1,0.00372054050627736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.497551726660447,1,1,1,1,1,1
4E-T,0.0584422203491654,1,1,1,1,0.792746539690592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5-HT1B,1,1,1,1,1,0.048574091334747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.922000647481646,1,1
5-HT2A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.286154194720575,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5-HT7,1,1,1,1,1,0.289474439636659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7B2,1.46779658890434e-21,1,1,0.0112369675681246,0.641394564752146,1.24248818391843e-06,1,1,1,1,1,1,1,1,0.838074280449015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a5,0.990121480999276,1,1,1,0.00382824362815847,1,1,1,1,1,1,1,0.490888373108511,1,0.303410219032795,1,1,1,1,1,0.260456602843888,0.261440568502672,0.100637873607861,0.509688282628096,1,0.369107582463782,1,0.282841287913827,0.446759398085572,0.212033812381061,0.251423774628523,0.564224974631376
a6,0.172288623356066,1,1,1,1,1.41375806810303e-11,1,1,1,1,1,1,1,0.557458211519247,1.64771677092586e-09,1,1,1,1,1,1,1,1,1,0.986297216262594,1,1,1,1,1,1,1
Aac11,8.02302071431837e-31,1,1,0.508332828521412,1,0.00787418278451135,1,1,1,1,1,1,1,1,0.636543164285029,1,1,1,1,1,1,1,1,1,1,0.772345702074851,1,1,1,1,1,1
AANATL2,0.104702606080202,1,1,1,0.625332709986192,1,1,1,1,1,1,1,1,1,6.19481982268522e-05,1,1,1,1,1,1,1,1,1,1,0.0292818562016232,1,1,1,1,1,1
Aatf,1.59739256095974e-23,1,1,0.443712362614278,0.000777298745992392,1,1,1,1,1,1,0.248983897734353,1,1,0.000199122098916499,1,1,1,1,1,1,1,1,1,1,0.110868442994539,1,1,1,1,1,1
ab,1,1,1,1,1,0.0114086366512815,1,1,1,1,1,1,1,0.324123211051296,1,0.362438172840236,1,1,1,1,1,1,0.372426133838215,1,0.718195580533677,1,1,0.867835233499755,1,1,1,1
abd-A,1,1,1,1,1,0.720450930044592,1,1,1,1,1,1,1,0.902259044701242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Abd-B,1,1,1,1,1,0.0656747520891939,1,1,1,1,1,1,0.620064774627899,0.789046369636269,1,0.803566978866799,1,1,1,1,0.236547125580262,1,1,0.426995974541633,1,1,1,0.821647284047257,0.318651091612477,0.954684520422038,1,0.803978587824076
abo,0.765647256642117,1,1,1,1,0.0508734254763884,1,1,1,1,1,1,0.510103361038724,0.567495209460603,0.161187375869465,0.47161236067324,1,1,1,1,1,1,0.929983785767709,0.849113168126212,0.770851883100717,0.841602802307282,1,1,1,1,1,1
Ac3,1,1,1,1,1,0.000837010460582838,1,1,1,1,1,1,0.483416536642164,0.167960189766934,1,1,1,1,1,1,0.142839253569915,0.36681129274103,1,0.438054291228585,1,1,1,0.641249381770638,0.0782622837231389,0.937347205717726,1,0.737049188947909
Ac76E,0.643792781839867,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ac78C,5.26089784104782e-05,1,1,0.00879722777252782,1,1,1,1,1,1,1,1,1,1,0.0195183067362524,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992006242549219,1,1
Acam,0.000364046648269283,1,1,1,0.0012287689731108,1,1,1,1,1,1,1,1,1,1,0.374630620439233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACC,2.45996102976557e-22,1,1,0.00109647102570482,9.60518306520605e-07,0.609584222092193,1,1,1,1,1,0.206704994381452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.933246711165973
AcCoAS,3.76626768919844e-07,1,1,1,1,0.982236080014106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acer,1.82344475997237e-23,1,1,1,0.442461573482223,0.268601123872185,1,1,1,1,1,1,1,1,0.00782970780700006,1,1,1,1,1,1,1,1,1,1,0.749143826814851,1,1,1,1,1,1
Acf,0.00080939620795804,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95708710268886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.749434738263025,1,1
achi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ack,3.9330300899228e-17,1,1,1,1,0.244503132023907,1,1,1,1,1,1,1,1,0.000847622612965095,1,1,1,1,1,1,1,1,1,1,0.296589558335732,1,1,1,1,1,1
Ack-like,3.11578964964276e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,0.029939993003279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acn,9.06866125241918e-18,1,1,1,1,0.00634932707376778,1,1,1,1,1,1,1,1,0.0660364431483194,1,1,1,1,1,1,1,1,1,1,0.374143084396883,1,1,1,1,1,1
Acox57D-d,0.668307580238631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
