Condition,Count
Intercept,5485
Previous,162
Current,165
Species,1610
Stage,2283
Generation,2447
Previous:Current,141
Previous:Species,172
Current:Species,181
Previous:Stage,133
Current:Stage,127
Species:Stage,811
Previous:Generation,216
Current:Generation,339
Species:Generation,2344
Stage:Generation,838
Previous:Current:Species,156
Previous:Current:Stage,122
Previous:Species:Stage,125
Current:Species:Stage,145
Previous:Current:Generation,207
Previous:Species:Generation,257
Current:Species:Generation,320
Previous:Stage:Generation,271
Current:Stage:Generation,325
Species:Stage:Generation,1637
Previous:Current:Species:Stage,121
Previous:Current:Species:Generation,243
Previous:Current:Stage:Generation,259
Previous:Species:Stage:Generation,258
Current:Species:Stage:Generation,313
Previous:Current:Species:Stage:Generation,299
