Intercept,Previous,Current,Species,Stage,Generation,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Generation,Current:Generation,Species:Generation,Stage:Generation,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Generation,Previous:Species:Generation,Current:Species:Generation,Previous:Stage:Generation,Current:Stage:Generation,Species:Stage:Generation,Previous:Current:Species:Stage,Previous:Current:Species:Generation,Previous:Current:Stage:Generation,Previous:Species:Stage:Generation,Current:Species:Stage:Generation,Previous:Current:Species:Stage:Generation
128up,Acp26Aa,Acp26Aa,128up,128up,14-3-3epsilon,Acp26Aa,Acp26Ab,Acp26Ab,Acp33A,Acp33A,Aatf,a5,ab,128up,ab,Acp33A,Acp26Aa,Acp26Ab,Acp33A,a5,a5,a5,a5,Acp33A,128up,Acp53C14a,a5,a5,a5,a5,aly
14-3-3epsilon,Acp33A,Acp33A,14-3-3epsilon,a5,5-HT1B,Acp33A,Acp33A,Acp33A,Acp53Ea,Acp53C14b,ACC,abo,Ac3,5-HT2A,abo,Acp53C14a,Acp33A,Acp33A,Acp53C14c,Abd-B,Ac3,ab,Abd-B,Acp36DE,14-3-3epsilon,Acp53Ea,Acp53C14a,Abd-B,alc,Adf1,Ance-2
4E-T,Acp63F,Acp53Ea,7B2,Aatf,5-HT7,Acp53Ea,Acp53C14b,Adat1,aqrs,Acp53Ea,Acp33A,Ac3,Acp33A,a5,Acam,Adat1,Acp53Ea,Acp53C14c,Acp53Ea,Ac3,Acp26Ab,Acp33A,Ac3,Adf1,a5,alpha4GT1,Adf1,Ac3,alpha-Est5,Amun,Ance-4
7B2,aly,aqrs,Aac11,Acam,7B2,aqrs,Ag5r2,aqrs,b,Acp65Aa,Acp53C14c,Acp33A,Adf1,a6,Acp32CD,aqrs,AQP,Ag5r2,alpha4GT2,Acp26Aa,Acp33A,Adf1,Acp33A,AIMP3,AANATL2,AQP,alc,Acp53Ea,aly,Ance-2,Antp
a6,aqrs,Atg10,Aatf,ACC,a6,ATPsynGL,aqrs,Arpc1,Bet5,AQP,Acp53Ea,Acp63F,AlaRS,AANATL2,Acp33A,BBS1,aqrs,alpha4GT2,aqrs,Acp33A,alc,Akh,Acp53Ea,Apf,Aatf,Ccp84Af,Ance-4,alc,Ance-2,Ance-4,AQP
Aac11,Ccp84Ae,BBS1,Ac78C,Acer,Aac11,CG10337,C901,BBS1,bug,aqrs,Acp76A,alc,AlaRS-m,Aatf,Acp53Ea,C901,Bet5,aqrs,BBS1,Adf1,AnxB11,alphaTub84D,ago,AQP,Ack,CG10280,APC10,alpha-Est5,arg,arg,arg
AANATL2,Ccp84Ag,Ccp84Ac,ACC,Acox57D-p,ab,CG11289,cato,bnk,Ccp84Ac,Atg10,Adat1,alpha-Est5,alpha-Man-Ib,abo,Acp76A,Ccp84Ab,CG11289,bug,bnk,alc,aqrs,amon,alc,aqrs,Acn,CG10413,Bet1,aly,Atg17,Arpc4,Atg8b
Aatf,Cdlc2,Ccp84Ae,Acp26Ab,Acp1,Abd-B,CG11327,Ccp84Ag,C901,CG10029,BBS1,Adck,Apf,APC10,Ac78C,Adck,Ccp84Ac,CG11327,Ccp84Ag,C901,APC10,Arv1,Amun,alpha-Est3,Arpc4,Acp33A,CG10591,Bili,AQP,Atg8b,Ask1,baz
Ac78C,CecB,Cdlc2,Acp33A,Acp32CD,abo,CG11349,CG10761,Ccp84Ac,CG11113,Bet5,ade3,aqrs,Apf,Acer,agt,CG11289,CG11635,CG10029,Ccp84Ac,aqrs,Bet1,Ance-2,alpha-Est5,ATPsynF,Acp53C14c,CG11327,bou,Atac2,Bet1,AttD,BEAF-32
