gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,0.169959570127487,0.240359129129394,0.240359129129394,0.240359129129394,0.240359129129394,0.339919140254974,0.339919140254974,0.339919140254974,0.339919140254974,0.339919140254974,0.339919140254974,0.480718258258787,0.480718258258787,0.480718258258787,0.480718258258787,0.679838280509948
14-3-3epsilon,0.311764847395581,0.440902075458009,0.440902075458008,0.440902075458008,0.440902075458008,0.623529694791161,0.623529694791161,0.623529694791161,0.623529694791161,0.623529694791161,0.623529694791161,0.881804150916016,0.881804150916016,0.881804150916016,0.881804150916016,1.24705938958232
4E-T,1.647280528529,2.32960646447883,2.32960646447882,2.32960646447882,2.32960646447882,3.29456105705798,3.29456105705799,3.29456105705798,3.29456105705799,3.29456105705798,3.29456105705799,4.65921292895764,4.65921292895764,4.65921292895764,4.65921292895764,6.58912211411597
5-HT1B,1.8822443648491,2.66189550846992,2.66189550846992,2.66189550846992,2.66189550846992,3.76448872969819,3.76448872969819,3.76448872969819,3.76448872969819,3.76448872969819,3.76448872969819,5.32379101693984,5.32379101693984,5.32379101693984,5.32379101693984,7.52897745939637
5-HT2A,1.86500103776115,2.63750976144172,2.63750976144171,2.63750976144171,2.63750976144171,3.7300020755223,3.7300020755223,3.7300020755223,3.7300020755223,3.7300020755223,3.7300020755223,5.27501952288343,5.27501952288343,5.27501952288343,5.27501952288342,7.46000415104459
5-HT7,2.37364771121474,3.35684478549574,3.35684478549573,3.35684478549573,3.35684478549573,4.74729542242947,4.74729542242947,4.74729542242947,4.74729542242947,4.74729542242947,4.74729542242947,6.71368957099146,6.71368957099146,6.71368957099147,6.71368957099146,9.49459084485893
7B2,0.27261141360016,0.385530758371048,0.385530758371047,0.385530758371047,0.385530758371047,0.545222827200319,0.54522282720032,0.545222827200319,0.54522282720032,0.545222827200319,0.54522282720032,0.771061516742094,0.771061516742094,0.771061516742094,0.771061516742094,1.09044565440064
a5,1.87422616262212,2.65055605813469,2.65055605813469,2.65055605813468,2.65055605813468,3.74845232524424,3.74845232524424,3.74845232524424,3.74845232524424,3.74845232524424,3.74845232524424,5.30111211626937,5.30111211626937,5.30111211626937,5.30111211626937,7.49690465048848
a6,1.21706920559094,1.72119577689336,1.72119577689336,1.72119577689336,1.72119577689336,2.43413841118189,2.43413841118189,2.43413841118189,2.43413841118189,2.43413841118189,2.43413841118189,3.44239155378672,3.44239155378672,3.44239155378672,3.44239155378672,4.86827682236377
Aac11,0.204301719100934,0.288926261968679,0.288926261968678,0.288926261968678,0.288926261968678,0.408603438201867,0.408603438201867,0.408603438201867,0.408603438201867,0.408603438201867,0.408603438201867,0.577852523937357,0.577852523937356,0.577852523937357,0.577852523937356,0.817206876403733
