gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,1.27440089908269e-18,0.843360412923978,0.602710472648871,7.17861645433999e-09,0.710725814872525,0.998184165934188,1,0.941125188147849,1,0.925568713265861,0.753918360105318,1,1,1,0.998582989814833,1
14-3-3epsilon,1.61796275865814e-12,1,1,1,0.987538719848745,1,1,1,1,1,0.174004257705116,1,1,1,1,0.944269722709194
4E-T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5-HT1B,0.0198259157306392,0.960689017771991,0.95034760411905,0.960689017771991,0.960689017771991,1,0.641156299951163,1,0.730405764008215,1,1,1,1,0.611049993717887,0.901031998982906,1
5-HT2A,1,1,1,0.255572361958237,0.720615824429899,1,1,1,1,1,1,1,1,1,0.918832957730877,1
5-HT7,0.0933040666742585,1,0.95419866088553,1,1,1,1,1,1,0.80731299539029,1,1,0.748076838738654,1,0.718240294139791,0.768025061977357
7B2,0.000210952685170424,1,1,0.000848656240395684,0.413093387194059,1,1,0.910104936844694,0.445508355660612,0.809804247316482,1,1,0.710338479295824,0.970931971739573,0.992002209567983,0.953638601308115
a5,1,0.21360695216169,0.740992479962214,0.211138597184096,0.0102499646835789,0.0933040666742585,0.0933040666742585,0.0394007547195235,0.553737121563563,0.952191961179293,0.55092127124456,0.111113679534127,0.372959758003065,0.372959758003065,0.252280588302317,0.404863336753714
a6,5.94280490570794e-07,1,0.398273988446896,1.26789141207912e-07,1,0.701646741394669,1,0.716301305479314,1,0.729714273095883,1,0.8418862415023,0.921522893114699,1,0.972126770660198,0.966218095981658
Aac11,4.72912307134876e-13,1,1,0.0180378965919676,0.95034760411905,1,0.935043397946961,1,0.752403204502145,1,0.141155481004299,1,1,1,1,1
AANATL2,0.506722174462141,1,1,5.4128250103292e-05,0.710338479295824,1,1,1,1,1,0.0188286551700934,1,1,1,0.738968671324289,1
Aatf,4.82405321367664e-13,1,0.465007640653203,1.03575365876935e-06,0.12595325915498,1,1,1,0.910400025158461,1,0.805779421623701,1,1,1,1,1
