gene_name,Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,5.3960793494726e-30,1,0.858156919058003,1.47286970371973e-06,0.00316833511240121,1,1,0.443197064767081,1,1,0.240480276211178,0.928886953562777,1,1,1,1
14-3-3epsilon,4.61243414008983e-31,1,1,5.71300812532063e-06,0.22698455529046,1,1,0.90092248779571,1,1,0.9202918118775,1,1,1,1,1
4E-T,1.02692353829939e-20,1,1,0.324636995601066,0.895398279240787,1,1,1,0.87910688594486,1,0.843973103939232,1,1,1,1,1
5-HT1B,0.305354946604701,1,1,0.457018920805016,0.329957277873408,1,1,1,1,1,0.705384051791137,1,1,1,1,1
5-HT2A,0.648484023349,1,1,1,0.634384920131972,1,1,1,1,1,0.727134569768477,1,1,0.583550304843191,1,0.831268278037976
5-HT7,0.00820363860100189,1,1,0.0247821296202736,0.119902408245138,0.943456034164149,1,0.722443603823543,0.795660563707047,1,0.00181627916550709,0.641713940030136,1,0.950483830566753,0.537506585069352,0.994755308679577
7B2,3.07338397248275e-21,1,1,1.36312228145132e-05,0.0397177624839012,1,0.963466194772123,1,1,1,1,1,1,0.810089194656378,0.969309696725578,1
a5,0.288733313019109,1,1,1,4.10153218473347e-05,1,1,1,0.854078878638026,0.850782765912272,0.605749337548082,1,1,0.582057764731232,0.969986853647173,1
a6,3.12931280570002e-12,1,1,1,1,1,1,1,1,0.94929749390175,0.888674373698361,1,1,1,1,1
Aac11,7.10377312729908e-29,1,1,0.00307570812445301,0.699099881244558,1,0.875136141074444,1,0.82444152826434,0.992468590006767,0.352550889848283,1,0.985285466342477,0.847463427307486,1,0.771453799567395
AANATL2,2.23866957319474e-14,1,1,0.0259879166381289,8.73725235197032e-10,1,1,1,1,1,0.945952147118078,1,1,1,1,1
Aatf,7.59825182043322e-22,1,1,0.0204798264186021,6.83199851913263e-07,1,1,0.654238484510059,1,1,0.0057860961143275,1,1,1,0.719225120127976,1
ab,0.020949742591023,1,1,0.344095854716711,3.07832139598116e-07,0.96005290368551,1,0.937352498155497,1,1,0.404217422299722,0.680611495472685,1,1,1,1
abd-A,0.766165517415713,1,1,0.136774729528377,3.11802776540735e-06,1,1,1,1,1,0.0887287699501487,1,1,1,1,0.982584105626505
Abd-B,1,1,1,0.913138698636499,9.84438685657591e-06,1,1,1,1,1,0.15518668327364,1,0.949842787658979,1,1,1
abo,1.51569368120023e-10,1,1,0.165972950228025,1,1,1,1,1,1,1,1,1,1,1,1
Ac3,0.000110455857472736,1,1,0.00259064711097662,0.00242651035107524,1,1,1,1,0.908339044422047,0.376280729662015,1,0.824087204375016,1,1,0.954606283003724
Ac76E,7.44878028894394e-07,1,1,0.572790443522236,1,1,1,1,1,0.989325154060005,0.0967380426277567,1,1,1,1,1
Ac78C,3.35977598823126e-05,1,1,0.00317793208831114,0.725587315241918,1,1,1,1,1,0.954133320120634,1,1,1,1,1
Acam,2.68793020536087e-07,1,1,1,1.24332198629765e-06,1,0.86330735940967,0.906578578100647,1,1,1,1,1,1,1,1
ACC,3.54795588618287e-16,1,1,0.000587987740432637,1.99558506046788e-06,1,1,1,1,1,0.0920890558042782,0.986776932545521,1,1,0.992861179709491,0.993540663360844
AcCoAS,2.15677589439078e-25,1,1,5.20721331708704e-06,3.05871841404278e-06,1,1,1,0.914077317539826,0.745780429975598,0.370063043228338,1,1,0.411982051395765,1,1
Acer,4.5978612705304e-22,0.766035649262888,1,1,0.0172864860030109,1,0.846441550088434,1,0.833669658156172,1,1,1,1,0.929713580037943,1,1
Acf,7.48461346538425e-12,1,1,1,0.0707593253557914,1,1,1,1,1,1,1,1,1,1,0.896336276802299
achi,1.20259420074517e-05,1,1,1,0.000281936283831183,1,1,1,1,1,0.391786401956872,1,0.881592647424087,1,1,0.954739598231283
Ack,3.10229785116257e-16,1,1,0.895199211373992,1,1,1,1,1,1,0.951183342760249,1,1,1,0.935648943227994,0.650561556182186
Ack-like,1.99773123512154e-11,1,1,1,0.736874871253578,1,1,1,1,1,1,1,1,0.968040994478488,1,1
Acn,3.88561402236738e-20,1,1,0.431793945906017,1,1,1,1,1,1,0.778064100187317,1,1,0.997182147435039,1,1
Acox57D-d,3.68083930122299e-05,1,1,1,0.0272160000905487,1,1,1,1,1,1,1,1,1,1,0.541924005767736
Acox57D-p,1.06779865367162e-19,1,1,0.458176710669513,0.0373180720051054,1,1,1,1,1,1,1,1,0.803455776382675,1,1
Acp1,0.0104964350437987,1,1,1,0.0457552969380022,1,1,1,1,1,1,1,0.832050446905256,1,1,0.559674835594447
Acp24A4,0.754974221126228,1,0.526245654147535,1,0.795614323169194,0.872394673890368,1,0.908119110984999,1,0.938469310286653,0.971829015882203,1,1,1,1,1
Acp26Aa,1.55489813687376e-08,0.525621216187967,0.666482599638861,1,1,0.225027987421191,1,0.929674878945409,0.849696126589742,0.929674878945409,1,1,0.596366489389899,1,1,1
Acp26Ab,1.43496463588648e-05,0.722753386027944,0.795578373808426,0.631875556814295,1,1,0.302102382439968,0.342768635090328,0.958265438014221,0.995025509178858,0.912823439017016,0.741519598717576,1,0.679023376501265,0.716374326227573,0.967453449134655
Acp29AB,1.0078644121527e-05,1,1,1,0.840215014735543,1,1,1,1,1,1,1,1,0.833471010375639,1,1
Acp32CD,2.01508897733567e-08,0.355064229486217,1,0.355064229486217,3.06440906844666e-06,1,0.727453577144189,1,0.820063036795898,1,0.65270353720049,1,1,0.924558692750924,1,1
Acp33A,0,0.0673450851809869,0.0673450851809869,0.0673450851809869,0.0673450851809869,0.329957277873408,0.329957277873408,0.329957277873408,0.329957277873408,0.329957277873408,0.329957277873408,0.705384051791137,0.705384051791137,0.705384051791137,0.705384051791137,0.950483830566753
Acp36DE,4.13063012443321e-10,1,1,1,0.0669649479279593,0.949499760418152,1,1,1,0.329957277873408,0.329957277873408,1,1,1,0.705384051791137,1
Acp53C14a,3.1857801861598e-11,1,1,1,1,1,1,1,1,1,1,0.0678731904265903,1,1,1,0.331314981285485
Acp53C14b,0.00230544301789979,0.71035521470726,0.71035521470726,0.71035521470726,0.71035521470726,0.953219332463937,0.333101920354018,0.953219332463937,0.953219332463937,0.413661290460966,0.953219332463937,1,0.772497303566775,0.707919583465122,0.772497303566775,1
Acp53C14c,0.000408498122675619,0.7325139369175,1,0.7325139369175,0.7325139369175,1,0.963124825202857,1,0.963124825202857,0.977375746268491,0.308709713019614,1,0.707304223717099,0.685218945404524,0.700688260976241,1
Acp53Ea,6.78193449186485e-05,0.900487331410584,0.21294454865072,1,0.1982340783029,0.171245096188462,1,0.58120444873955,0.162513360935113,0.146260257094795,0.561873689021632,0.941934145392529,0.0172877918392196,0.932672071751002,0.48535737181112,0.358613508947208
Acp63F,2.08860481870539e-05,0.00143101899647332,0.225293757500223,3.10749063540522e-05,2.58226527334209e-05,0.515496069361227,0.0699106561811619,0.538380177270801,0.0301891596499886,0.733664366413015,0.0340947952998437,0.834479448113872,0.949240040589003,0.260226441774706,0.924087566444332,1
Acp65Aa,0.000181880267383973,1,1,1,4.72443563571798e-09,1,1,1,0.878341348115621,0.59993522353285,1,1,1,0.979947750711915,0.927396505821424,1
Acp76A,5.1275798231413e-06,1,1,1,0.00148805503335349,1,1,1,1,1,0.223140944530297,1,1,1,1,1
Acph-1,2.49359934836206e-21,1,1,0.912964542700231,1,1,1,0.968989666950219,1,1,1,1,1,1,0.873735287344777,1
Acsl,2.51816713207643e-25,1,1,0.344838083585885,7.69713873989262e-06,1,1,1,1,1,0.495968099265851,1,1,1,1,1
Act42A,3.0884836589018e-26,1,1,0.783979986294603,6.25021260642063e-07,1,0.997807378925055,0.834391209963041,0.990238105660962,0.869549840755201,1,1,0.846449437480612,1,0.717528928805124,0.65267413505491
Actn3,2.85377698563855e-27,1,1,1,2.77309055245565e-25,1,1,1,1,1,0.665538201268701,1,1,1,1,1
ACXD,8.58507104152881e-07,0.932957020386052,1,0.152637040219974,0.0199633529603469,1,0.732725732110191,1,0.94741492607387,1,0.744092494986289,0.96748354011949,1,0.889666980147938,1,1
ACXE,9.67243931601351e-16,1,1,1,1.08562036416402e-13,0.44948634012651,1,1,1,1,0.919598472823399,0.797687308309372,0.78585123208225,1,1,0.985518770082157
Acyp,1.82325068791715e-24,1,1,1,8.89198816973575e-23,1,1,1,1,1,1,1,1,1,1,1
Ada2a,7.32844957170091e-24,1,1,5.39432881336564e-14,0.161705784443083,1,1,1,1,1,0.0670850781646236,1,1,1,1,1
Adat1,9.78374519470747e-33,1,1,6.71709116603349e-29,1,1,0.912823439017016,0.370740621447771,1,1,0.30017143539541,0.52534642745563,1,1,0.98277795620617,0.953425869390094
Adck,0.331662614130211,1,1,1,2.7262940768585e-06,1,1,1,1,0.0604286451973591,0.00322074781494948,1,0.92679138341799,1,0.293602019038426,1
ADD1,6.8619455174235e-12,1,1,0.835180702331198,1,1,1,1,1,1,1,1,1,1,1,1
ade2,8.40565368885389e-24,1,1,5.28130219499431e-06,0.373969048356777,1,0.966178611161828,1,1,1,0.0183910208734503,0.938469310286653,1,1,1,1
ade3,3.01754701765843e-23,1,1,1.12755400962606e-06,0.0839234686442223,1,1,1,1,1,0.00722617901787692,0.97583756750036,1,0.954739598231283,0.658564532297589,1
ade5,4.39783450562915e-28,1,1,2.92553027898248e-08,7.96923102669171e-05,1,1,1,1,1,0.00433781912470764,1,1,1,1,1
Adf1,4.58873675244382e-22,1,1,1,0.81286416625207,1,1,0.985601503361058,1,1,1,1,1,1,1,0.958422140891374
