Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
128up,Acp33A,Acp33A,128up,128up,Acp26Aa,Acp26Ab,al,Acp53Ea,Acp53Ea,128up,Acp53C14a,Acp53Ea,Acp63F,Adck,AdoR
14-3-3epsilon,Acp63F,Acp53Ea,14-3-3epsilon,14-3-3epsilon,Acp53Ea,Acp63F,AsnRS,Acp63F,Adck,5-HT7,Archease,AP-2sigma,Ag5r2,AdoR,alpha4GT1
4E-T,Adgf-E,Acp63F,5-HT7,5-HT7,antr,AdoR,Atf-2,al,AkhR,Aatf,BBS1,CG10669,APC7,alpha4GT1,amd
5-HT1B,al,Adgf-E,7B2,7B2,Archease,Ag5r2,BBS1,aly,Alp1,abd-A,Bet1,CG11289,btv,APC7,AP-2sigma
5-HT7,aly,al,Aac11,a5,ATPsynGL,al,betaggt-I,Atet,AP-2sigma,Abd-B,Brms1,CG11327,bug,Atf-2,APC7
7B2,aqrs,Alp1,AANATL2,AANATL2,CG10298,aly,bnk,b,Atg3,Ac76E,C901,CG11796,CG10226,Atg3,AQP
a5,Archease,aqrs,Aatf,Aatf,CG10481,Bet1,C901,b6,Atx-1,ACC,CadN2,CG12035,CG10584,babos,arg
a6,Arp53D,Archease,abd-A,ab,CG11289,betaggt-I,CaBP1,babos,babos,Acp53C14c,Ccp84Ab,CG12395,CG10761,BBS1,Atg3
Aac11,beta-Man,Atx-1,abo,abd-A,CG11327,Brms1,Ccp84Ab,btv,blow,Acp63F,Ccp84Ac,CG12539,CG10911,beat-IIIa,Atg5
AANATL2,Cdlc2,Cdlc2,Ac3,Abd-B,CG12020,C901,Ccp84Ac,bug,Cerk,Acp76A,CG10151,CG12769,CG10996,C1GalTA,ATP7
Aatf,CecB,CG10337,Ac78C,Ac3,CG12035,Ccp84Ab,CG10151,bwa,CG10062,Ada2a,CG10298,CG13008,CG11583,C901,Atxn7
ab,CG10332,CG10459,ACC,Acam,CG12236,Ccp84Ag,CG10459,CalpA,CG10912,Adat1,CG10570,CG13204,CG11865,Cerk,C1GalTA
abo,CG10669,CG10494,AcCoAS,ACC,CG12263,CG10761,CG10470,CG10029,CG10934,Adck,CG10584,CG13284,CG12182,CG10151,caix
Ac3,CG10761,CG10764,Acp33A,AcCoAS,CG12395,CG10933,CG10510,CG10237,CG10970,ade2,CG11289,CG13670,CG12325,CG10338,Ccp84Ab
Ac76E,CG10996,CG10869,Acp63F,Acer,CG12539,CG10996,CG10570,CG10324,CG11327,ade3,CG11327,CG13876,CG12909,CG10413,cDIP
Ac78C,CG11289,CG11289,ACXD,Acf,CG12661,CG11294,CG10730,CG10466,CG11601,ade5,CG11362,CG13972,CG13154,CG10469,Cerk
Acam,CG11327,CG11327,Ada2a,achi,CG12849,CG11327,CG10933,CG10505,CG11841,adp,CG12078,CG14007,CG13227,CG10721,CG10031
ACC,CG11349,CG11349,Adat1,Acox57D-d,CG13008,CG11362,CG11289,CG10761,CG12263,Ahcy,CG12309,CG14300,CG13361,CG10853,CG10280
AcCoAS,CG11581,CG12035,ade2,Acox57D-p,CG13168,CG11382,CG11362,CG10912,CG12341,AhcyL2,CG12376,CG14327,CG13692,CG10933,CG10413
Acer,CG11629,CG12081,ade3,Acp1,CG13202,CG11406,CG11470,CG11085,CG12395,AIMP3,CG12395,CG14339,CG14034,CG1103,CG10435
Acf,CG11777,CG12263,ade5,Acp32CD,CG13284,CG12009,CG11563,CG11327,CG12772,AkhR,CG12723,CG14488,CG14052,CG11127,CG10469
achi,CG12009,CG12347,Adgf-E,Acp33A,CG13359,CG12236,CG12078,CG11539,CG12831,al,CG12860,CG14545,CG14086,CG1129,CG10483
Ack,CG12069,CG12395,Adh,Acp36DE,CG13670,CG12278,CG12309,CG11629,CG12866,Alas,CG12911,CG1461,CG14246,CG11362,CG10591
Ack-like,CG12236,CG12661,Adhr,Acp53Ea,CG13876,CG12376,CG12395,CG11865,CG12910,Aldh-III,CG13008,CG14826,CG14325,CG11550,CG10639
Acn,CG12347,CG12682,AdoR,Acp63F,CG14007,CG12395,CG12607,CG1213,CG13175,alien,CG13010,CG15036,CG14346,CG11601,CG10669
Acox57D-d,CG12395,CG12831,adp,Acp65Aa,CG14300,CG12723,CG12684,CG12236,CG13204,Alk,CG13117,CG15233,CG14495,CG11882,CG10933
Acox57D-p,CG12682,CG12866,ADPS,Acp76A,CG14329,CG13010,CG12693,CG12395,CG13557,Alp4,CG13164,CG15394,CG14545,CG12078,CG1103
Acp1,CG12723,CG13008,AdSL,Acsl,CG14339,CG13168,CG12698,CG12398,CG13658,alpha-catenin-related,CG13168,CG15539,CG14607,CG12116,CG1105
Acp26Aa,CG12783,CG13137,Ady43A,Act42A,CG14354,CG13202,CG12883,CG12769,CG13707,alpha-Est10,CG1340,CG15905,CG14881,CG12239,CG11149
Acp26Ab,CG12849,CG13442,Ag5r2,Actn3,CG14488,CG13227,CG13008,CG12849,CG13806,alpha-Est3,CG13692,CG17140,CG15212,CG12309,CG11178
Acp29AB,CG12911,CG13500,AGBE,ACXD,CG14787,CG13516,CG13010,CG12911,CG13887,alpha-Est6,CG13721,CG17821,CG15239,CG12333,CG1129
Acp32CD,CG12917,CG13692,agt,ACXE,CG14905,CG13564,CG13117,CG13077,CG13912,alpha-Est7,CG13876,CG17959,CG15336,CG12341,CG11327
Acp33A,CG13127,CG13887,Ahcy,Acyp,CG15020,CG13587,CG13160,CG13202,CG13972,alpha-Man-Ic,CG13887,CG18284,CG15394,CG12395,CG11362
Acp36DE,CG13137,CG13989,AhcyL1,Ada2a,CG15084,CG1360,CG13164,CG13284,CG14300,alpha-PheRS,CG13926,CG18301,CG1550,CG12413,CG11474
Acp53C14a,CG13202,CG14069,AhcyL2,Adck,CG15233,CG13692,CG13250,CG13578,CG1461,alpha-Spec,CG14007,CG2113,CG15615,CG12772,CG11593
Acp53C14b,CG13359,CG14297,AIMP3,ade3,CG15564,CG13712,CG13272,CG13670,CG14826,Als2,CG14052,CG2837,CG15701,CG12910,CG11796
Acp53C14c,CG13375,CG14300,Ak6,ade5,CG15579,CG13887,CG1340,CG13989,CG14971,aly,CG14086,CG30065,CG15725,CG12963,CG12004
