Names	total	elements
Current Previous Species Stage	3	CG42585
		CG5110
		al
Current Species Stage	10	Gr61a
		CG15084
		Sr-CIII
		CG3803
		CG15330
		CG30385
		CngB
		Porin2
		CG30287
		CG31909
Previous Species Stage	8	Acp63F
		CG7848
		CG31122
		GstE2
		glob2
		aly
		CG9970
		CG31803
Current Previous Stage	4	CG12395
		CG32572
		TwdlW
		CG11327
Current Previous Species	1	CG31097
Species Stage	1339	CG15879
		CG12991
		Vps28
		PGRP-SA
		CG13220
		Phax
		CRIF
		CG32267
		fh
		Drat
		mRpL17
		CG3700
		CG1129
		Npc1a
		CG13704
		Hydr1
		pdm3
		CNT1
		CG9899
		CG5482
		Sod2
		CG4324
		cyc
		CG5262
		CG12730
		CG34112
		Trp1
		DIP1
		CG31954
		CG16995
		CG5541
		CG13877
		Cht2
		godzilla
		CG12766
		CG5059
		dj
		Rcp
		CG8525
		Gip
		CG8891
		Pmm45A
		NimB2
		vri
		Dbp21E2
		Tim23
		Chmp1
		CG12375
		CG10932
		CG15098
		jbug
		CG30002
		fj
		Adh
		CG5687
		CG3328
		CG6115
		CG2604
		CG14817
		CG2811
		CG4415
		CG2767
		SP2637
		CG14186
		RabX4
		CG34453
		CG31548
		euc
		CG4269
		p38b
		RhoGDI
		CG10623
		CG13566
		Gp93
		Prpk
		CHMP2B
		ND-39
		mRpS25
		CG32795
		grnd
		Gk2
		msl-2
		CG40813
		Lsm10
		JhI-26
		CG15343
		Cpr49Af
		CG32700
		CG5188
		CG17544
		CG12560
		CG10433
		Nmd3
		CG10581
		CG12014
		ATPsyngamma
		CG30154
		PH4alphaEFB
		inv
		HPS1
		CG11085
		Phk-3
		l(2)k09913
		galla-1
		Flo2
		CG11221
		Prat2
		CG2901
		Ras64B
		CG42376
		alpha-Est1
		CG3876
		CG9422
		CG3719
		CG30110
		CG3652
		Fatp
		CG1635
		hbs
		dgo
		CG7694
		GstE12
		CG14483
		Mco1
		CG2118
		Trc8
		RpS24
		CG13650
		P5cr-2
		mRpL42
		hoe1
		CG1750
		key
		CG12576
		Txl
		wol
		gas
		CG9682
		CG12384
		mtt
		CG12824
		CG11210
		drm
		Mpc1
		Rop
		CG5500
		Rpn6
		CG5321
		CG17650
		CG17919
		CG3604
		CG4752
		AnxB9
		CG30054
		CG13108
		modSP
		AkhR
		CG42272
		twz
		CG12091
		shrb
		Lst
		CREG
		lbk
		CG8777
		CG13392
		CG32302
		CG10031
		mRpS7
		wnd
		CanB
		qkr58E-3
		Aatf
		brk
		CG11208
		aph-1
		Prx5
		CG8080
		Klp64D
		in
		Pgk
		CG8397
		san
		Vdup1
		alpha-Est3
		AIMP3
		CG5254
		CG4218
		Lsp1beta
		CG1847
		Mtr3
		CG10026
		l(2)k09022
		dare
		CG4042
		SmydA-7
		CG9689
		CG30373
		CG11898
		AcCoAS
		CG14835
		Scsalpha
		RpLP0-like
		ND-ASHI
		CtsB1
		Prosbeta4
		Vamp7
		CG8249
		ND-ACP
		HmgZ
		UQCR-6.4
		Drip
		CG5022
		CG10958
		adp
		GIIIspla2
		CG30344
		CG4658
		asrij
		mRpL38
		CG12822
		temp
		capt
		ACC
		CG1552
		CLS
		Gadd45
		GV1
		pyx
		Tsp42Eb
		Lrt
		Aldh-III
		COX8
		CG14630
		LpR2
		Pex11
		MED21
		CG6543
		colt
		l(3)03670
		CG32432
		dan
		CG10639
		CG9231
		hoe2
		dob
		r-l
		CG1824
		Oli
		CG6044
		CG32647
		CG3740
		CG30424
		CG11257
		mRpL52
		Ir75d
		CG7806
		CG3117
		CG17292
		CG1161
		CG4585
		CG31948
		CG31288
		TM9SF3
		CG4653
		CG5147
		CG6067
		bsk
		Pvr
		MFS10
		PI4KIIIalpha
		CG17737
		CG4970
		Cpr57A
		CG32225
		CG4363
		CG7920
		CG5493
		CG2053
		CG13365
		mRpS9
		d
		CG1827
		CG31528
		Ptpmeg
		cer
		Ufl1
		Tsf3
		meigo
		CG8569
		cin
		CG34124
		hdly
		Exo84
		Vago
		Tsp42Ej
		Lim3
		AGBE
		CG8468
		CG8713
		CG16947
		Scox
		CG8586
		Ance-4
		Ptp52F
		CG42855
		CG17593
		CG9629
		CG9451
		Cyp301a1
		CG3295
		CG4096
		CG13928
		CG10801
		CG30380
		CG32590
		mRpS6
		Non1
		CG32533
		CG10262
		Cyt-c1
		CG13510
		TBPH
		jim
		Peritrophin-15b
		CG12992
		CG13884
		CG6094
		nmd
		CG1291
		CG14527
		drl
		CG13334
		Cyp4ae1
		CG18048
		CG15210
		CG4797
		yellow-c
		Trap1
		CG12935
		GABPI
		CG33128
		CG8004
		CG7298
		sca
		CG13323
		CG12107
		CG10939
		CG3223
		CG2444
		CG31176
		Bet1
		l(2)37Bb
		CG13501
		CG10194
		CG30345
		CG2972
		PHGPx
		CG2641
		mthl3
		mRpL21
		babos
		Pkc53E
		CG7763
		Cyp4d20
		CG9664
		cN-IIIB
		mRpS28
		CG4186
		Nurf-38
		CG18302
		AANATL2
		CG12413
		stac
		Toll-7
		sif
		Dsk
		bab2
		Mur29B
		CG31751
		CG6180
		hll
		CG9109
		CG8320
		Btnd
		CG15822
		CG34200
		mTerf5
		CG5111
		Scp2
		ZnT49B
		CG3597
		CG12007
		CG4496
		CG11498
		CG15394
		CG11555
		CG5002
		Drice
		eEF1delta
		CG3775
		NC2beta
		mthl15
		CG9507
		Mp
		CG13937
		RpS19a
		CG3104
		CG31710
		CG18472
		UQCR-11L
		CG13295
		mRpL33
		CG1299
		CG17385
		Gk1
		CG10211
		Tektin-C
		CG11382
		CG15386
		Pde9
		CG13359
		Cyt-b5
		CG18558
		CG10561
		Archease
		tim
		CG15572
		Rtc1
		fok
		CG9522
		CG14528
		CG6379
		Nrk
		CG11699
		CG15865
		tko
		CG8738
		Seipin
		CG32834
		Trs23
		lbm
		Mitf
		CG2975
		FK506-bp2
		CG11876
		CG15012
		CG4822
		Jra
		Alas
		CG8353
		CG31717
		CG2540
		CG11858
		Tet
		CG8187
		wbl
		CG4364
		Arpc5
		tey
		CG30495
		Sirup
		PheRS-m
		CG16863
		AlaRS-m
		nSyb
		Tim10
		Nup44A
		mRpL28
		CG7567
		Npc2a
		Tsp42Ek
		Sc2
		Nmda1
		CG1143
		EbpIII
		CG4666
		Zip89B
		spartin
		CG4741
		l(1)G0334
		Xe7
		slmo
		CG3699
		CG8321
		CG3544
		CG1434
		Fie
		Elp2
		SmydA-4
		r
		Pcp
		CG30108
		Tim17a1
		CG11275
		CG15019
		ND-19
		Wnt2
		Ppt1
		CG13868
		CG7950
		CG1227
		Dpy-30L2
		CG14795
		robl62A
		stmA
		Fkbp14
		AhcyL2
		CG9034
		CG11852
		CG44325
		alc
		CG30100
		CG9114
		CG3085
		Edem2
		obst-F
		Psf2
		CG17669
		ND-B14
		CG9279
		Treh
		mRpL10
		CG8331
		Dyrk3
		CG32243
		CG5888
		CG1105
		KdelR
		CG12974
		eIF4E-6
		CG11837
		mRpL32
		CG2004
		CG13177
		Irc
		Vps20
		CG2812
		CG9596
		elB
		Atg4a
		Rab9
		CG14763
		wun
		CkIIalpha-i3
		jv
		Spp
		Vta1
		rtv
		CG15385
		rswl
		BBS8
		CG10650
		CG30283
		CG18003
		Atg3
		CG12376
		TRAM
		CG9021
		esn
		CG5919
		LManII
		Rlip
		wrapper
		CG13008
		Oat
		CG16791
		Sp7
		Pex14
		Galphas
		COX5B
		Egm
		CG5921
		CG32832
		ifc
		CG34134
		CG18480
		CG1703
		CG32815
		CG5910
		ckn
		CG10799
		CG31689
		CG34325
		CG11318
		CG4259
		Gfat2
		CG5009
		CG42663
		CG7631
		l(2)10685
		CG18094
		l(2)09851
		CG1969
		CG4239
		CG11095
		Dpit47
		ATPsyndelta
		CG32758
		nvy
		Vps2
		Cpr60D
		CG10205
		CG2974
		SP555
		ND-13A
		Dhc36C
