Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,51.2773333333333,109.393133333333,41.6215666666667,391.530666666667,0.468743624961741,-1.09312902529521,0.106304744695252,-3.2337221048335,Adult_CC,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,236.763,575.842,62.3649333333333,85.3692666666667,0.411159659401086,-1.28222937227432,0.730531443432826,-0.452981724242801,Adult_CC,5.71300812532063e-06,1,1,Ambiguous
4E-T,39.3059333333333,61.4417333333333,2.38838333333333,11.4700933333333,0.639726966691582,-0.644471795784885,0.20822708723436,-2.26377034096281,Adult_CC,0.324636995601066,1,1,Conserved
5-HT2A,2.47913666666667,4.67076333333333,1.12342833333333,0.51413,0.530777724959077,-0.913820268198454,2.18510327782867,1.1277014696069,Adult_CC,1,0.255572361958237,0.286154194720575,Conserved
7B2,30.1504,94.7664333333333,4.52924666666667,29.2326333333333,0.318154853161916,-1.65219896613374,0.154938060491595,-2.69023650958718,Adult_CC,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
a5,10.43324,27.0417666666667,2.70715,2.62952333333333,0.385819489635681,-1.3740020720536,1.02952118209466,0.0419735133004652,Adult_CC,1,0.211138597184096,0.303410219032795,Conserved
Aac11,39.5795666666667,62.5516333333333,16.9667,48.9025,0.632750336398085,-0.66029172555066,0.346949555811062,-1.5272021752294,Adult_CC,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
Aatf,15.9864,26.1489,16.2347,130.120333333333,0.611360339771067,-0.709905130283472,0.124766825132889,-3.00269371500393,Adult_CC,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
abd-A,1.40780333333333,3.51366,0.213433333333333,1.34661333333333,0.40066595307098,-1.31952817414429,0.158497000997316,-2.65747255223393,Adult_CC,0.136774729528377,1,1,Conserved
abo,4.89144,8.22941333333333,1.60975333333333,19.9885333333333,0.59438506822863,-0.750530221041618,0.0805338854009356,-3.63426025109707,Adult_CC,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac76E,6.25671333333333,11.6489566666667,2.91416666666667,6.56703,0.537105079473062,-0.8967237295735,0.443757257528808,-1.17215738030617,Adult_CC,0.572790443522236,1,1,Conserved
ACC,33.7014333333333,132.584633333333,18.8114,105.854666666667,0.254188085239229,-1.97603168755447,0.177709697783347,-2.4924056821635,Adult_CC,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,96.7384333333333,313.248333333333,22.5040666666667,99.7965666666667,0.308823459633762,-1.69514574444541,0.225499415389046,-2.14880440161255,Adult_CC,5.20721331708704e-06,0.896688381403465,1,Ambiguous
