Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,45.2361666666667,126.433666666667,28.1235,369.859666666667,0.357785774165222,-1.48283206901039,0.076038301708923,-3.71712987955938,Adult_CO,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,218.304333333333,656.679666666667,48.2511333333333,76.3887,0.332436566993187,-1.58884901206256,0.631652766727023,-0.662796399440305,Adult_CO,5.71300812532063e-06,1,1,Ambiguous
4E-T,38.7278666666667,64.0538,1.53143166666667,6.11224333333333,0.604614668638738,-0.725912114076472,0.250551611347561,-1.99682027882947,Adult_CO,0.324636995601066,1,1,Conserved
7B2,33.0943333333333,88.1293,6.01599,64.5916666666667,0.375520218109223,-1.41303750996892,0.0931388090341044,-3.42447375523917,Adult_CO,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
a5,11.4136,18.8612,1.35347,30.4594,0.605136491573363,-0.724667508687437,0.0444352467732376,-4.49215168950666,Adult_CO,1,0.211138597184096,0.303410219032795,Conserved
a6,9.02137,9.42090666666667,0.794963333333333,125.6466,0.957590427504102,-0.0625193643492514,0.00632698638089966,-7.30426579426684,Adult_CO,1,1.26789141207912e-07,1.64771677092586e-09,Compensating
Aac11,38.0084333333333,58.8534666666667,15.6669,43.5800666666667,0.645814696061835,-0.630807823811137,0.359496940661779,-1.47594860158262,Adult_CO,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
Aatf,14.8852333333333,32.8361666666667,10.37811,111.144166666667,0.453318258221831,-1.14140382531222,0.093375219031961,-3.42081646771271,Adult_CO,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
abo,4.71002666666667,7.52323333333333,2.83453333333333,10.8206433333333,0.626064197654706,-0.675617493816792,0.261956150300723,-1.93260276036964,Adult_CO,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac3,2.28918,4.73211333333333,0.376305333333333,1.76635666666667,0.483754372516922,-1.047653393465,0.213040846955685,-2.23079802570077,Adult_CO,0.00259064711097662,0.923474740271169,1,Ambiguous
Ac76E,6.63960666666667,9.15626666666667,1.29034566666667,9.62573333333333,0.72514346547973,-0.463661642573315,0.134051763946806,-2.89913789145226,Adult_CO,0.572790443522236,1,1,Conserved
ACC,36.2517666666667,104.562533333333,12.1347533333333,115.627333333333,0.346699397616934,-1.52824276499737,0.104947107907469,-3.25226568495136,Adult_CO,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,111.283,335.676666666667,15.5140333333333,111.984666666667,0.331518427460398,-1.59283903007937,0.138537128846177,-2.85165541519305,Adult_CO,5.20721331708704e-06,0.896688381403465,1,Ambiguous
Acer,67.5311666666667,83.1831333333333,23.574,201.541,0.811837257731288,-0.300737543579605,0.116968760118444,-3.09580482696103,Adult_CO,1,0.00395408275186337,0.00782970780700006,Compensating
Acf,15.7682333333333,15.4241233333333,3.2617,13.44334,1.02230985646662,0.0318325354487444,0.242625772864052,-2.04319528635704,Adult_CO,1,0.738020181202791,0.95708710268886,Conserved
achi,2.95449333333333,3.94397333333333,2.90767333333333,1.43611333333333,0.749116014362162,-0.416738931098025,2.02468164674911,1.01769508194163,Adult_CO,1,0.822764036598528,1,Conserved
Ack,13.3856666666667,16.8404666666667,3.90726666666667,32.8722,0.794851302922051,-0.331243101914051,0.118862368439116,-3.07263606154934,Adult_CO,0.895199211373992,3.03668925265723e-05,0.000847622612965095,Compensating
Ack-like,8.95277666666667,9.90253,3.27389333333333,26.5617,0.904089839927456,-0.145461953687375,0.123256200095518,-3.02026787528556,Adult_CO,1,0.0117552233365302,0.029939993003279,Compensating
Acn,22.2742333333333,33.9069333333333,3.55429333333333,38.9600333333333,0.656922684733427,-0.606204509598959,0.0912292402753957,-3.45435988688504,Adult_CO,0.431793945906017,0.00461215540758517,0.0660364431483194,Ambiguous
Acox57D-d,20.5622,40.0919333333333,10.8577233333333,36.5732666666667,0.512876251593182,-0.963317325096729,0.296875970511905,-1.75206777026025,Adult_CO,1,1,1,Conserved
Acox57D-p,46.8058666666667,82.1384,37.2460333333333,336.855666666667,0.569841476055355,-0.811367462482026,0.110569712516133,-3.17697184120285,Adult_CO,0.458176710669513,0.00264406453219982,0.0795788807805442,Ambiguous
Acp1,482.618333333333,1600.541,381.478,2825.89666666667,0.301534502416245,-1.7296050061387,0.134993612952941,-2.88903694523423,Adult_CO,1,1,1,Conserved
Acp65Aa,219.3256,1515.696,120.889066666667,2168.56333333333,0.144702896131742,-2.78883429815187,0.0557461549555484,-4.16498388999498,Adult_CO,1,2.64101393497337e-05,1,Ambiguous
Acph-1,40.0657,69.7004,18.6349,228.569333333333,0.574827410246894,-0.798799237538148,0.081528438862336,-3.61655279976842,Adult_CO,0.912964542700231,9.2345731980557e-07,5.05064681593928e-05,Compensating
Acsl,126.22,190.809666666667,46.6805333333333,157.818666666667,0.661496886103795,-0.596193729635392,0.29578588530432,-1.75737488520668,Adult_CO,0.344838083585885,0.261923974627299,1,Conserved
Act42A,136.832666666667,243.159333333333,2.85931,5.45832,0.562728418556577,-0.82948927157477,0.523844420289682,-0.932789694201398,Adult_CO,0.783979986294603,1,1,Conserved
ACXD,2.4908,4.99716333333333,0.526110333333333,2.68106666666667,0.498442883574038,-1.00449989880049,0.196232023486166,-2.34936759790343,Adult_CO,0.152637040219974,1,1,Conserved
Adck,10.5577166666667,45.3426333333333,5.71052333333333,19.7283,0.232843058677454,-2.10257022050615,0.28945849586,-1.78857159333797,Adult_CO,1,1,1,Conserved
ADD1,9.65246666666667,7.81360333333333,2.66290333333333,7.80690333333333,1.23534124008412,0.304909614583834,0.341096063130102,-1.55174999116869,Adult_CO,0.835180702331198,1,1,Conserved
ade2,22.3480666666667,54.5607333333333,16.4579666666667,126.593666666667,0.40959983291525,-1.28771296805626,0.130006247310901,-2.94334714280365,Adult_CO,5.28130219499431e-06,0.000137250100078431,0.17247799680089,Only_Cis
ade3,31.9840666666667,91.4848333333333,16.5822333333333,210.608666666667,0.349610598300149,-1.5161791746847,0.0787348142744926,-3.66685449463671,Adult_CO,1.12755400962606e-06,6.6430404125917e-06,0.0667235497556444,Only_Cis
ade5,136.045,498.541333333333,12.2413433333333,187.084,0.272886101173384,-1.87362917876146,0.0654323419848891,-3.93385228053727,Adult_CO,2.92553027898248e-08,0.00290162152006282,1,Only_Cis
Adh,1205.74333333333,3794.71666666667,46.1777,763.923,0.317742651146267,-1.65406933638393,0.0604481092198453,-4.04815897621951,Adult_CO,0.0135688120156084,9.39457967689461e-05,0.416998270690962,Only_Cis
