Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,50.6215333333333,102.467366666667,31.6777333333333,325.770333333333,0.494025907818854,-1.01734139295252,0.0972394690208967,-3.3623141742671,Adult_OC,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,219.876,514.224666666667,71.8168333333333,76.645,0.427587423990576,-1.22570867310408,0.937006111244402,-0.0938696375757481,Adult_OC,5.71300812532063e-06,1,1,Ambiguous
4E-T,42.2548666666667,60.5168333333333,1.45916333333333,8.16097,0.698233278924047,-0.518218975185866,0.178797882425184,-2.4835984446792,Adult_OC,0.324636995601066,1,1,Conserved
5-HT2A,2.30135666666667,5.17335666666667,0.430463333333333,1.76782333333333,0.4448479720424,-1.16861571938032,0.243499495519257,-2.03800931154328,Adult_OC,1,0.255572361958237,0.286154194720575,Conserved
5-HT7,0.466684333333333,1.47505,0.088789,1.08139333333333,0.316385896713628,-1.66024280353049,0.082106958824456,-3.60635168962203,Adult_OC,0.0247821296202736,1,1,Ambiguous
7B2,30.2591666666667,125.6919,3.47822333333333,37.5913333333333,0.240740790981168,-2.05444748294493,0.0925272910637038,-3.433977236306,Adult_OC,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
a5,11.2632666666667,34.6547333333333,2.76715,14.3046,0.325013822305741,-1.62142701998349,0.193444822403645,-2.37000597966296,Adult_OC,1,0.211138597184096,0.303410219032795,Conserved
Aac11,40.2142,52.8438333333333,20.7641333333333,38.3813666666667,0.761000815087207,-0.394030095926424,0.54099516498904,-0.886312394509034,Adult_OC,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
Aatf,15.2306,26.7102333333333,19.4696666666667,120.861333333333,0.570215925848048,-0.81041976129171,0.161090954142287,-2.63405261127411,Adult_OC,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
abo,4.76263333333333,7.17312666666667,3.31041,17.5896233333333,0.663955049268838,-0.590842522580386,0.188202484445707,-2.40964242179518,Adult_OC,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac76E,5.94463666666667,10.4234366666667,2.05405366666667,10.7511533333333,0.570314502448377,-0.810170375621207,0.191054337328057,-2.38794508466302,Adult_OC,0.572790443522236,1,1,Conserved
ACC,33.3370666666667,115.257266666667,19.6104333333333,128.027,0.289240482110683,-1.78965860880487,0.153174206848236,-2.70675471397577,Adult_OC,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,101.8358,326.752666666667,25.5638333333333,134.999333333333,0.311660197687771,-1.68195417561561,0.189362669524077,-2.40077614528859,Adult_OC,5.20721331708704e-06,0.896688381403465,1,Ambiguous
Acer,53.8210666666667,81.7617666666667,35.8291666666667,277.403,0.65826692845107,-0.603255376787887,0.129159264815115,-2.95277696073523,Adult_OC,1,0.00395408275186337,0.00782970780700006,Compensating
Acf,13.5101,14.7283966666667,6.00450333333333,31.0866666666667,0.917282470623134,-0.124562024955294,0.193153682399088,-2.37217891264104,Adult_OC,1,0.738020181202791,0.95708710268886,Conserved
achi,2.82054666666667,3.27378666666667,2.56406666666667,12.6889333333333,0.861554857508067,-0.21498543525063,0.202071158957058,-2.30706467024463,Adult_OC,1,0.822764036598528,1,Conserved
Ack,11.7594666666667,17.6834,4.70688,40.4560666666667,0.665000339395497,-0.588573017966655,0.116345489600765,-3.1035128124358,Adult_OC,0.895199211373992,3.03668925265723e-05,0.000847622612965095,Compensating
Ack-like,8.45869333333333,7.83433333333333,6.59243666666667,30.5095,1.07969534786682,0.110624291903119,0.216078187141332,-2.21037465383927,Adult_OC,1,0.0117552233365302,0.029939993003279,Compensating
Acn,21.9479333333333,31.1639666666667,8.67264333333333,40.6468,0.704272786061484,-0.505793758536207,0.213365975180515,-2.22859796254903,Adult_OC,0.431793945906017,0.00461215540758517,0.0660364431483194,Ambiguous
Acox57D-d,19.5729333333333,42.2864333333333,15.09649,47.6353,0.462865565326336,-1.11133485690823,0.316918140183474,-1.65781785389954,Adult_OC,1,1,1,Conserved
Acox57D-p,41.9157333333333,63.5565,65.0533666666667,514.804666666667,0.659503491756623,-0.600547797007769,0.126365147312123,-2.98432948527599,Adult_OC,0.458176710669513,0.00264406453219982,0.0795788807805442,Ambiguous
Acp1,765.666333333333,2839.46166666667,277.143333333333,1397.05333333333,0.26965193545385,-1.89082970591317,0.198377060862594,-2.33368288414801,Adult_OC,1,1,1,Conserved
Acp63F,1.39623233333333,23.4567666666667,2.99738,32.3906333333333,0.0595236885650471,-4.07039225960537,0.0925385087909619,-3.43380233895038,Adult_OC,3.10749063540522e-05,0.993035263398528,0.0686065028581998,Ambiguous
Acp65Aa,404.373333333333,3346.25266666667,72.3503333333333,664.444666666667,0.120843634505132,-3.04878661441727,0.108888426462065,-3.19907747391888,Adult_OC,1,2.64101393497337e-05,1,Ambiguous
Acph-1,43.194,53.9223333333333,28.5571666666667,177.355666666667,0.801041007108229,-0.32005199552757,0.161016380487703,-2.63472063110479,Adult_OC,0.912964542700231,9.2345731980557e-07,5.05064681593928e-05,Compensating
Acsl,120.265333333333,171.025666666667,58.1634333333333,113.538866666667,0.703200496008199,-0.507992006788986,0.51227773826398,-0.965001896036501,Adult_OC,0.344838083585885,0.261923974627299,1,Conserved
Act42A,150.692,169.499,10.5956333333333,18.7142566666667,0.889043593832155,-0.169673932228849,0.566179782391582,-0.820667861652483,Adult_OC,0.783979986294603,1,1,Conserved
Ada2a,46.0679666666667,3.81481666666667,1.16485633333333,9.28483333333333,12.0760601664405,3.59407794479531,0.12545806327975,-2.99472289811496,Adult_OC,5.39432881336564e-14,1,1,Ambiguous
Adck,11.5264,41.2818,9.58362333333333,9.60535333333333,0.279212648692338,-1.84056379591727,0.997737720104235,-0.00326747735602256,Adult_OC,1,1,1,Conserved
ADD1,9.51431666666667,7.67543333333333,2.85954,7.23680666666667,1.23958036164121,0.309851803964428,0.395138454925544,-1.33956983847131,Adult_OC,0.835180702331198,1,1,Conserved
ade2,24.1573666666667,50.1344333333333,26.8416666666667,174.056333333333,0.48185180481043,-1.05333858606541,0.154212529922999,-2.69700810445042,Adult_OC,5.28130219499431e-06,0.000137250100078431,0.17247799680089,Only_Cis
ade3,32.5016,91.7520333333333,21.3842333333333,191.775,0.354233028577027,-1.49722936009067,0.111506892044461,-3.16479521154828,Adult_OC,1.12755400962606e-06,6.6430404125917e-06,0.0667235497556444,Only_Cis
