Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,48.6652666666667,101.830066666667,32.9154,291.061666666667,0.477906661379907,-1.06519921792282,0.113087378574687,-3.14449017248974,Adult_OO,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,222.438333333333,570.868333333333,59.7334,72.8884333333333,0.389649102876059,-1.35975260018784,0.819518234221183,-0.287152045345648,Adult_OO,5.71300812532063e-06,1,1,Ambiguous
4E-T,39.0649666666667,62.1523333333333,1.48717,7.92252666666667,0.628535807796932,-0.669933157306815,0.187714207203989,-2.41339024979544,Adult_OO,0.324636995601066,1,1,Conserved
5-HT7,0.381756333333333,1.69278,0.204811333333333,1.04200333333333,0.225520804719177,-2.14866756393142,0.196556124366725,-2.34698677841179,Adult_OO,0.0247821296202736,1,1,Ambiguous
7B2,31.9923666666667,114.856666666667,4.55105333333333,48.337,0.278541666901863,-1.84403493918434,0.0941526002685465,-3.40885525061515,Adult_OO,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
a5,10.9628966666667,26.2219,5.12506333333333,42.2533,0.418081727433364,-1.25814310416578,0.121293821122599,-3.04342203546631,Adult_OO,1,0.211138597184096,0.303410219032795,Conserved
a6,8.5518,8.88138,2.34547333333333,86.5427333333333,0.962890906267843,-0.0545557421997045,0.0271019208186716,-5.20546108515615,Adult_OO,1,1.26789141207912e-07,1.64771677092586e-09,Compensating
Aac11,38.9772666666667,59.1049,15.9255933333333,43.9868,0.659459148179043,-0.600644803939668,0.36205393370919,-1.46572346912865,Adult_OO,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
AANATL2,19.2921333333333,9.11036666666667,15.1799733333333,3.09827,2.11760216922091,1.08243157780893,4.89949856979371,2.29263410680156,Adult_OO,0.0259879166381289,5.4128250103292e-05,6.19481982268522e-05,Compensating
Aatf,15.0372666666667,26.6375666666667,11.5801966666667,116.259366666667,0.564513541733158,-0.824919905639404,0.0996065770791809,-3.3276151823585,Adult_OO,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
abd-A,1.08243466666667,3.95101666666667,0.790185,3.24313333333333,0.273963762753782,-1.86794301466783,0.243648865197587,-2.03712459173996,Adult_OO,0.136774729528377,1,1,Conserved
abo,4.85382666666667,8.40135,4.62235666666667,17.0256066666667,0.577743706537992,-0.791498455635185,0.271494431045564,-1.88100548943727,Adult_OO,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac3,2.39291666666667,7.22081333333333,0.10731,1.08084333333333,0.33139166251932,-1.59339078862655,0.0992844174600536,-3.33228888307023,Adult_OO,0.00259064711097662,0.923474740271169,1,Ambiguous
Ac76E,5.90995333333333,11.0141633333333,3.47701333333333,14.04748,0.536577642613104,-0.898141151289988,0.247518706971971,-2.01439052955047,Adult_OO,0.572790443522236,1,1,Conserved
ACC,31.2382333333333,135.134633333333,13.8436333333333,111.979433333333,0.231163790744264,-2.11301266160238,0.123626578538738,-3.01593915258471,Adult_OO,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,100.191733333333,349.643666666667,18.6517,82.5377,0.286553836372782,-1.80312188375339,0.225977956425028,-2.14574604661572,Adult_OO,5.20721331708704e-06,0.896688381403465,1,Ambiguous
Acer,56.5538,69.4671333333333,27.4871666666667,228.086,0.814108737070259,-0.29670659283438,0.120512296003062,-3.05274774114893,Adult_OO,1,0.00395408275186337,0.00782970780700006,Compensating
Acf,14.6702666666667,10.82747,2.84129666666667,24.6506333333333,1.35491174870537,0.438198885637103,0.115262659298977,-3.11700288432058,Adult_OO,1,0.738020181202791,0.95708710268886,Conserved
achi,2.90227,3.64561333333333,2.79653333333333,9.68667333333333,0.79609929483307,-0.32897971031291,0.2886991176848,-1.79236139643611,Adult_OO,1,0.822764036598528,1,Conserved
Ack,11.4783,16.0039333333333,4.6424,31.6309333333333,0.717217451717029,-0.479517501829856,0.146767748024052,-2.76839312178665,Adult_OO,0.895199211373992,3.03668925265723e-05,0.000847622612965095,Compensating
Ack-like,8.30718,7.90651666666667,3.96795,20.8884,1.05067506963559,0.071316572340689,0.189959537831546,-2.39623594362768,Adult_OO,1,0.0117552233365302,0.029939993003279,Compensating
Acn,20.8702666666667,32.0552,2.69578,25.9475,0.651072743754334,-0.619109351510896,0.103893665906401,-3.26682039487028,Adult_OO,0.431793945906017,0.00461215540758517,0.0660364431483194,Ambiguous
Acox57D-d,22.3465333333333,43.1460333333333,16.2013,26.9309666666667,0.517927885577866,-0.949176858677986,0.601586292796039,-0.733156399448388,Adult_OO,1,1,1,Conserved
Acox57D-p,42.9742333333333,68.3413666666667,39.0819333333333,368.934333333333,0.628817300568802,-0.669287184063332,0.105931952372919,-3.23879027820082,Adult_OO,0.458176710669513,0.00264406453219982,0.0795788807805442,Ambiguous
Acp1,589.541,1796.79,353.496333333333,2066.34,0.328107903913029,-1.60775774699633,0.171073653978658,-2.54731049871274,Adult_OO,1,1,1,Conserved
Acp65Aa,333.033666666667,1851.09,122.992466666667,1931.74733333333,0.179912196320414,-2.47463510410364,0.0636690241423901,-3.97326453762654,Adult_OO,1,2.64101393497337e-05,1,Ambiguous
Acph-1,38.9936,50.6198333333333,19.4498,136.0225,0.770322572437235,-0.376465394268971,0.142989585230461,-2.8060180239924,Adult_OO,0.912964542700231,9.2345731980557e-07,5.05064681593928e-05,Compensating
Acsl,126.015333333333,195.876666666667,50.4383333333333,155.428333333333,0.643340198883616,-0.63634625709957,0.324511837237879,-1.62365699042901,Adult_OO,0.344838083585885,0.261923974627299,1,Conserved
Act42A,146.166333333333,173.21,10.4417233333333,5.99901,0.843867752955751,-0.244911170722865,1.74057429355161,0.79956339444136,Adult_OO,0.783979986294603,1,1,Conserved
ACXD,2.49498333333333,4.85138333333333,0.708206,1.75051666666667,0.514282967892395,-0.959365719816603,0.404570038615244,-1.30553861320604,Adult_OO,0.152637040219974,1,1,Conserved
Ada2a,44.7165,3.1946,1.92730566666667,3.11974666666667,13.9975230083507,3.80709964636217,0.61777645905764,-0.694843198100959,Adult_OO,5.39432881336564e-14,1,1,Ambiguous
Adck,11.8441,37.8655333333333,6.08354,13.0124333333333,0.31279371091757,-1.67671658901718,0.467517517795735,-1.09690767135544,Adult_OO,1,1,1,Conserved
ADD1,8.96265333333333,6.4459,2.01827666666667,2.55699333333333,1.3904424429313,0.475544025866759,0.789316440930713,-0.34132429498183,Adult_OO,0.835180702331198,1,1,Conserved
ade2,22.8498666666667,62.3074333333333,19.7063,154.628066666667,0.366727789567198,-1.44721850145375,0.127443233931378,-2.97207331338886,Adult_OO,5.28130219499431e-06,0.000137250100078431,0.17247799680089,Only_Cis
ade3,30.6848666666667,110.643533333333,18.07777,191.769666666667,0.277330870272302,-1.85031988020506,0.0942681458437041,-3.40708583771757,Adult_OO,1.12755400962606e-06,6.6430404125917e-06,0.0667235497556444,Only_Cis
ade5,123.485333333333,508.649666666667,22.3113666666667,229.515,0.242770893569633,-2.04233263136582,0.0972109342285068,-3.36273759333007,Adult_OO,2.92553027898248e-08,0.00290162152006282,1,Only_Cis
Adh,1253.84633333333,5312.11,60.1328666666667,826.540333333333,0.236035461256882,-2.08292447285868,0.0727524903127303,-3.78085955755675,Adult_OO,0.0135688120156084,9.39457967689461e-05,0.416998270690962,Only_Cis
AdoR,0.727446,2.23660666666667,0.86038,3.86240333333333,0.32524568829908,-1.62039816326563,0.222757879742092,-2.16645162895937,Adult_OO,0.134638144113218,0.674074618601458,0.803928291364619,Conserved
adp,11.2365,24.3455333333333,4.28023,11.08822,0.461542591185409,-1.11546430886515,0.38601602547424,-1.37326735259531,Adult_OO,1.1030220104955e-07,0.0208595345719917,0.37924554722428,Only_Cis
ADPS,7.04747333333333,14.1973333333333,1.96354666666667,16.4051333333333,0.496394193999282,-1.01044185358797,0.119691044691842,-3.06261288130259,Adult_OO,0.0557680817246328,0.803539321912143,1,Conserved
AdSL,47.8448,91.0693,41.5873666666667,346.381,0.52536695104314,-0.928602646349225,0.120062496345366,-3.05814252491138,Adult_OO,5.80125711997842e-05,1.46874309718062e-06,0.000446555709191075,Compensating
Ady43A,16.4217333333333,65.3165666666667,8.17208,204.451666666667,0.251417594646724,-1.99184247925243,0.0399707231213373,-4.64491251658778,Adult_OO,2.66622451955036e-06,3.97637007651655e-07,0.0173192009541566,Compensating
aft,11.4434833333333,13.9151,4.90778,28.5999666666667,0.822378819480601,-0.282124986756104,0.171600928266784,-2.54287073784091,Adult_OO,1,0.660672124043958,1,Conserved
AGBE,129.492,604.466,74.2383333333333,466.468,0.214225449877701,-2.22279821315905,0.159149897043706,-2.65154187121282,Adult_OO,0.00011863210931971,2.16209484695304e-05,1,Only_Cis
ago,38.5771333333333,34.4177666666667,4.91672333333333,51.1241333333333,1.1208494027547,0.164592450762226,0.0961722755299074,-3.37823513486724,Adult_OO,1,0.00123549790785556,0.00159380351922024,Compensating
Ahcy,402.111666666667,258.471666666667,92.1527,373.331,1.55572822080153,0.637590049560291,0.246839134047697,-2.01835695639346,Adult_OO,0.164467206182875,0.0265749805984455,0.00430444651888709,Compensating
AhcyL1,16.4768666666667,30.4996333333333,3.29758,21.7421,0.540231646274491,-0.888349940812411,0.151668001174312,-2.72101135614933,Adult_OO,0.0366710613765895,0.984829751028087,1,Ambiguous
AhcyL2,5.44428333333333,35.4575666666667,3.063,52.6567333333333,0.15354364925746,-2.70327925287149,0.0581692168870607,-4.10360030800458,Adult_OO,4.84467692493919e-09,1.18496682262573e-06,0.25007747117172,Only_Cis
