Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,32.9432666666667,97.4458,30.9138,178.381,0.338067595818384,-1.56461635606672,0.173302093982531,-2.52863900842181,Larvae_CC,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,324.992,637.967,92.4308666666667,29.6591666666667,0.509418199515934,-0.973077592514437,3.11643498244719,1.63989661440788,Larvae_CC,5.71300812532063e-06,1,1,Ambiguous
4E-T,32.1530333333333,33.8780666666667,0.722116333333333,2.265324,0.949081117898863,-0.0753966953237274,0.318769860101016,-1.64941286687137,Larvae_CC,0.324636995601066,1,1,Conserved
7B2,17.2124666666667,62.1675,2.41375333333333,11.1721466666667,0.276872439615462,-1.85270664251508,0.216051058878772,-2.21055579321031,Larvae_CC,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
Aac11,46.5316666666667,53.5653333333333,22.7543333333333,23.9040333333333,0.868689951174454,-0.203086746062573,0.951903516202837,-0.0711127437804671,Larvae_CC,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
AANATL2,298.431333333333,175.334,239.231666666667,48.6825,1.70207337214265,0.767293229353352,4.91412032563131,2.29693318351739,Larvae_CC,0.0259879166381289,5.4128250103292e-05,6.19481982268522e-05,Compensating
Aatf,5.68345,20.2096,7.86236666666667,38.8890333333333,0.281225294848721,-1.83020173123229,0.202174412439126,-2.30632767619787,Larvae_CC,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
ab,5.71427,5.20173666666667,2.41941033333333,2.86857,1.09853117672921,0.135575814571718,0.843420411533594,-0.245676158328461,Larvae_CC,0.344095854716711,0.940839245526375,1,Conserved
abd-A,14.7954666666667,9.07232666666667,4.45636333333333,4.45861333333333,1.63083479899297,0.705610646706662,0.999495358909341,-0.000728226961004002,Larvae_CC,0.136774729528377,1,1,Conserved
Abd-B,6.99692,3.19895333333333,1.83458,1.96980333333333,2.18725254283613,1.12911980532555,0.931351895695901,-0.102601725970681,Larvae_CC,0.913138698636499,0.994784349549938,1,Conserved
abo,4.53605333333333,6.01586333333333,4.10700333333333,9.03195,0.754015396956259,-0.407334111332889,0.454719510029819,-1.13695118972854,Larvae_CC,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac76E,8.67168,4.14159,3.38519333333333,4.10563333333333,2.09380428922122,1.06612659787261,0.824524070701864,-0.278366483364936,Larvae_CC,0.572790443522236,1,1,Conserved
Acam,18.702,27.6624333333333,1.04994666666667,2.21626,0.6760793636106,-0.564735483340169,0.47374730082182,-1.07781037134415,Larvae_CC,1,1,1,Conserved
ACC,4.74724333333333,6.70628333333333,2.34296333333333,6.72254666666667,0.707879967113433,-0.498423346911534,0.348523275625218,-1.52067308726492,Larvae_CC,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,29.2888666666667,61.3584,6.85375,7.63095666666667,0.477340790980956,-1.06690846825755,0.898150834978205,-0.154970344128662,Larvae_CC,5.20721331708704e-06,0.896688381403465,1,Ambiguous
Acer,34.2892333333333,32.8172,17.3050666666667,36.4707666666667,1.04485554186456,0.0633034940363943,0.47449145641327,-1.07554598425041,Larvae_CC,1,0.00395408275186337,0.00782970780700006,Compensating
