Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,30.9884666666667,106.143466666667,29.2704333333333,159.069666666667,0.29194889094808,-1.77621226423905,0.184010155818456,-2.44214270173231,Larvae_CO,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,321.614333333333,663.615,88.3022333333333,35.7894,0.484639940098843,-1.04501478995753,2.46727332299675,1.30291754534611,Larvae_CO,5.71300812532063e-06,1,1,Ambiguous
4E-T,33.6195333333333,34.7021666666667,0.598861666666667,1.75546333333333,0.968802141015149,-0.045726041551524,0.34114203022828,-1.55155558248547,Larvae_CO,0.324636995601066,1,1,Conserved
7B2,17.3102333333333,74.8151666666667,5.19253666666667,23.3809666666667,0.231373328072427,-2.11170552981726,0.222083950531674,-2.17082295830595,Larvae_CO,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
Aac11,51.5077,49.5379,24.6396,29.3160666666667,1.03976349341083,0.0562554075142797,0.84048110681693,-0.250712705417444,Larvae_CO,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
AANATL2,255.887,133.270666666667,193.257,14.9814666666667,1.92005491891148,0.941147576627739,12.8997375490781,3.68926980855952,Larvae_CO,0.0259879166381289,5.4128250103292e-05,6.19481982268522e-05,Compensating
Aatf,5.89474,19.1919666666667,5.12734333333333,33.8229666666667,0.307146255265853,-1.70300230084913,0.151593567538618,-2.72171955692599,Larvae_CO,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
ab,7.68898,4.89290333333333,1.36454733333333,2.65214433333333,1.57145541301884,0.652101339060524,0.514507374910073,-0.958736338137537,Larvae_CO,0.344095854716711,0.940839245526375,1,Conserved
abd-A,19.3235,9.08176666666667,4.95043666666667,3.02583,2.1277246577144,1.08931146820219,1.63605887660833,0.7102246672665,Larvae_CO,0.136774729528377,1,1,Conserved
Abd-B,8.15038333333333,2.5579,1.55487466666667,1.75727333333333,3.18635644355795,1.67190766378397,0.884822384970057,-0.176540210358166,Larvae_CO,0.913138698636499,0.994784349549938,1,Conserved
abo,4.34220333333333,6.0252,1.327742,9.29354,0.720673772266408,-0.472581753093127,0.142867288152062,-2.80725246972882,Larvae_CO,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac76E,5.97186666666667,4.25702133333333,2.25268233333333,1.76935866666667,1.40282742232893,0.488337537636119,1.27316304071586,0.348417181981322,Larvae_CO,0.572790443522236,1,1,Conserved
Acam,12.9708666666667,18.6632,1.35617666666667,3.31324333333333,0.694996944343399,-0.524921460058867,0.409320149746477,-1.2886984063038,Larvae_CO,1,1,1,Conserved
ACC,4.51368,7.58634,1.402904,3.45937666666667,0.594974705197143,-0.749099760016962,0.405536814762347,-1.30209520618042,Larvae_CO,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,23.7301,48.0603,3.812694,7.17623,0.493756811885136,-1.01812744310496,0.531294909542349,-0.912415204800247,Larvae_CO,5.20721331708704e-06,0.896688381403465,1,Ambiguous
Acer,27.8612666666667,34.8479,13.0968166666667,19.2746,0.799510641018714,-0.322810859627326,0.679485799299641,-0.557484694732175,Larvae_CO,1,0.00395408275186337,0.00782970780700006,Compensating
Acf,6.85237666666667,6.28622333333333,1.61009733333333,2.87640333333333,1.09006254045552,0.124410909512923,0.55976078003869,-0.837117687694078,Larvae_CO,1,0.738020181202791,0.95708710268886,Conserved
achi,13.09826,7.10106,4.23577666666667,7.54415333333333,1.84454984966331,0.883268778943404,0.561464874591864,-0.832732324865624,Larvae_CO,1,0.822764036598528,1,Conserved
Ack,14.4221666666667,16.3566,7.64520333333333,19.2375333333333,0.881733782383434,-0.181584959296978,0.397410822034834,-1.33129693522528,Larvae_CO,0.895199211373992,3.03668925265723e-05,0.000847622612965095,Compensating
Ack-like,16.8947333333333,11.0794133333333,7.17676,17.9134666666667,1.52487611935444,0.608692043165701,0.400634937553408,-1.31963985736825,Larvae_CO,1,0.0117552233365302,0.029939993003279,Compensating
Acn,27.1041,26.5004,4.06675133333333,6.89107666666667,1.02278078735488,0.0324969653322315,0.590147511035163,-0.760852484752426,Larvae_CO,0.431793945906017,0.00461215540758517,0.0660364431483194,Ambiguous
Acox57D-d,1.16874166666667,6.21461833333333,1.11515666666667,0.902403333333333,0.188063436226558,-2.41070871121615,1.2357627567539,0.305401799466234,Larvae_CO,1,1,1,Conserved
Acox57D-p,22.1366333333333,40.5590666666667,34.2138,86.9199666666667,0.545787553975908,-0.873588598813171,0.393624180018199,-1.34510924788688,Larvae_CO,0.458176710669513,0.00264406453219982,0.0795788807805442,Ambiguous
Acp63F,20.5121333333333,111.797733333333,70.3875333333333,698.623333333333,0.183475402749888,-2.44634143077991,0.100751765471019,-3.31112297559846,Larvae_CO,3.10749063540522e-05,0.993035263398528,0.0686065028581998,Ambiguous
Acph-1,46.6856666666667,49.4214666666667,34.8479333333333,52.1722333333333,0.944643489374857,-0.0821581392621453,0.66794023255141,-0.582209079103218,Larvae_CO,0.912964542700231,9.2345731980557e-07,5.05064681593928e-05,Compensating
Acsl,35.6330666666667,31.6545333333333,11.74681,5.86747,1.1256860483695,0.170804518700491,2.00202284766299,1.00145843872036,Larvae_CO,0.344838083585885,0.261923974627299,1,Conserved
Act42A,711.755666666667,928.414,27.1245,19.9785166666667,0.766636077116492,-0.383386203385556,1.35768336032538,0.441147052665527,Larvae_CO,0.783979986294603,1,1,Conserved
Actn3,6.31889333333333,3.80761666666667,1.411159,2.25753333333333,1.65954013415037,0.730783519828728,0.625089053647468,-0.677866356147279,Larvae_CO,1,1,1,Conserved
ACXD,4.29335666666667,7.43716333333333,2.01519333333333,0.830426666666667,0.577284227460708,-0.792646286266194,2.42669459872684,1.27899255569709,Larvae_CO,0.152637040219974,1,1,Conserved
ACXE,4.11342333333333,2.44696,0.65799,1.03626,1.68103387562504,0.749348797568623,0.634966480452319,-0.655247660107441,Larvae_CO,1,1,1,Conserved
