Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,31.8570666666667,107.4517,28.2582,146.090666666667,0.296478021010265,-1.75400293836167,0.193429200176403,-2.37012249361048,Larvae_OC,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,276.017,592.757333333333,67.4869,26.3446,0.465649237913577,-1.10268447749606,2.56169759412944,1.35710017700666,Larvae_OC,5.71300812532063e-06,1,1,Ambiguous
4E-T,24.4962666666667,32.5374666666667,0.509316666666667,1.25995333333333,0.752863373315377,-0.409540020859627,0.404235021216377,-1.30673377874493,Larvae_OC,0.324636995601066,1,1,Conserved
7B2,20.7659666666667,59.8948666666667,4.57928666666667,16.7279333333333,0.346706962977791,-1.52821128415378,0.273750935137379,-1.86906420189682,Larvae_OC,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
Aac11,38.8751333333333,48.8644,15.6037,12.8627333333333,0.795571695094213,-0.329936146108397,1.21309362345793,0.278690898262334,Larvae_OC,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
AANATL2,248.134666666667,185.366333333333,275.007666666667,42.0169666666667,1.33861776227641,0.420744062832902,6.54515741945934,2.71042789126023,Larvae_OC,0.0259879166381289,5.4128250103292e-05,6.19481982268522e-05,Compensating
Aatf,5.40149,19.2286333333333,5.83624,32.9551,0.28090871698758,-1.83182670089786,0.177096741411899,-2.49739042820773,Larvae_OC,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
ab,3.05793,3.31196,0.730129333333333,1.92722566666667,0.923299217593444,-0.115129830783934,0.378850264974886,-1.4003003379483,Larvae_OC,0.344095854716711,0.940839245526375,1,Conserved
abd-A,10.6105333333333,8.4289,2.55217,1.2635,1.25882773250431,0.332080867277514,2.01992004755042,1.01429818937048,Larvae_OC,0.136774729528377,1,1,Conserved
Abd-B,5.51887333333333,2.65581666666667,0.848291333333333,1.40890666666667,2.07803208879927,1.05521793239137,0.602092211862476,-0.731943638784481,Larvae_OC,0.913138698636499,0.994784349549938,1,Conserved
abo,4.21191666666667,4.50631,2.16927266666667,3.34444,0.934670879721055,-0.0974696483708647,0.648620701237267,-0.62455302561762,Larvae_OC,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac76E,8.99857,4.27563,2.443882,1.62135666666667,2.10461824231324,1.0735585658951,1.50730653096695,0.591972838127562,Larvae_OC,0.572790443522236,1,1,Conserved
Acam,19.8349333333333,24.1535333333333,0.812326666666667,3.5553,0.821202150360245,-0.284190689664423,0.228483514241598,-2.12983802054455,Larvae_OC,1,1,1,Conserved
ACC,4.76928,5.93117,2.01126333333333,2.51494666666667,0.804104450874878,-0.314545179339341,0.799724129448419,-0.322425677030822,Larvae_OC,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,41.2528666666667,40.9305333333333,3.18437333333333,3.86939,1.00787513133125,0.011316910099531,0.822965250431743,-0.281096580508033,Larvae_OC,5.20721331708704e-06,0.896688381403465,1,Ambiguous
