Gene,P1,P2,A1,A2,P1/P2,log2(P1/P2),A1/A2,log2(A1/A2),Check,P_Species_Qvalues,H_Species_Qvalues,A_Species_Gen_Qvalues,Category
128up,31.5285333333333,97.7562,30.9255333333333,147.005,0.322522090781058,-1.63253011522341,0.210370627685879,-2.24899480779536,Larvae_OO,1.47286970371973e-06,7.17861645433999e-09,1.87721003572168e-05,Compensating
14-3-3epsilon,261.584333333333,697.723,70.2178,16.98858,0.374911439007202,-1.41537825019708,4.13323520075043,2.04727146226109,Larvae_OO,5.71300812532063e-06,1,1,Ambiguous
7B2,18.2160666666667,66.8247666666667,3.66456333333333,24.3411,0.272594552928811,-1.87517136084808,0.150550475647479,-2.73168082878309,Larvae_OO,1.36312228145132e-05,0.000848656240395684,0.838074280449015,Only_Cis
Aac11,36.5387666666667,64.0570666666667,20.6409,21.7575,0.570409620633951,-0.809929780139498,0.948679767956807,-0.0760069150663865,Larvae_OO,0.00307570812445301,0.0180378965919676,0.636543164285029,Only_Cis
AANATL2,184.348333333333,115.670333333333,297.374333333333,42.8966666666667,1.59373909823833,0.672415473440494,6.93234114696539,2.79334265261189,Larvae_OO,0.0259879166381289,5.4128250103292e-05,6.19481982268522e-05,Compensating
Aatf,5.08441,18.5344666666667,5.27753,27.6587666666667,0.274321933137797,-1.86605811884003,0.190808609537593,-2.38980182576112,Larvae_OO,0.0204798264186021,1.03575365876935e-06,0.000199122098916499,Compensating
ab,4.19127266666667,6.59877333333333,1.10023666666667,2.10792666666667,0.635159418241458,-0.654809356480975,0.521952287104096,-0.938010162238571,Larvae_OO,0.344095854716711,0.940839245526375,1,Conserved
abd-A,8.22263666666667,12.0360333333333,3.34110333333333,5.36580666666667,0.683168345897318,-0.549686964593661,0.622665690030013,-0.683470308505426,Larvae_OO,0.136774729528377,1,1,Conserved
abo,3.62940333333333,5.95054333333333,1.943457,6.66942666666667,0.609928122542067,-0.713288857723337,0.291398017511048,-1.7789370326418,Larvae_OO,0.165972950228025,0.0735186701012329,0.161187375869465,Conserved
Ac76E,8.17635666666667,4.34601666666667,2.37132333333333,2.53405533333333,1.88134478361148,0.911764267800074,0.935782011686402,-0.0957555985040051,Larvae_OO,0.572790443522236,1,1,Conserved
ACC,6.78474,7.21133,1.55256566666667,4.44315,0.940844484880808,-0.0879718197899542,0.349429192630785,-1.51692795342047,Larvae_OO,0.000587987740432637,0.000120501138174588,1,Only_Cis
AcCoAS,34.83,53.6981333333333,3.81429666666667,4.91503,0.64862590539536,-0.624541450311838,0.776047529846031,-0.365783080396008,Larvae_OO,5.20721331708704e-06,0.896688381403465,1,Ambiguous
Acer,30.175,32.7497333333333,12.26982,21.6141666666667,0.921381550545504,-0.11812938472795,0.567674924578405,-0.816863078808061,Larvae_OO,1,0.00395408275186337,0.00782970780700006,Compensating
Acf,4.10294666666667,8.03043333333333,1.89591666666667,2.46655666666667,0.510924751558685,-0.968817266634578,0.768649236256791,-0.379602702888898,Larvae_OO,1,0.738020181202791,0.95708710268886,Conserved
achi,9.69396333333333,9.43198333333333,6.26912333333333,8.14328333333333,1.02777570347251,0.0395254524745806,0.769852074017801,-0.377346834252599,Larvae_OO,1,0.822764036598528,1,Conserved
