tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0179857	-	-	gene:FBgn0179857	Dsec\GM24996	-	scaffold_0:2991-3810	-	-	1.9158	0.467592	3.36401	OK
gene:FBgn0179855	-	-	gene:FBgn0179855	Dsec\GM24994	-	scaffold_0:23433-23979	-	-	0.771453	0	1.86398	OK
gene:FBgn0179856	-	-	gene:FBgn0179856	Dsec\GM24995	-	scaffold_0:5719-19420	-	-	29.5933	26.7688	32.4178	OK
gene:FBgn0179851	-	-	gene:FBgn0179851	Dsec\GM24990	-	scaffold_0:45281-48862	-	-	0	0	0	OK
gene:FBgn0179852	-	-	gene:FBgn0179852	Dsec\GM24991	-	scaffold_0:40455-44857	-	-	0	0	0	OK
gene:FBgn0179862	-	-	gene:FBgn0179862	Dsec\GM25001	-	scaffold_0:63720-64090	-	-	0	0	0	OK
gene:FBgn0179861	-	-	gene:FBgn0179861	Dsec\GM25000	-	scaffold_0:61244-61709	-	-	24.5701	17.1855	31.9548	OK
gene:FBgn0179859	-	-	gene:FBgn0179859	Dsec\GM24998	-	scaffold_0:54252-55002	-	-	0.461686	0	1.11552	OK
gene:FBgn0179850	-	-	gene:FBgn0179850	Dsec\GM24989	-	scaffold_0:75249-76849	-	-	0	0	0	OK
gene:FBgn0179845	-	-	gene:FBgn0179845	Dsec\GM24984	-	scaffold_0:130554-167394	-	-	0	0	0	OK
gene:FBgn0179848	-	-	gene:FBgn0179848	Dsec\GM24987	-	scaffold_0:85429-86210	-	-	18.3511	14.1966	22.5056	OK
gene:FBgn0179863	-	-	gene:FBgn0179863	Dsec\GM25002	-	scaffold_0:67417-69844	-	-	232.685	221.839	243.531	OK
gene:FBgn0179865	-	-	gene:FBgn0179865	Dsec\GM25004	-	scaffold_0:191716-192525	-	-	13.4526	9.47883	17.4264	OK
gene:FBgn0179864	-	-	gene:FBgn0179864	Dsec\GM25003	-	scaffold_0:169636-191181	-	-	1.87813	1.10622	2.65004	OK
