tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0255862	-	-	gene:FBgn0255862	Dsec\18SrRNA:GM27729	-	scaffold_204:13059-15056	-	-	23.2522	19.9863	26.5181	OK
gene:FBgn0255863	-	-	gene:FBgn0255863	Dsec\18SrRNA:GM27730	-	scaffold_1920:3346-5276	-	-	49.9174	45.0655	54.7693	OK
gene:FBgn0255864	-	-	gene:FBgn0255864	Dsec\18SrRNA:GM27731	-	scaffold_2973:933-2864	-	-	46.0062	41.3589	50.6536	OK
gene:FBgn0255865	-	-	gene:FBgn0255865	Dsec\18SrRNA:GM27732	-	scaffold_3469:658-2585	-	-	42.3154	37.8283	46.8026	OK
gene:FBgn0255866	-	-	gene:FBgn0255866	Dsec\18SrRNA:GM27733	-	scaffold_3538:207-2198	-	-	44.0264	39.518	48.5348	OK
gene:FBgn0255867	-	-	gene:FBgn0255867	Dsec\18SrRNA:GM27734	-	scaffold_3754:168-2165	-	-	37.4356	33.3444	41.5268	OK
gene:FBgn0255077	-	-	gene:FBgn0255077	Dsec\5.8SrRNA:GM26944	-	scaffold_10320:251-430	-	-	68.0701	19.9373	116.203	OK
gene:FBgn0255078	-	-	gene:FBgn0255078	Dsec\5.8SrRNA:GM26945	-	scaffold_10362:1076-1255	-	-	68.0701	19.9373	116.203	OK
gene:FBgn0255079	-	-	gene:FBgn0255079	Dsec\5.8SrRNA:GM26946	-	scaffold_10390:617-796	-	-	110.614	49.2563	171.971	OK
gene:FBgn0255080	-	-	gene:FBgn0255080	Dsec\5.8SrRNA:GM26947	-	scaffold_10473:1028-1207	-	-	42.5438	4.49147	80.5961	OK
gene:FBgn0255081	-	-	gene:FBgn0255081	Dsec\5.8SrRNA:GM26948	-	scaffold_10564:1314-1349	-	-	0	0	0	OK
gene:FBgn0255082	-	-	gene:FBgn0255082	Dsec\5.8SrRNA:GM26949	-	scaffold_10700:587-766	-	-	51.0526	9.36832	92.7368	OK
