tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0179857	-	-	gene:FBgn0179857	Dsec\GM24996	-	scaffold_0:2991-3810	-	-	0	0	0	OK
gene:FBgn0179855	-	-	gene:FBgn0179855	Dsec\GM24994	-	scaffold_0:23433-23979	-	-	0	0	0	OK
gene:FBgn0179852	-	-	gene:FBgn0179852	Dsec\GM24991	-	scaffold_0:40455-44857	-	-	0	0	0	OK
gene:FBgn0179859	-	-	gene:FBgn0179859	Dsec\GM24998	-	scaffold_0:54252-55002	-	-	0	0	0	OK
gene:FBgn0179851	-	-	gene:FBgn0179851	Dsec\GM24990	-	scaffold_0:45281-48862	-	-	0	0	0	OK
gene:FBgn0179862	-	-	gene:FBgn0179862	Dsec\GM25001	-	scaffold_0:63720-64090	-	-	0	0	0	OK
gene:FBgn0179861	-	-	gene:FBgn0179861	Dsec\GM25000	-	scaffold_0:61244-61709	-	-	15.4687	0	46.4061	OK
gene:FBgn0179848	-	-	gene:FBgn0179848	Dsec\GM24987	-	scaffold_0:85429-86210	-	-	0	0	0	OK
gene:FBgn0179858	-	-	gene:FBgn0179858	Dsec\GM24997	-	scaffold_0:25691-27648	-	-	844.245	736.484	952.006	OK
gene:FBgn0179850	-	-	gene:FBgn0179850	Dsec\GM24989	-	scaffold_0:75249-76849	-	-	0	0	0	OK
gene:FBgn0179846	-	-	gene:FBgn0179846	Dsec\GM24985	-	scaffold_0:115892-126119	-	-	0	0	0	OK
gene:FBgn0179845	-	-	gene:FBgn0179845	Dsec\GM24984	-	scaffold_0:130554-167394	-	-	0	0	0	OK
gene:FBgn0179864	-	-	gene:FBgn0179864	Dsec\GM25003	-	scaffold_0:169636-191181	-	-	0	0	0	OK
gene:FBgn0179863	-	-	gene:FBgn0179863	Dsec\GM25002	-	scaffold_0:67417-69844	-	-	304.467	237.565	371.368	OK
gene:FBgn0179865	-	-	gene:FBgn0179865	Dsec\GM25004	-	scaffold_0:191716-192525	-	-	15.2329	0	36.8056	OK
gene:FBgn0174292	-	-	gene:FBgn0174292	Dsec\GM19392	-	scaffold_0:211889-212012	-	-	3500.4	642.336	6358.47	OK
gene:FBgn0179842	-	-	gene:FBgn0179842	Dsec\GM24981	-	scaffold_0:213910-215248	-	-	0	0	0	OK
gene:FBgn0179856	-	-	gene:FBgn0179856	Dsec\GM24995	-	scaffold_0:5719-19420	-	-	5.89742	0	12.7072	OK
gene:FBgn0179866	-	-	gene:FBgn0179866	Dsec\GM25005	-	scaffold_0:209079-210126	-	-	2.89045	0	8.67136	OK
gene:FBgn0179867	-	-	gene:FBgn0179867	Dsec\GM25006	-	scaffold_0:223666-223965	-	-	2063.77	1267.81	2859.72	OK
gene:FBgn0179843	-	-	gene:FBgn0179843	Dsec\GM24982	-	scaffold_0:210258-211505	-	-	58.9001	30.3293	87.4708	OK
gene:FBgn0179839	-	-	gene:FBgn0179839	Dsec\GM24978	-	scaffold_0:263508-263902	-	-	32.3112	0	96.9336	OK
gene:FBgn0179869	-	-	gene:FBgn0179869	Dsec\GM25008	-	scaffold_0:258500-259677	-	-	96.7917	55.5196	138.064	OK
gene:FBgn0179868	-	-	gene:FBgn0179868	Dsec\GM25007	-	scaffold_0:235499-238186	-	-	9.75084	0	21.0101	OK
gene:FBgn0179847	-	-	gene:FBgn0179847	Dsec\GM24986	-	scaffold_0:86598-104200	-	-	3.16168	0	7.6392	OK
gene:FBgn0179849	-	-	gene:FBgn0179849	Dsec\GM24988	-	scaffold_0:70963-75230	-	-	1.23121	0	3.69364	OK
gene:FBgn0179838	-	-	gene:FBgn0179838	Dsec\GM24977	-	scaffold_0:265818-266439	-	-	189.899	113.871	265.927	OK
gene:FBgn0179870	-	-	gene:FBgn0179870	Dsec\GM25009	-	scaffold_0:264364-265508	-	-	2.71932	0	8.15795	OK
gene:FBgn0179872	-	-	gene:FBgn0179872	Dsec\GM25011	-	scaffold_0:338716-338911	-	-	0	0	0	OK
gene:FBgn0255277	-	-	gene:FBgn0255277	Dsec\tRNA:GM27144	-	scaffold_0:340242-340325	-	-	0	0	0	OK
gene:FBgn0255278	-	-	gene:FBgn0255278	Dsec\tRNA:GM27145	-	scaffold_0:340494-340577	-	-	0	0	0	OK
gene:FBgn0179871	-	-	gene:FBgn0179871	Dsec\GM25010	-	scaffold_0:268696-330023	-	-	3.89506	0	11.6852	OK
