tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0194385	-	-	gene:FBgn0194385	Dsim\GD22993	-	2L:68625-73550	-	-	7.61086	6.52515	8.69657	OK
gene:FBgn0270109	-	-	gene:FBgn0270109	Dsim\GD28819	-	2L:70416-71441	-	-	2.87676	1.78805	3.96547	OK
gene:FBgn0268949	-	-	gene:FBgn0268949	Dsim\GD27659	-	2L:62374-64558	-	-	3.29987	2.31898	4.28075	OK
gene:FBgn0194389	-	-	gene:FBgn0194389	Dsim\GD22997	-	2L:52875-57228	-	-	13.7602	12.8201	14.7003	OK
gene:FBgn0194392	-	-	gene:FBgn0194392	Dsim\GD23000	-	2L:88485-90382	-	-	15.692	13.9331	17.4509	OK
gene:FBgn0194383	-	-	gene:FBgn0194383	Dsim\GD22991	-	2L:90146-92857	-	-	16.2135	14.6174	17.8096	OK
gene:FBgn0194381	-	-	gene:FBgn0194381	Dsim\GD22989	-	2L:102312-107189	-	-	103.097	98.1495	108.046	OK
gene:FBgn0194390	-	-	gene:FBgn0194390	Dsim\GD22998	-	2L:57386-62301	-	-	47.1625	44.061	50.2641	OK
gene:FBgn0194391	-	-	gene:FBgn0194391	Dsim\GD22999	-	2L:80797-88201	-	-	22.1794	21.1995	23.1594	OK
gene:FBgn0194380	-	-	gene:FBgn0194380	Dsim\GD22988	-	2L:108383-114960	-	-	202.539	192.928	212.151	OK
gene:FBgn0194379	-	-	gene:FBgn0194379	Dsim\GD22987	-	2L:124258-125065	-	-	1.80187	0.862839	2.74089	OK
gene:FBgn0194378	-	-	gene:FBgn0194378	Dsim\GD22986	-	2L:125066-126612	-	-	0.161438	0	0.34785	OK
gene:FBgn0269357	-	-	gene:FBgn0269357	Dsim\GD28067	-	2L:144751-146058	-	-	6.69219	5.32616	8.05823	OK
gene:FBgn0194372	-	-	gene:FBgn0194372	Dsim\GD22980	-	2L:143543-144557	-	-	14.797	12.2778	17.3162	OK
gene:FBgn0194368	-	-	gene:FBgn0194368	Dsim\GD22976	-	2L:237335-238539	-	-	8.16142	6.63265	9.6902	OK
gene:FBgn0194401	-	-	gene:FBgn0194401	Dsim\GD23009	-	2L:193432-196511	-	-	14.7202	13.5587	15.8816	OK
gene:FBgn0194400	-	-	gene:FBgn0194400	Dsim\GD23008	-	2L:189769-190800	-	-	26.6952	23.4687	29.9218	OK
gene:FBgn0194371	-	-	gene:FBgn0194371	Dsim\GD22979	-	2L:190774-193310	-	-	0	0	0	OK
gene:FBgn0194366	-	-	gene:FBgn0194366	Dsim\GD22973	-	2L:258159-259994	-	-	5.06977	4.25004	5.88951	OK
gene:FBgn0194394	-	-	gene:FBgn0194394	Dsim\GD23002	-	2L:117804-120212	-	-	1261.52	1249.11	1273.93	OK
gene:FBgn0194393	-	-	gene:FBgn0194393	Dsim\GD23001	-	2L:93850-100414	-	-	76.5977	72.8637	80.3317	OK
gene:FBgn0194382	-	-	gene:FBgn0194382	Dsim\GD22990	-	2L:100140-102233	-	-	0	0	0	OK
gene:FBgn0194406	-	-	gene:FBgn0194406	Dsim\GD23014	-	2L:278661-279303	-	-	24.0259	20.2882	27.7637	OK
gene:FBgn0194388	-	-	gene:FBgn0194388	Dsim\GD22996	-	2L:4303-12624	-	-	25.6703	24.0162	27.3245	OK
gene:FBgn0194387	-	-	gene:FBgn0194387	Dsim\GD22995	-	2L:12402-17072	-	-	0	0	0	OK
gene:FBgn0194360	-	-	gene:FBgn0194360	Dsim\GD22967	-	2L:279596-280956	-	-	28.243	25.859	30.627	OK
gene:FBgn0066163	-	-	gene:FBgn0066163	Dsim\Hop	-	2L:281402-283722	-	-	83.3535	80.2297	86.4773	OK
gene:FBgn0194363	-	-	gene:FBgn0194363	Dsim\GD22970	-	2L:269569-278035	-	-	89.593	83.9964	95.1896	OK
gene:FBgn0194362	-	-	gene:FBgn0194362	Dsim\GD22969	-	2L:273397-277003	-	-	0.763358	0.504157	1.02256	OK
gene:FBgn0194367	-	-	gene:FBgn0194367	Dsim\GD22975	-	2L:238769-258006	-	-	8.19035	7.06555	9.31516	OK
gene:FBgn0085134	-	-	gene:FBgn0085134	Dsim\GD22974	-	2L:249418-255255	-	-	0.668491	0.493263	0.84372	OK
gene:FBgn0194403	-	-	gene:FBgn0194403	Dsim\GD23011	-	2L:255350-257801	-	-	8.85463	7.87327	9.836	OK
