Gene	sim	sec
128up	Dsim\GD10834	Dsec\GM21327
14-3-3epsilon	Dsim\GD15169	Dsec\GM15292
140up	Dsim\GD20454	Dsec\GM25883
26-29-p	Dsim\GD14469	Dsec\GM25442
2mit	Dsim\GD20521	Dsec\GM25961
4E-T	Dsim\GD24367	Dsec\GM13019
4EHP	Dsim\GD18325	Dsec\GM23515
5-HT1B	Dsim\GD25343	Dsec\GM19856
5-HT2A	Dsim\GD19740	Dsec\GM10765
5-HT2B	Dsim\GD15145	Dsec\GM23744
5-HT7	Dsim\GD16708	Dsec\GM12116
7B2	Dsim\GD19785	Dsec\GM10806
a10	Dsim\GD12430	Dsec\GM24353
A16	Dsim\GD22091	Dsec\GM25921
a5	Dsim\GD23094	Dsec\GM16814
a6	Dsim\GD24632	Dsec\GM18959
Aac11	Dsim\GD21866	Dsec\GM17125
AANATL2	Dsim\GD23397	Dsec\GM18616
Aatf	Dsim\GD23427	Dsec\GM16208
aay	Dsim\GD10671	Dsec\GM25146
ab	Dsim\ab	Dsec\GM18962
abd-A	Dsim\GD20268	Dsec\GM15405
Abd-B	Dsim\Abd-B	Dsec\Abd-B
Abi	Dsim\GD20455	Dsec\GM25884
Abl	Dsim\GD12452	Dsec\GM24379
abo	Dsim\GD22208	Dsec\GM11247
Abp1	Dsim\GD12654	Dsec\GM24586
Ac3	Dsim\GD24328	Dsec\GM16140
Ac76E	Dsim\GD14841	Dsec\GM19695
Ac78C	Dsim\GD12142	Dsec\GM22165
Acam	Dsim\GD21235	Dsec\GM10265
ACC	Dsim\GD10202	Dsec\GM20735
AcCoAS	Dsim\GD12130	Dsec\GM22154
Ace	Dsim\Ace	Dsec\GM25956
Acer	Dsim\GD23554	Dsec\GM17055
Acf	Dsim\GD21605	Dsec\GM16453
achi	Dsim\GD25834	Dsec\GM20354
acj6	Dsim\GD15807	Dsec\GM25017
Ack	Dsim\GD13814	Dsec\GM14625
Ack-like	Dsim\GD25790	Dsec\GM20312
Acn	Dsim\GD24176	Dsec\GM17317
Acon	Dsim\GD24307	Dsec\GM23397
Acox57D-d	Dsim\GD11595	Dsec\GM15835
Acox57D-p	Dsim\GD11593	Dsec\GM15834
Acp1	Dsim\GD22473	Dsec\GM13384
Acp24A4	Dsim\Acp24A4	Dsec\GM18129
Acp26Aa	Dsim\Acp26Aa	Dsec\Acp26Aa
Acp26Ab	Dsim\Acp26Ab	Dsec\Acp26Ab
Acp29AB	Dsim\Acp29AB	Dsec\Acp29AB
Acp32CD	Dsim\Acp32CD	Dsec\GM18807
Acp33A	Dsim\GD22164	Dsec\GM11034
Acp36DE	Dsim\Acp36DE	Dsec\Acp36DE
Acp53C14a	Dsim\Acp53C14a	Dsec\GM20036
Acp53C14b	Dsim\Acp53C14b	Dsec\GM20035
Acp53C14c	Dsim\Acp53C14c	Dsec\GM20033
Acp53Ea	Dsim\Acp53Ea	Dsec\Acp53Ea
Acp63F	Dsim\Acp63F	Dsec\GM14036
Acp65Aa	Dsim\GD13144	Dsec\GM13861
Acp76A	Dsim\Acp76A	Dsec\GM13145
Acp95EF	Dsim\GD21079	Dsec\GM26575
Acph-1	Dsim\GD17508	Dsec\GM12199
Acsl	Dsim\GD10588	Dsec\GM21055
Act42A	Dsim\GD10342	Dsec\GM16492
Act87E	Dsim\Act88F	Dsec\GM24109
Actn3	Dsim\GD20264	Dsec\GM15399
ACXD	Dsim\GD13671	Dsec\GM14470
ACXE	Dsim\GD23856	Dsec\GM10075
Acyp	Dsim\Acyp	Dsec\GM15374
Ada	Dsim\GD18595	Dsec\GM23784
Ada1-2	Dsim\GD23805	Dsec\GM26692
Ada2a	Dsim\GD20190	Dsec\GM15312
Ada2b	Dsim\GD20886	Dsec\GM26364
AdamTS-A	Dsim\GD20348	Dsec\GM25769
Adat1	Dsim\GD22044	Dsec\GM15122
Adck	Dsim\GD11885	Dsec\GM11887
ADD1	Dsim\GD10828	Dsec\GM21320
ade2	Dsim\GD22605	Dsec\GM17967
ade3	Dsim\GD22518	Dsec\GM13655
ade5	Dsim\GD15919	Dsec\GM11535
AdenoK	Dsim\GD12680	Dsec\GM24613
Adf1	Dsim\GD10415	Dsec\GM20885
Adgf-A	Dsim\GD12381	Dsec\GM24311
Adgf-A2	Dsim\GD12380	Dsec\GM24310
Adgf-B	Dsim\GD12382	Dsec\GM24312
Adgf-C	Dsim\GD18924	Dsec\GM24125
Adgf-D	Dsim\GD20479	Dsec\GM25912
Adgf-E	Dsim\GD25667	Dsec\GM20196
Adh	Dsim\Adh	Dsec\Adh
Adhr	Dsim\Adhr	Dsec\Adhr
Adi1	Dsim\GD14255	Dsec\GM25222
AdipoR	Dsim\GD18448	Dsec\GM23638
Adk1	Dsim\GD12741	Dsec\GM24672
Adk3	Dsim\GD20690	Dsec\GM26136
AdoR	Dsim\GD17311	Dsec\GM12178
adp	Dsim\GD11343	Dsec\GM21849
ADPS	Dsim\GD25643	Dsec\GM20165
AdSL	Dsim\GD20259	Dsec\GM15393
AdSS	Dsim\GD20028	Dsec\GM23154
Ady43A	Dsim\GD10267	Dsec\GM20810
Aef1	Dsim\GD14959	Dsec\GM22367
aft	Dsim\GD11317	Dsec\GM21824
Afti	Dsim\GD20428	Dsec\GM25859
Ag5r2	Dsim\GD23705	Dsec\GM12040
AGBE	Dsim\GD10945	Dsec\GM21447
ago	Dsim\GD13273	Dsec\GM13994
AGO1	Dsim\AGO1	Dsec\GM23254
AGO2	Dsim\AGO2	Dsec\GM25537
agt	Dsim\GD19534	Dsec\GM10537
Ahcy	Dsim\GD17210	Dsec\GM19564
AhcyL1	Dsim\GD13374	Dsec\GM14106
AhcyL2	Dsim\GD20263	Dsec\GM15398
AIF	Dsim\GD23134	Dsec\GM23729
AIMP1	Dsim\GD15265	Dsec\GM20651
AIMP2	Dsim\GD14558	Dsec\GM25545
AIMP3	Dsim\GD11773	Dsec\GM16023
Ak6	Dsim\GD25830	Dsec\GM20351
Akap200	Dsim\GD23541	Dsec\GM16940
Akh	Dsim\GD13816	Dsec\GM14627
AkhR	Dsim\GD22549	Dsec\GM13935
akirin	Dsim\GD14010	Dsec\GM14836
Akt1	Dsim\GD19074	Dsec\GM24284
al	Dsim\GD23020	Dsec\GM16736
AlaRS	Dsim\GD22412	Dsec\GM12994
AlaRS-m	Dsim\GD13880	Dsec\GM14698
Alas	Dsim\GD11815	Dsec\GM16072
alc	Dsim\GD10101	Dsec\GM20628
Ald	Dsim\GD18141	Dsec\GM10189
Aldh	Dsim\GD23600	Dsec\GM17439
Aldh-III	Dsim\GD10252	Dsec\GM20791
Alg-2	Dsim\GD12853	Dsec\GM19651
