tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0067532	-	-	gene:FBgn0067532	Dsim\18w	-	2R:16535351-16540778	-	-	0.936685	0.171885	1.70148	OK
gene:FBgn0195143	-	-	gene:FBgn0195143	Dsim\ab	-	2L:10868671-10913783	-	-	0.399405	0	1.20041	OK
gene:FBgn0025043	-	-	gene:FBgn0025043	Dsim\Abd-B	-	3R:8497492-8503049	-	-	0	0	0	OK
gene:FBgn0022516	-	-	gene:FBgn0022516	Dsim\Ace	-	3R:12087669-12124207	-	-	2.19588	0.499724	3.89203	OK
gene:FBgn0083474	-	-	gene:FBgn0083474	Dsim\Acp24A4	-	2L:3546647-3547075	-	-	0	0	0	OK
gene:FBgn0012820	-	-	gene:FBgn0012820	Dsim\Acp26Aa	-	2L:5688298-5689540	-	-	0	0	0	OK
gene:FBgn0012821	-	-	gene:FBgn0012821	Dsim\Acp26Ab	-	2L:5687785-5688268	-	-	0	0	0	OK
gene:FBgn0027418	-	-	gene:FBgn0027418	Dsim\Acp29AB	-	2L:8119341-8120161	-	-	0	0	0	OK
gene:FBgn0043403	-	-	gene:FBgn0043403	Dsim\Acp32CD	-	2L:10672874-10673831	-	-	0	0	0	OK
gene:FBgn0041931	-	-	gene:FBgn0041931	Dsim\Acp36DE	-	2L:17881902-17884951	-	-	0	0	0	OK
gene:FBgn0069522	-	-	gene:FBgn0069522	Dsim\Acp53C14a	-	2R:13307178-13307744	-	-	0	0	0	OK
gene:FBgn0069521	-	-	gene:FBgn0069521	Dsim\Acp53C14b	-	2R:13308034-13308627	-	-	0	0	0	OK
gene:FBgn0069520	-	-	gene:FBgn0069520	Dsim\Acp53C14c	-	2R:13309953-13310651	-	-	0	0	0	OK
gene:FBgn0043401	-	-	gene:FBgn0043401	Dsim\Acp53Ea	-	2R:13308966-13309522	-	-	0	0	0	OK
gene:FBgn0083473	-	-	gene:FBgn0083473	Dsim\Acp54A1	-	2R:13691525-13692624	-	-	10.0911	3.57539	16.6067	OK
gene:FBgn0043400	-	-	gene:FBgn0043400	Dsim\Acp62F	-	3L:2626902-2627356	-	-	0	0	0	OK
gene:FBgn0043399	-	-	gene:FBgn0043399	Dsim\Acp63F	-	3L:3706477-3706991	-	-	9.3975	0	28.1925	OK
gene:FBgn0021129	-	-	gene:FBgn0021129	Dsim\Acp70A	-	3L:12996204-12996530	-	-	0	0	0	OK
gene:FBgn0043398	-	-	gene:FBgn0043398	Dsim\Acp76A	-	3L:18563517-18564816	-	-	0	0	0	OK
gene:FBgn0018327	-	-	gene:FBgn0018327	Dsim\Acph-1	-	3R:25165383-25167168	-	-	1.28232	0	3.09832	OK
gene:FBgn0012823	-	-	gene:FBgn0012823	Dsim\Act88F	-	3R:9961335-9963180	-	-	29.8279	19.3896	40.2662	OK
gene:FBgn0069519	-	-	gene:FBgn0069519	Dsim\Acyp	-	2L:13450227-13450783	-	-	0	0	0	OK
gene:FBgn0012824	-	-	gene:FBgn0012824	Dsim\Adh	-	2L:14154544-14156368	-	-	62.1604	45.0691	79.2517	OK
gene:FBgn0012825	-	-	gene:FBgn0012825	Dsim\Adhr	-	2L:14154546-14157850	-	-	0	0	0	OK
gene:FBgn0084546	-	-	gene:FBgn0084546	Dsim\AGO1	-	2R:10518740-10533429	-	-	5.94817	3.93175	7.96459	OK
gene:FBgn0084451	-	-	gene:FBgn0084451	Dsim\AGO2	-	3L:15180619-15185845	-	-	21.7972	16.5257	27.0686	OK
gene:FBgn0027806	-	-	gene:FBgn0027806	Dsim\alpha-Est4	-	3R:3281037-3283231	-	-	1.21633	0	3.67829	OK
gene:FBgn0027804	-	-	gene:FBgn0027804	Dsim\alpha-Est6	-	3R:3268399-3272730	-	-	0	0	0	OK
gene:FBgn0083472	-	-	gene:FBgn0083472	Dsim\AlstR	-	X:6544554-6547768	-	-	22.8597	16.7582	28.9611	OK
gene:FBgn0084450	-	-	gene:FBgn0084450	Dsim\aly	-	3L:2892313-2894305	-	-	0	0	0	OK
gene:FBgn0046919	-	-	gene:FBgn0046919	Dsim\Ama	-	3R:2480200-2484535	-	-	0	0	0	OK
gene:FBgn0018304	-	-	gene:FBgn0018304	Dsim\amd	-	2L:18626825-18630775	-	-	2.13747	0	4.80608	OK
gene:FBgn0012826	-	-	gene:FBgn0012826	Dsim\Amy-d	-	2R:13681789-13683120	-	-	2.95821	0	5.91784	OK
gene:FBgn0012827	-	-	gene:FBgn0012827	Dsim\Amy-p	-	2R:13676780-13677268	-	-	23.0399	4.22789	41.8518	OK
gene:FBgn0021128	-	-	gene:FBgn0021128	Dsim\Amyrel	-	2R:13210915-13212544	-	-	2.1308	0	5.01021	OK
gene:FBgn0262093	-	-	gene:FBgn0262093	Dsim\Ance	-	2L:13443918-13447412	-	-	29.6349	21.9798	37.29	OK
gene:FBgn0027802	-	-	gene:FBgn0027802	Dsim\anon-EST:fe1A3	-	3R:26848843-26852900	-	-	23.3364	17.8181	28.8547	OK
gene:FBgn0027801	-	-	gene:FBgn0027801	Dsim\anon-EST:fe1E9	-	3R:16194378-16196683	-	-	3.23579	0.947742	5.52384	OK
gene:FBgn0025411	-	-	gene:FBgn0025411	Dsim\Anp	-	3R:25380943-25381317	-	-	0	0	0	OK
gene:FBgn0041673	-	-	gene:FBgn0041673	Dsim\AP-50	-	3R:17811436-17813597	-	-	6.44729	2.60419	10.2904	OK
gene:FBgn0082760	-	-	gene:FBgn0082760	Dsim\Ate1	-	2R:16677615-16680256	-	-	6.36332	1.94646	10.7802	OK
gene:FBgn0083471	-	-	gene:FBgn0083471	Dsim\Atg5	-	X:6777577-6786476	-	-	2.0263	0	4.89591	OK
gene:FBgn0083470	-	-	gene:FBgn0083470	Dsim\Atg9	-	2R:12851524-12854363	-	-	1.76413	0.186245	3.34203	OK
gene:FBgn0022517	-	-	gene:FBgn0022517	Dsim\ATPsyn-beta	-	4:838221-839649	-	-	24.7965	15.4299	34.1631	OK
gene:FBgn0046918	-	-	gene:FBgn0046918	Dsim\AttA	-	2R:11337739-11338536	-	-	2.25183	0	6.75548	OK
gene:FBgn0046917	-	-	gene:FBgn0046917	Dsim\AttB	-	2R:11339398-11340391	-	-	5.41094	0	11.6589	OK
gene:FBgn0046916	-	-	gene:FBgn0046916	Dsim\AttC	-	2R:9949349-9950232	-	-	6.20516	0	12.4133	OK
gene:FBgn0068704	-	-	gene:FBgn0068704	Dsim\Axn	-	3R:25194915-25207360	-	-	1.4983	0.320097	2.6765	OK
gene:FBgn0084466	-	-	gene:FBgn0084466	Dsim\bam	-	3R:20577833-20579860	-	-	2.34518	0	5.0654	OK
gene:FBgn0255979	-	-	gene:FBgn0255979	Dsim\bantam	-	3L:606932-607013	-	-	0	0	0	OK
gene:FBgn0067504	-	-	gene:FBgn0067504	Dsim\bap	-	3R:4095255-4096819	-	-	0	0	0	OK
gene:FBgn0012864	-	-	gene:FBgn0012864	Dsim\bcd	-	3R:2475591-2478956	-	-	3.55083	0.708285	6.39338	OK
gene:FBgn0063997	-	-	gene:FBgn0063997	Dsim\BcDNA:GH10711	-	2L:10437130-10440950	-	-	5.9083	3.19356	8.62305	OK
gene:FBgn0068703	-	-	gene:FBgn0068703	Dsim\BCL7-like	-	X:8785552-8786682	-	-	10.2975	2.51332	18.0817	OK
gene:FBgn0190104	-	-	gene:FBgn0190104	Dsim\beta-CA	-	3R:16204532-16206542	-	-	1.99868	0	4.82917	OK
gene:FBgn0084229	-	-	gene:FBgn0084229	Dsim\beta4GalT7	-	3R:20359699-20360921	-	-	15.0548	6.38864	23.7209	OK
gene:FBgn0042864	-	-	gene:FBgn0042864	Dsim\BG:BACR44L22.4	-	2L:15201740-15202657	-	-	0	0	0	OK
gene:FBgn0042860	-	-	gene:FBgn0042860	Dsim\BG:DS07721.6	-	2L:14253898-14259470	-	-	0	0	0	OK
gene:FBgn0045605	-	-	gene:FBgn0045605	Dsim\BG642287	-	3R:21505642-21506627	-	-	0	0	0	OK
gene:FBgn0041666	-	-	gene:FBgn0041666	Dsim\bnb	-	X:17594420-17597476	-	-	0.40026	0	1.20078	OK
gene:FBgn0020078	-	-	gene:FBgn0020078	Dsim\boss	-	3R:21284547-21289700	-	-	40.8876	33.4431	48.3321	OK
gene:FBgn0188167	-	-	gene:FBgn0188167	Dsim\br	-	X:1380792-1406474	-	-	2.22556	0.991042	3.46008	OK
gene:FBgn0184378	-	-	gene:FBgn0184378	Dsim\bru-3	-	3L:13226477-13481268	-	-	0.472164	0	5.99278	OK
gene:FBgn0067503	-	-	gene:FBgn0067503	Dsim\cact	-	2L:15838987-15851833	-	-	7.29971	3.38163	11.2178	OK
gene:FBgn0083469	-	-	gene:FBgn0083469	Dsim\CAH1	-	2L:13350127-13356333	-	-	0.688936	0	2.65079	OK
gene:FBgn0022505	-	-	gene:FBgn0022505	Dsim\Cat	-	3L:18333336-18338871	-	-	53.0138	42.594	63.4335	OK
gene:FBgn0084332	-	-	gene:FBgn0084332	Dsim\Catsup	-	2L:18559276-18560989	-	-	8.48732	3.46598	13.5087	OK
gene:FBgn0250857	-	-	gene:FBgn0250857	Dsim\cav	-	3R:19579170-19580945	-	-	14.4164	6.11777	22.7151	OK
gene:FBgn0194348	-	-	gene:FBgn0194348	Dsim\cbt	-	2L:448586-451537	-	-	0.929888	0	2.74182	OK
gene:FBgn0025042	-	-	gene:FBgn0025042	Dsim\Cdc37	-	3L:1705227-1707157	-	-	4.29975	1.04944	7.55005	OK
gene:FBgn0025039	-	-	gene:FBgn0025039	Dsim\CecA1	-	3R:25381826-25382260	-	-	0	0	0	OK
gene:FBgn0025038	-	-	gene:FBgn0025038	Dsim\CecB	-	3R:25384011-25384627	-	-	0	0	0	OK
gene:FBgn0046915	-	-	gene:FBgn0046915	Dsim\CecC	-	3R:25387016-25387592	-	-	0	0	0	OK
gene:FBgn0041670	-	-	gene:FBgn0041670	Dsim\Cen190	-	3R:10127843-10132619	-	-	3.20889	1.60445	4.81334	OK
gene:FBgn0186474	-	-	gene:FBgn0186474	Dsim\Chd3	-	3L:18993989-18996979	-	-	3.69851	1.31043	6.08659	OK
gene:FBgn0083419	-	-	gene:FBgn0083419	Dsim\chic	-	2L:5768794-5776702	-	-	4.66566	0	10.9983	OK
gene:FBgn0194496	-	-	gene:FBgn0194496	Dsim\chinmo	-	2L:1585637-1625487	-	-	0	0	0	OK
gene:FBgn0066168	-	-	gene:FBgn0066168	Dsim\CHIP	-	2L:10116540-10118210	-	-	9.85967	3.91406	15.8053	OK
gene:FBgn0084777	-	-	gene:FBgn0084777	Dsim\CHKov2	-	3R:20665486-20667182	-	-	4.85458	0.130003	9.57915	OK
gene:FBgn0012866	-	-	gene:FBgn0012866	Dsim\ci	-	4:24479-31894	-	-	0.486114	0	2.25179	OK
gene:FBgn0044191	-	-	gene:FBgn0044191	Dsim\cid	-	2R:10036479-10037870	-	-	6.53223	1.91325	11.1512	OK
gene:FBgn0046914	-	-	gene:FBgn0046914	Dsim\CkIIalpha	-	3L:22434201-22438298	-	-	34.8973	22.9126	46.882	OK
gene:FBgn0082742	-	-	gene:FBgn0082742	Dsim\CkIIbeta2	-	2R:16712336-16713288	-	-	0	0	0	OK
gene:FBgn0085956	-	-	gene:FBgn0085956	Dsim\CoIV	-	2L:19417101-19418416	-	-	254.603	214.294	294.911	OK
gene:FBgn0067172	-	-	gene:FBgn0067172	Dsim\CoVa	-	3R:13454190-13454938	-	-	359.844	308.172	411.515	OK
gene:FBgn0085859	-	-	gene:FBgn0085859	Dsim\CoVb	-	2L:6332828-6333541	-	-	2.07203	0	7.93263	OK
gene:FBgn0085925	-	-	gene:FBgn0085925	Dsim\CoVIa	-	3L:18423837-18427440	-	-	0	0	0	OK
gene:FBgn0085957	-	-	gene:FBgn0085957	Dsim\CoVIb	-	X:18512366-18516051	-	-	323.619	261.655	385.583	OK
gene:FBgn0265132	-	-	gene:FBgn0265132	Dsim\CoVIIa	-	3R:16796624-16797321	-	-	0	0	0	OK
gene:FBgn0085963	-	-	gene:FBgn0085963	Dsim\CoVIIc	-	2R:6712510-6713165	-	-	623.449	508.142	738.756	OK
gene:FBgn0085958	-	-	gene:FBgn0085958	Dsim\CoVIII	-	3L:20946988-20947476	-	-	308.588	220.105	397.072	OK
gene:FBgn0189095	-	-	gene:FBgn0189095	Dsim\Cp110	-	X:20391011-20396186	-	-	0	0	0	OK
gene:FBgn0083437	-	-	gene:FBgn0083437	Dsim\Cp16	-	3L:8514406-8515145	-	-	68.2874	39.1696	97.4052	OK
gene:FBgn0068668	-	-	gene:FBgn0068668	Dsim\Crag	-	X:8046104-8055826	-	-	7.06204	5.1112	9.01288	OK
gene:FBgn0041270	-	-	gene:FBgn0041270	Dsim\crm	-	X:2430658-2434971	-	-	5.16373	2.85708	7.47038	OK
gene:FBgn0064356	-	-	gene:FBgn0064356	Dsim\crq	-	2L:421317-425630	-	-	58.6646	46.5784	70.7508	OK
gene:FBgn0064364	-	-	gene:FBgn0064364	Dsim\Crz	-	3R:11067164-11068021	-	-	0	0	0	OK
gene:FBgn0192420	-	-	gene:FBgn0192420	Dsim\CSN6	-	3R:17932437-17933692	-	-	5.51293	0.62742	10.3985	OK
gene:FBgn0084635	-	-	gene:FBgn0084635	Dsim\Cyp28c1	-	X:11101980-11104222	-	-	0	0	0	OK
gene:FBgn0024396	-	-	gene:FBgn0024396	Dsim\Cyp4d1	-	X:1890356-1902508	-	-	6.18787	2.56427	9.81146	OK
gene:FBgn0024395	-	-	gene:FBgn0024395	Dsim\Cyp4d2	-	X:1908290-1910424	-	-	1.72795	0	3.72321	OK
gene:FBgn0068666	-	-	gene:FBgn0068666	Dsim\Cyp4g15	-	X:10788034-10794250	-	-	0.337576	0	1.01273	OK
gene:FBgn0068665	-	-	gene:FBgn0068665	Dsim\Cyp6a26	-	2R:3531987-3533771	-	-	10.104	5.20285	15.0052	OK
gene:FBgn0187131	-	-	gene:FBgn0187131	Dsim\Dat	-	2R:20489973-20493363	-	-	82.5728	66.7287	98.4168	OK
