tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0179855	-	-	gene:FBgn0179855	Dsec\GM24994	-	scaffold_0:23433-23979	-	-	0	0	0	OK
gene:FBgn0179857	-	-	gene:FBgn0179857	Dsec\GM24996	-	scaffold_0:2991-3810	-	-	9.70314	6.26577	13.1405	OK
gene:FBgn0179851	-	-	gene:FBgn0179851	Dsec\GM24990	-	scaffold_0:45281-48862	-	-	14.1148	7.05739	21.1722	OK
gene:FBgn0179852	-	-	gene:FBgn0179852	Dsec\GM24991	-	scaffold_0:40455-44857	-	-	16.5945	13.3217	19.8674	OK
gene:FBgn0179859	-	-	gene:FBgn0179859	Dsec\GM24998	-	scaffold_0:54252-55002	-	-	3.10686	1.30631	4.90741	OK
gene:FBgn0179856	-	-	gene:FBgn0179856	Dsec\GM24995	-	scaffold_0:5719-19420	-	-	29.2145	26.3075	32.1214	OK
gene:FBgn0179853	-	-	gene:FBgn0179853	Dsec\GM24992	-	scaffold_0:35221-39072	-	-	1.11476	0.616223	1.61329	OK
gene:FBgn0179862	-	-	gene:FBgn0179862	Dsec\GM25001	-	scaffold_0:63720-64090	-	-	0	0	0	OK
gene:FBgn0179858	-	-	gene:FBgn0179858	Dsec\GM24997	-	scaffold_0:25691-27648	-	-	778.097	757.58	798.614	OK
gene:FBgn0179861	-	-	gene:FBgn0179861	Dsec\GM25000	-	scaffold_0:61244-61709	-	-	1182.7	1129.77	1235.64	OK
gene:FBgn0179850	-	-	gene:FBgn0179850	Dsec\GM24989	-	scaffold_0:75249-76849	-	-	6.88218	0	14.829	OK
gene:FBgn0179848	-	-	gene:FBgn0179848	Dsec\GM24987	-	scaffold_0:85429-86210	-	-	18.0849	13.6661	22.5037	OK
gene:FBgn0179863	-	-	gene:FBgn0179863	Dsec\GM25002	-	scaffold_0:67417-69844	-	-	177.137	167.282	186.993	OK
gene:FBgn0179845	-	-	gene:FBgn0179845	Dsec\GM24984	-	scaffold_0:130554-167394	-	-	11.5776	6.64089	16.5143	OK
gene:FBgn0179846	-	-	gene:FBgn0179846	Dsec\GM24985	-	scaffold_0:115892-126119	-	-	49.6194	45.2599	53.9789	OK
gene:FBgn0179865	-	-	gene:FBgn0179865	Dsec\GM25004	-	scaffold_0:191716-192525	-	-	0.625817	0	1.51209	OK
gene:FBgn0179847	-	-	gene:FBgn0179847	Dsec\GM24986	-	scaffold_0:86598-104200	-	-	7.49832	5.9767	9.01993	OK
gene:FBgn0179864	-	-	gene:FBgn0179864	Dsec\GM25003	-	scaffold_0:169636-191181	-	-	1.04623	0.439899	1.65257	OK
gene:FBgn0179866	-	-	gene:FBgn0179866	Dsec\GM25005	-	scaffold_0:209079-210126	-	-	12.8663	9.91533	15.8173	OK
gene:FBgn0179849	-	-	gene:FBgn0179849	Dsec\GM24988	-	scaffold_0:70963-75230	-	-	7.36597	6.03469	8.69724	OK
gene:FBgn0179843	-	-	gene:FBgn0179843	Dsec\GM24982	-	scaffold_0:210258-211505	-	-	39.6845	34.6751	44.694	OK
gene:FBgn0174292	-	-	gene:FBgn0174292	Dsec\GM19392	-	scaffold_0:211889-212012	-	-	1613.11	1117.52	2108.7	OK
gene:FBgn0179842	-	-	gene:FBgn0179842	Dsec\GM24981	-	scaffold_0:213910-215248	-	-	109.1	82.6276	135.572	OK
gene:FBgn0179867	-	-	gene:FBgn0179867	Dsec\GM25006	-	scaffold_0:223666-223965	-	-	378.755	310.648	446.861	OK
gene:FBgn0179869	-	-	gene:FBgn0179869	Dsec\GM25008	-	scaffold_0:258500-259677	-	-	57.3132	50.8649	63.7616	OK
gene:FBgn0179854	-	-	gene:FBgn0179854	Dsec\GM24993	-	scaffold_0:28153-32894	-	-	3.72059	2.94029	4.50089	OK
gene:FBgn0179868	-	-	gene:FBgn0179868	Dsec\GM25007	-	scaffold_0:235499-238186	-	-	4.27695	2.9165	5.63739	OK
gene:FBgn0179839	-	-	gene:FBgn0179839	Dsec\GM24978	-	scaffold_0:263508-263902	-	-	51.7312	36.4503	67.0122	OK
gene:FBgn0179838	-	-	gene:FBgn0179838	Dsec\GM24977	-	scaffold_0:265818-266439	-	-	69.8064	60.1763	79.4365	OK
gene:FBgn0179870	-	-	gene:FBgn0179870	Dsec\GM25009	-	scaffold_0:264364-265508	-	-	47.2137	41.8907	52.5368	OK
gene:FBgn0179844	-	-	gene:FBgn0179844	Dsec\GM24983	-	scaffold_0:193396-207900	-	-	8.22223	7.07333	9.37112	OK
gene:FBgn0179872	-	-	gene:FBgn0179872	Dsec\GM25011	-	scaffold_0:338716-338911	-	-	0	0	0	OK
gene:FBgn0179840	-	-	gene:FBgn0179840	Dsec\GM24979	-	scaffold_0:260418-262764	-	-	28.6817	25.7613	31.602	OK
gene:FBgn0255277	-	-	gene:FBgn0255277	Dsec\tRNA:GM27144	-	scaffold_0:340242-340325	-	-	0	0	0	OK
gene:FBgn0255278	-	-	gene:FBgn0255278	Dsec\tRNA:GM27145	-	scaffold_0:340494-340577	-	-	0	0	0	OK
gene:FBgn0255279	-	-	gene:FBgn0255279	Dsec\tRNA:GM27146	-	scaffold_0:340717-340800	-	-	0	0	0	OK
gene:FBgn0179871	-	-	gene:FBgn0179871	Dsec\GM25010	-	scaffold_0:268696-330023	-	-	4.51616	2.89391	6.13841	OK
gene:FBgn0255276	-	-	gene:FBgn0255276	Dsec\tRNA:GM27143	-	scaffold_0:308971-309044	-	-	0	0	0	OK
gene:FBgn0179837	-	-	gene:FBgn0179837	Dsec\GM24976	-	scaffold_0:334685-338102	-	-	5.4605	3.72358	7.19742	OK
gene:FBgn0255280	-	-	gene:FBgn0255280	Dsec\tRNA:GM27147	-	scaffold_0:345487-345570	-	-	0	0	0	OK
gene:FBgn0255282	-	-	gene:FBgn0255282	Dsec\tRNA:GM27149	-	scaffold_0:347976-348059	-	-	0	0	0	OK
gene:FBgn0255281	-	-	gene:FBgn0255281	Dsec\tRNA:GM27148	-	scaffold_0:345795-345878	-	-	0	0	0	OK
gene:FBgn0179836	-	-	gene:FBgn0179836	Dsec\GM24975	-	scaffold_0:349210-349678	-	-	0	0	0	OK
gene:FBgn0179874	-	-	gene:FBgn0179874	Dsec\GM25013	-	scaffold_0:354191-360567	-	-	2.44629	0	5.27103	OK
gene:FBgn0179873	-	-	gene:FBgn0179873	Dsec\GM25012	-	scaffold_0:351534-352665	-	-	2.78166	0.81473	4.7486	OK
gene:FBgn0179875	-	-	gene:FBgn0179875	Dsec\GM25014	-	scaffold_0:372406-372706	-	-	17.0461	7.16719	26.925	OK
gene:FBgn0179877	-	-	gene:FBgn0179877	Dsec\GM25016	-	scaffold_0:389798-390455	-	-	0.293466	0	0.880399	OK
gene:FBgn0179841	-	-	gene:FBgn0179841	Dsec\GM24980	-	scaffold_0:215385-222663	-	-	19.4943	17.5712	21.4175	OK
gene:FBgn0179834	-	-	gene:FBgn0179834	Dsec\GM24973	-	scaffold_0:394483-396220	-	-	65.5483	59.5073	71.5892	OK
gene:FBgn0179882	-	-	gene:FBgn0179882	Dsec\GM25021	-	scaffold_0:402387-404038	-	-	4.77761	3.3098	6.24542	OK
gene:FBgn0179833	-	-	gene:FBgn0179833	Dsec\GM24972	-	scaffold_0:404197-404920	-	-	26.767	20.8511	32.6829	OK
gene:FBgn0179880	-	-	gene:FBgn0179880	Dsec\GM25019	-	scaffold_0:391037-393704	-	-	41.597	37.8629	45.3311	OK
gene:FBgn0179832	-	-	gene:FBgn0179832	Dsec\GM24971	-	scaffold_0:405110-405497	-	-	130.411	110.963	149.859	OK
gene:FBgn0179835	-	-	gene:FBgn0179835	Dsec\GM24974	-	scaffold_0:367470-371099	-	-	8.66413	7.23975	10.0885	OK
gene:FBgn0179883	-	-	gene:FBgn0179883	Dsec\GM25022	-	scaffold_0:408758-411352	-	-	187.954	177.088	198.819	OK
gene:FBgn0179831	-	-	gene:FBgn0179831	Dsec\GM24970	-	scaffold_0:405898-408167	-	-	36.3534	33.003	39.7037	OK
gene:FBgn0179827	-	-	gene:FBgn0179827	Dsec\GM24966	-	scaffold_0:435207-435471	-	-	87.7028	59.1161	116.29	OK
gene:FBgn0179876	-	-	gene:FBgn0179876	Dsec\GM25015	-	scaffold_0:378944-386235	-	-	95.2945	91.0561	99.533	OK
gene:FBgn0179881	-	-	gene:FBgn0179881	Dsec\GM25020	-	scaffold_0:396932-401504	-	-	51.8975	48.6409	55.1541	OK
gene:FBgn0179824	-	-	gene:FBgn0179824	Dsec\GM24963	-	scaffold_0:459126-459747	-	-	0	0	0	OK
gene:FBgn0179826	-	-	gene:FBgn0179826	Dsec\GM24965	-	scaffold_0:440696-455747	-	-	2.02111	0.716105	3.32612	OK
gene:FBgn0179885	-	-	gene:FBgn0179885	Dsec\GM25024	-	scaffold_0:460296-461971	-	-	19.6575	16.4894	22.8256	OK
gene:FBgn0179825	-	-	gene:FBgn0179825	Dsec\GM24964	-	scaffold_0:456336-458238	-	-	44.7181	39.8822	49.5541	OK
gene:FBgn0179829	-	-	gene:FBgn0179829	Dsec\GM24968	-	scaffold_0:423092-426745	-	-	8.24894	6.87887	9.61902	OK
gene:FBgn0179823	-	-	gene:FBgn0179823	Dsec\GM24962	-	scaffold_0:462752-464819	-	-	23.593	20.1181	27.068	OK
gene:FBgn0179886	-	-	gene:FBgn0179886	Dsec\GM25025	-	scaffold_0:466701-469426	-	-	42.3404	37.3702	47.3105	OK
gene:FBgn0179884	-	-	gene:FBgn0179884	Dsec\GM25023	-	scaffold_0:418286-422332	-	-	2.13699	1.45724	2.81674	OK
gene:FBgn0179821	-	-	gene:FBgn0179821	Dsec\GM24960	-	scaffold_0:475899-476819	-	-	109.377	95.6749	123.078	OK
gene:FBgn0179889	-	-	gene:FBgn0179889	Dsec\GM25028	-	scaffold_0:482082-482531	-	-	0	0	0	OK
gene:FBgn0179888	-	-	gene:FBgn0179888	Dsec\GM25027	-	scaffold_0:477503-478668	-	-	19.4089	15.8354	22.9823	OK
