tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0255862	-	-	gene:FBgn0255862	Dsec\18SrRNA:GM27729	-	scaffold_204:13059-15056	-	-	21.6708	18.6904	24.6513	OK
gene:FBgn0255863	-	-	gene:FBgn0255863	Dsec\18SrRNA:GM27730	-	scaffold_1920:3346-5276	-	-	41.7332	37.5908	45.8755	OK
gene:FBgn0255864	-	-	gene:FBgn0255864	Dsec\18SrRNA:GM27731	-	scaffold_2973:933-2864	-	-	34.6736	30.8681	38.4792	OK
gene:FBgn0255865	-	-	gene:FBgn0255865	Dsec\18SrRNA:GM27732	-	scaffold_3469:658-2585	-	-	33.1036	29.3805	36.8267	OK
gene:FBgn0255866	-	-	gene:FBgn0255866	Dsec\18SrRNA:GM27733	-	scaffold_3538:207-2198	-	-	34.1494	30.4214	37.8773	OK
gene:FBgn0255867	-	-	gene:FBgn0255867	Dsec\18SrRNA:GM27734	-	scaffold_3754:168-2165	-	-	30.9227	27.4473	34.3981	OK
gene:FBgn0255077	-	-	gene:FBgn0255077	Dsec\5.8SrRNA:GM26944	-	scaffold_10320:251-430	-	-	88.5201	37.2192	139.821	OK
gene:FBgn0255078	-	-	gene:FBgn0255078	Dsec\5.8SrRNA:GM26945	-	scaffold_10362:1076-1255	-	-	59.0134	17.2846	100.742	OK
gene:FBgn0255079	-	-	gene:FBgn0255079	Dsec\5.8SrRNA:GM26946	-	scaffold_10390:617-796	-	-	103.273	48.0715	158.475	OK
gene:FBgn0255080	-	-	gene:FBgn0255080	Dsec\5.8SrRNA:GM26947	-	scaffold_10473:1028-1207	-	-	103.273	48.0715	158.475	OK
gene:FBgn0255081	-	-	gene:FBgn0255081	Dsec\5.8SrRNA:GM26948	-	scaffold_10564:1314-1349	-	-	0	0	0	OK
gene:FBgn0255082	-	-	gene:FBgn0255082	Dsec\5.8SrRNA:GM26949	-	scaffold_10700:587-766	-	-	118.027	59.0134	177.04	OK
gene:FBgn0255083	-	-	gene:FBgn0255083	Dsec\5.8SrRNA:GM26950	-	scaffold_10846:467-646	-	-	44.26	8.12187	80.3982	OK
gene:FBgn0255084	-	-	gene:FBgn0255084	Dsec\5.8SrRNA:GM26951	-	scaffold_10880:474-653	-	-	73.7667	26.1365	121.397	OK
gene:FBgn0255085	-	-	gene:FBgn0255085	Dsec\5.8SrRNA:GM26952	-	scaffold_10893:23-203	-	-	50.608	12.3519	88.864	OK
gene:FBgn0255086	-	-	gene:FBgn0255086	Dsec\5.8SrRNA:GM26953	-	scaffold_11057:737-916	-	-	95.8968	42.7028	149.091	OK
gene:FBgn0255087	-	-	gene:FBgn0255087	Dsec\5.8SrRNA:GM26954	-	scaffold_11086:239-418	-	-	73.4213	26.0141	120.828	OK
gene:FBgn0255088	-	-	gene:FBgn0255088	Dsec\5.8SrRNA:GM26955	-	scaffold_11087:1111-1290	-	-	66.3901	22.13	110.65	OK
gene:FBgn0255089	-	-	gene:FBgn0255089	Dsec\5.8SrRNA:GM26956	-	scaffold_11253:817-996	-	-	95.8968	42.7028	149.091	OK
gene:FBgn0255090	-	-	gene:FBgn0255090	Dsec\5.8SrRNA:GM26957	-	scaffold_11278:724-903	-	-	67.498	22.4993	112.497	OK
gene:FBgn0255091	-	-	gene:FBgn0255091	Dsec\5.8SrRNA:GM26958	-	scaffold_11373:164-343	-	-	73.7667	26.1365	121.397	OK
gene:FBgn0255092	-	-	gene:FBgn0255092	Dsec\5.8SrRNA:GM26959	-	scaffold_11385:826-1005	-	-	73.7667	26.1365	121.397	OK
