tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0268949	-	-	gene:FBgn0268949	Dsim\GD27659	-	2L:62374-64558	-	-	0	0	0	OK
gene:FBgn0194385	-	-	gene:FBgn0194385	Dsim\GD22993	-	2L:68625-73550	-	-	0	0	0	OK
gene:FBgn0270109	-	-	gene:FBgn0270109	Dsim\GD28819	-	2L:70416-71441	-	-	0	0	0	OK
gene:FBgn0194394	-	-	gene:FBgn0194394	Dsim\GD23002	-	2L:117804-120212	-	-	26.7637	18.7198	34.8077	OK
gene:FBgn0194379	-	-	gene:FBgn0194379	Dsim\GD22987	-	2L:124258-125065	-	-	0	0	0	OK
gene:FBgn0194378	-	-	gene:FBgn0194378	Dsim\GD22986	-	2L:125066-126612	-	-	2.30007	0	5.5574	OK
gene:FBgn0194389	-	-	gene:FBgn0194389	Dsim\GD22997	-	2L:52875-57228	-	-	1.28291	0	2.56644	OK
gene:FBgn0194392	-	-	gene:FBgn0194392	Dsim\GD23000	-	2L:88485-90382	-	-	7.57675	1.75611	13.3974	OK
gene:FBgn0194383	-	-	gene:FBgn0194383	Dsim\GD22991	-	2L:90146-92857	-	-	1.2352	0	3.37461	OK
gene:FBgn0269357	-	-	gene:FBgn0269357	Dsim\GD28067	-	2L:144751-146058	-	-	0	0	0	OK
gene:FBgn0194381	-	-	gene:FBgn0194381	Dsim\GD22989	-	2L:102312-107189	-	-	2.4777	0	5.5754	OK
gene:FBgn0194372	-	-	gene:FBgn0194372	Dsim\GD22980	-	2L:143543-144557	-	-	2.31091	0	6.93272	OK
gene:FBgn0194400	-	-	gene:FBgn0194400	Dsim\GD23008	-	2L:189769-190800	-	-	3.15728	0	8.6752	OK
gene:FBgn0194371	-	-	gene:FBgn0194371	Dsim\GD22979	-	2L:190774-193310	-	-	0	0	0	OK
gene:FBgn0194380	-	-	gene:FBgn0194380	Dsim\GD22988	-	2L:108383-114960	-	-	39.8888	30.8158	48.9618	OK
gene:FBgn0194368	-	-	gene:FBgn0194368	Dsim\GD22976	-	2L:237335-238539	-	-	0	0	0	OK
gene:FBgn0194390	-	-	gene:FBgn0194390	Dsim\GD22998	-	2L:57386-62301	-	-	15.8858	6.61386	25.1577	OK
gene:FBgn0194401	-	-	gene:FBgn0194401	Dsim\GD23009	-	2L:193432-196511	-	-	0.90403	0	2.18431	OK
gene:FBgn0194366	-	-	gene:FBgn0194366	Dsim\GD22973	-	2L:258159-259994	-	-	2.62058	0	5.24243	OK
gene:FBgn0194391	-	-	gene:FBgn0194391	Dsim\GD22999	-	2L:80797-88201	-	-	0.225218	0	0.675655	OK
gene:FBgn0194406	-	-	gene:FBgn0194406	Dsim\GD23014	-	2L:278661-279303	-	-	6.05177	0	14.6222	OK
gene:FBgn0194360	-	-	gene:FBgn0194360	Dsim\GD22967	-	2L:279596-280956	-	-	0	0	0	OK
gene:FBgn0194363	-	-	gene:FBgn0194363	Dsim\GD22970	-	2L:269569-278035	-	-	11.421	2.53916	20.3029	OK
gene:FBgn0194362	-	-	gene:FBgn0194362	Dsim\GD22969	-	2L:273397-277003	-	-	0	0	0	OK
gene:FBgn0066163	-	-	gene:FBgn0066163	Dsim\Hop	-	2L:281402-283722	-	-	7.18807	3.20084	11.1753	OK
gene:FBgn0194367	-	-	gene:FBgn0194367	Dsim\GD22975	-	2L:238769-258006	-	-	0	0	0	OK
gene:FBgn0085134	-	-	gene:FBgn0085134	Dsim\GD22974	-	2L:249418-255255	-	-	0.194983	0	0.584948	OK
gene:FBgn0194403	-	-	gene:FBgn0194403	Dsim\GD23011	-	2L:255350-257801	-	-	0	0	0	OK
gene:FBgn0194411	-	-	gene:FBgn0194411	Dsim\GD23020	-	2L:350596-360236	-	-	0	0	0	OK
gene:FBgn0194393	-	-	gene:FBgn0194393	Dsim\GD23001	-	2L:93850-100414	-	-	64.1048	50.6107	77.5989	OK
gene:FBgn0194382	-	-	gene:FBgn0194382	Dsim\GD22990	-	2L:100140-102233	-	-	15.725	7.5269	23.9231	OK
gene:FBgn0194404	-	-	gene:FBgn0194404	Dsim\GD23012	-	2L:260127-261070	-	-	0	0	0	OK
gene:FBgn0194405	-	-	gene:FBgn0194405	Dsim\GD23013	-	2L:264129-268440	-	-	3.42172	0.935809	5.90763	OK
gene:FBgn0194365	-	-	gene:FBgn0194365	Dsim\GD22972	-	2L:261047-264540	-	-	2.89815	0.477321	5.31898	OK
gene:FBgn0194364	-	-	gene:FBgn0194364	Dsim\GD22971	-	2L:268138-269409	-	-	11.8767	2.92176	20.8316	OK
gene:FBgn0194354	-	-	gene:FBgn0194354	Dsim\GD22961	-	2L:369450-374938	-	-	3.00127	1.39702	4.60551	OK
gene:FBgn0194412	-	-	gene:FBgn0194412	Dsim\GD23021	-	2L:376937-381423	-	-	1.05193	0	2.2666	OK
gene:FBgn0194407	-	-	gene:FBgn0194407	Dsim\GD23016	-	2L:284123-291097	-	-	3.21057	0.842735	5.5784	OK
gene:FBgn0194414	-	-	gene:FBgn0194414	Dsim\GD23023	-	2L:392662-393429	-	-	343.044	277.025	409.063	OK
gene:FBgn0194351	-	-	gene:FBgn0194351	Dsim\GD22958	-	2L:393607-394326	-	-	17.2113	4.20078	30.2218	OK
gene:FBgn0194415	-	-	gene:FBgn0194415	Dsim\GD23024	-	2L:394453-395286	-	-	0	0	0	OK
gene:FBgn0194416	-	-	gene:FBgn0194416	Dsim\GD23025	-	2L:395712-398362	-	-	0	0	0	OK
gene:FBgn0194353	-	-	gene:FBgn0194353	Dsim\GD22960	-	2L:381619-387359	-	-	0.891421	0	1.92075	OK
gene:FBgn0194388	-	-	gene:FBgn0194388	Dsim\GD22996	-	2L:4303-12624	-	-	3.16752	0.915511	5.41953	OK
gene:FBgn0194387	-	-	gene:FBgn0194387	Dsim\GD22995	-	2L:12402-17072	-	-	3.98798	1.28104	6.69492	OK
gene:FBgn0194418	-	-	gene:FBgn0194418	Dsim\GD23027	-	2L:425723-427279	-	-	11.6925	5.44261	17.9424	OK
gene:FBgn0194413	-	-	gene:FBgn0194413	Dsim\GD23022	-	2L:387808-391142	-	-	1.5807	0	3.43531	OK
gene:FBgn0194352	-	-	gene:FBgn0194352	Dsim\GD22959	-	2L:390327-392387	-	-	1.83439	0	4.87348	OK
gene:FBgn0194420	-	-	gene:FBgn0194420	Dsim\GD23029	-	2L:444788-447991	-	-	10.2993	5.90766	14.6909	OK
gene:FBgn0268971	-	-	gene:FBgn0268971	Dsim\GD27681	-	2L:451809-453328	-	-	0	0	0	OK
gene:FBgn0064356	-	-	gene:FBgn0064356	Dsim\crq	-	2L:421317-425630	-	-	79.8692	64.3414	95.3971	OK
gene:FBgn0194347	-	-	gene:FBgn0194347	Dsim\GD22953	-	2L:514732-515918	-	-	12.2168	4.84979	19.5838	OK
gene:FBgn0194348	-	-	gene:FBgn0194348	Dsim\cbt	-	2L:448586-451537	-	-	3.83711	0.426997	7.24722	OK
gene:FBgn0194346	-	-	gene:FBgn0194346	Dsim\GD22952	-	2L:516217-518062	-	-	11.9517	5.97583	17.9275	OK
gene:FBgn0194345	-	-	gene:FBgn0194345	Dsim\GD22951	-	2L:527164-532982	-	-	0	0	0	OK
gene:FBgn0194423	-	-	gene:FBgn0194423	Dsim\GD23032	-	2L:533029-533938	-	-	56.4566	37.1438	75.7695	OK
gene:FBgn0194417	-	-	gene:FBgn0194417	Dsim\GD23026	-	2L:404000-421240	-	-	0.322305	0	0.778749	OK
gene:FBgn0194422	-	-	gene:FBgn0194422	Dsim\GD23031	-	2L:518273-520443	-	-	2.31511	0	5.85392	OK
gene:FBgn0183737	-	-	gene:FBgn0183737	Dsim\GD11998	-	2L:520373-526916	-	-	0	0	0	OK
gene:FBgn0194377	-	-	gene:FBgn0194377	Dsim\GD22985	-	2L:126696-128719	-	-	0	0	0	OK
gene:FBgn0194376	-	-	gene:FBgn0194376	Dsim\GD22984	-	2L:128506-139217	-	-	0	0	0	OK
gene:FBgn0194373	-	-	gene:FBgn0194373	Dsim\GD22981	-	2L:139216-140988	-	-	0	0	0	OK
gene:FBgn0194396	-	-	gene:FBgn0194396	Dsim\GD23004	-	2L:140734-141761	-	-	607.308	500.809	713.808	OK
gene:FBgn0194397	-	-	gene:FBgn0194397	Dsim\GD23005	-	2L:141743-143416	-	-	0	0	0	OK
gene:FBgn0194395	-	-	gene:FBgn0194395	Dsim\GD23003	-	2L:128977-129813	-	-	10.3729	1.90347	18.8424	OK
gene:FBgn0194251	-	-	gene:FBgn0194251	Dsim\GD22857	-	2L:546581-547816	-	-	6.45034	1.18366	11.717	OK
gene:FBgn0194426	-	-	gene:FBgn0194426	Dsim\GD23035	-	2L:548069-549374	-	-	72.4911	50.143	94.8392	OK
gene:FBgn0194342	-	-	gene:FBgn0194342	Dsim\GD22948	-	2L:549158-550538	-	-	0	0	0	OK
gene:FBgn0194424	-	-	gene:FBgn0194424	Dsim\GD23033	-	2L:537629-539934	-	-	1.54069	0	3.59495	OK
gene:FBgn0194343	-	-	gene:FBgn0194343	Dsim\GD22949	-	2L:539821-541614	-	-	7.77884	2.87944	12.6782	OK
gene:FBgn0194344	-	-	gene:FBgn0194344	Dsim\GD22950	-	2L:534020-536782	-	-	1.00527	0	2.36335	OK
gene:FBgn0194341	-	-	gene:FBgn0194341	Dsim\GD22947	-	2L:557573-569697	-	-	0	0	0	OK
gene:FBgn0194421	-	-	gene:FBgn0194421	Dsim\GD23030	-	2L:462354-513822	-	-	1.01382	0.107032	1.92061	OK
gene:FBgn0194339	-	-	gene:FBgn0194339	Dsim\GD22945	-	2L:593912-594834	-	-	0	0	0	OK
gene:FBgn0194427	-	-	gene:FBgn0194427	Dsim\GD23036	-	2L:551116-553129	-	-	2.33545	0	4.67204	OK
gene:FBgn0194430	-	-	gene:FBgn0194430	Dsim\GD23039	-	2L:598170-599133	-	-	0	0	0	OK
gene:FBgn0194431	-	-	gene:FBgn0194431	Dsim\GD23040	-	2L:599214-602547	-	-	0	0	0	OK
gene:FBgn0194428	-	-	gene:FBgn0194428	Dsim\GD23037	-	2L:576335-577184	-	-	9.05101	0	22.2457	OK
gene:FBgn0194432	-	-	gene:FBgn0194432	Dsim\GD23041	-	2L:692529-694727	-	-	0	0	0	OK
gene:FBgn0194338	-	-	gene:FBgn0194338	Dsim\GD22944	-	2L:613560-680238	-	-	0	0	0	OK
gene:FBgn0268505	-	-	gene:FBgn0268505	Dsim\GD27215	-	2L:648492-658224	-	-	0	0	0	OK
gene:FBgn0194434	-	-	gene:FBgn0194434	Dsim\GD23043	-	2L:736063-736527	-	-	0	0	0	OK
gene:FBgn0270002	-	-	gene:FBgn0270002	Dsim\GD28712	-	2L:541820-546273	-	-	1.05633	0	2.11317	OK
gene:FBgn0270806	-	-	gene:FBgn0270806	Dsim\GD29516	-	2L:739134-739597	-	-	0	0	0	OK
gene:FBgn0269736	-	-	gene:FBgn0269736	Dsim\GD28446	-	2L:741794-742333	-	-	0	0	0	OK
gene:FBgn0194435	-	-	gene:FBgn0194435	Dsim\GD23044	-	2L:742416-745539	-	-	0	0	0	OK
gene:FBgn0194437	-	-	gene:FBgn0194437	Dsim\GD23046	-	2L:773581-774474	-	-	0	0	0	OK
