tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0067532	-	-	gene:FBgn0067532	Dsim\18w	-	2R:16535351-16540778	-	-	4.04801	3.57229	4.52372	OK
gene:FBgn0195143	-	-	gene:FBgn0195143	Dsim\ab	-	2L:10868671-10913783	-	-	0.213222	0.0801727	0.346272	OK
gene:FBgn0025043	-	-	gene:FBgn0025043	Dsim\Abd-B	-	3R:8497492-8503049	-	-	0.656662	0.420782	0.892542	OK
gene:FBgn0022516	-	-	gene:FBgn0022516	Dsim\Ace	-	3R:12087669-12124207	-	-	3.27616	2.84703	3.70529	OK
gene:FBgn0083474	-	-	gene:FBgn0083474	Dsim\Acp24A4	-	2L:3546647-3547075	-	-	0	0	0	OK
gene:FBgn0012820	-	-	gene:FBgn0012820	Dsim\Acp26Aa	-	2L:5688298-5689540	-	-	0	0	0	OK
gene:FBgn0012821	-	-	gene:FBgn0012821	Dsim\Acp26Ab	-	2L:5687785-5688268	-	-	0	0	0	OK
gene:FBgn0027418	-	-	gene:FBgn0027418	Dsim\Acp29AB	-	2L:8119341-8120161	-	-	0	0	0	OK
gene:FBgn0043403	-	-	gene:FBgn0043403	Dsim\Acp32CD	-	2L:10672874-10673831	-	-	0	0	0	OK
gene:FBgn0041931	-	-	gene:FBgn0041931	Dsim\Acp36DE	-	2L:17881902-17884951	-	-	0	0	0	OK
gene:FBgn0069522	-	-	gene:FBgn0069522	Dsim\Acp53C14a	-	2R:13307178-13307744	-	-	0	0	0	OK
gene:FBgn0069521	-	-	gene:FBgn0069521	Dsim\Acp53C14b	-	2R:13308034-13308627	-	-	0	0	0	OK
gene:FBgn0069520	-	-	gene:FBgn0069520	Dsim\Acp53C14c	-	2R:13309953-13310651	-	-	0	0	0	OK
gene:FBgn0043401	-	-	gene:FBgn0043401	Dsim\Acp53Ea	-	2R:13308966-13309522	-	-	0	0	0	OK
gene:FBgn0083473	-	-	gene:FBgn0083473	Dsim\Acp54A1	-	2R:13691525-13692624	-	-	54.8306	50.7434	58.9178	OK
gene:FBgn0043400	-	-	gene:FBgn0043400	Dsim\Acp62F	-	3L:2626902-2627356	-	-	0.279772	0	0.839317	OK
gene:FBgn0043399	-	-	gene:FBgn0043399	Dsim\Acp63F	-	3L:3706477-3706991	-	-	1.01186	0	2.44485	OK
gene:FBgn0021129	-	-	gene:FBgn0021129	Dsim\Acp70A	-	3L:12996204-12996530	-	-	0	0	0	OK
gene:FBgn0043398	-	-	gene:FBgn0043398	Dsim\Acp76A	-	3L:18563517-18564816	-	-	0	0	0	OK
