tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0194385	-	-	gene:FBgn0194385	Dsim\GD22993	-	2L:68625-73550	-	-	1.79445	1.24769	2.34121	OK
gene:FBgn0270109	-	-	gene:FBgn0270109	Dsim\GD28819	-	2L:70416-71441	-	-	0.777171	0.148507	1.40584	OK
gene:FBgn0268949	-	-	gene:FBgn0268949	Dsim\GD27659	-	2L:62374-64558	-	-	0.16698	0	0.430757	OK
gene:FBgn0194389	-	-	gene:FBgn0194389	Dsim\GD22997	-	2L:52875-57228	-	-	8.54912	7.77259	9.32565	OK
gene:FBgn0194392	-	-	gene:FBgn0194392	Dsim\GD23000	-	2L:88485-90382	-	-	47.4329	43.9432	50.9226	OK
gene:FBgn0194383	-	-	gene:FBgn0194383	Dsim\GD22991	-	2L:90146-92857	-	-	13.6314	12.0827	15.18	OK
gene:FBgn0194390	-	-	gene:FBgn0194390	Dsim\GD22998	-	2L:57386-62301	-	-	51.252	47.7752	54.7287	OK
gene:FBgn0194391	-	-	gene:FBgn0194391	Dsim\GD22999	-	2L:80797-88201	-	-	7.72421	7.10837	8.34005	OK
gene:FBgn0194381	-	-	gene:FBgn0194381	Dsim\GD22989	-	2L:102312-107189	-	-	10.5247	9.30855	11.7409	OK
gene:FBgn0194379	-	-	gene:FBgn0194379	Dsim\GD22987	-	2L:124258-125065	-	-	0	0	0	OK
gene:FBgn0194378	-	-	gene:FBgn0194378	Dsim\GD22986	-	2L:125066-126612	-	-	1.71946	1.0563	2.38263	OK
gene:FBgn0194394	-	-	gene:FBgn0194394	Dsim\GD23002	-	2L:117804-120212	-	-	169.421	164.479	174.363	OK
gene:FBgn0194372	-	-	gene:FBgn0194372	Dsim\GD22980	-	2L:143543-144557	-	-	9.37711	7.19134	11.5629	OK
gene:FBgn0269357	-	-	gene:FBgn0269357	Dsim\GD28067	-	2L:144751-146058	-	-	1.73892	1.01012	2.46772	OK
gene:FBgn0194380	-	-	gene:FBgn0194380	Dsim\GD22988	-	2L:108383-114960	-	-	114.662	108.569	120.756	OK
gene:FBgn0194400	-	-	gene:FBgn0194400	Dsim\GD23008	-	2L:189769-190800	-	-	66.3087	60.4175	72.1999	OK
gene:FBgn0194371	-	-	gene:FBgn0194371	Dsim\GD22979	-	2L:190774-193310	-	-	8.13842	6.70088	9.57595	OK
gene:FBgn0194393	-	-	gene:FBgn0194393	Dsim\GD23001	-	2L:93850-100414	-	-	299.795	289.335	310.255	OK
gene:FBgn0194382	-	-	gene:FBgn0194382	Dsim\GD22990	-	2L:100140-102233	-	-	0	0	0	OK
gene:FBgn0194401	-	-	gene:FBgn0194401	Dsim\GD23009	-	2L:193432-196511	-	-	21.7477	20.222	23.2735	OK
gene:FBgn0194368	-	-	gene:FBgn0194368	Dsim\GD22976	-	2L:237335-238539	-	-	19.0252	16.4831	21.5674	OK
gene:FBgn0194388	-	-	gene:FBgn0194388	Dsim\GD22996	-	2L:4303-12624	-	-	27.117	25.5342	28.6999	OK
gene:FBgn0194387	-	-	gene:FBgn0194387	Dsim\GD22995	-	2L:12402-17072	-	-	0	0	0	OK
gene:FBgn0194366	-	-	gene:FBgn0194366	Dsim\GD22973	-	2L:258159-259994	-	-	26.8013	24.7874	28.8152	OK
gene:FBgn0194367	-	-	gene:FBgn0194367	Dsim\GD22975	-	2L:238769-258006	-	-	12.554	10.9866	14.1214	OK
gene:FBgn0085134	-	-	gene:FBgn0085134	Dsim\GD22974	-	2L:249418-255255	-	-	0.207123	0.103561	0.310684	OK
gene:FBgn0194403	-	-	gene:FBgn0194403	Dsim\GD23011	-	2L:255350-257801	-	-	0.121409	0	0.242877	OK
