tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0268949	-	-	gene:FBgn0268949	Dsim\GD27659	-	2L:62374-64558	-	-	0	0	0	OK
gene:FBgn0194385	-	-	gene:FBgn0194385	Dsim\GD22993	-	2L:68625-73550	-	-	0	0	0	OK
gene:FBgn0270109	-	-	gene:FBgn0270109	Dsim\GD28819	-	2L:70416-71441	-	-	0	0	0	OK
gene:FBgn0194394	-	-	gene:FBgn0194394	Dsim\GD23002	-	2L:117804-120212	-	-	44.7378	34.4871	54.9886	OK
gene:FBgn0194379	-	-	gene:FBgn0194379	Dsim\GD22987	-	2L:124258-125065	-	-	0	0	0	OK
gene:FBgn0194378	-	-	gene:FBgn0194378	Dsim\GD22986	-	2L:125066-126612	-	-	3.27621	0	7.05925	OK
gene:FBgn0194392	-	-	gene:FBgn0194392	Dsim\GD23000	-	2L:88485-90382	-	-	8.22993	1.52321	14.9367	OK
gene:FBgn0194383	-	-	gene:FBgn0194383	Dsim\GD22991	-	2L:90146-92857	-	-	1.17933	0	3.24625	OK
gene:FBgn0194389	-	-	gene:FBgn0194389	Dsim\GD22997	-	2L:52875-57228	-	-	2.97409	1.05376	4.89443	OK
gene:FBgn0194372	-	-	gene:FBgn0194372	Dsim\GD22980	-	2L:143543-144557	-	-	0	0	0	OK
gene:FBgn0269357	-	-	gene:FBgn0269357	Dsim\GD28067	-	2L:144751-146058	-	-	0	0	0	OK
gene:FBgn0194381	-	-	gene:FBgn0194381	Dsim\GD22989	-	2L:102312-107189	-	-	4.54616	0.807149	8.28516	OK
gene:FBgn0194380	-	-	gene:FBgn0194380	Dsim\GD22988	-	2L:108383-114960	-	-	35.5454	27.0754	44.0155	OK
gene:FBgn0194390	-	-	gene:FBgn0194390	Dsim\GD22998	-	2L:57386-62301	-	-	24.7232	13.5324	35.9141	OK
gene:FBgn0194401	-	-	gene:FBgn0194401	Dsim\GD23009	-	2L:193432-196511	-	-	3.89352	1.29784	6.48921	OK
gene:FBgn0194368	-	-	gene:FBgn0194368	Dsim\GD22976	-	2L:237335-238539	-	-	0	0	0	OK
gene:FBgn0194400	-	-	gene:FBgn0194400	Dsim\GD23008	-	2L:189769-190800	-	-	6.1425	0	13.0041	OK
gene:FBgn0194371	-	-	gene:FBgn0194371	Dsim\GD22979	-	2L:190774-193310	-	-	3.60551	0	8.55672	OK
gene:FBgn0194366	-	-	gene:FBgn0194366	Dsim\GD22973	-	2L:258159-259994	-	-	5.8472	1.94907	9.74533	OK
gene:FBgn0194391	-	-	gene:FBgn0194391	Dsim\GD22999	-	2L:80797-88201	-	-	0.206338	0	0.619014	OK
gene:FBgn0194406	-	-	gene:FBgn0194406	Dsim\GD23014	-	2L:278661-279303	-	-	17.1672	3.15023	31.1841	OK
gene:FBgn0194360	-	-	gene:FBgn0194360	Dsim\GD22967	-	2L:279596-280956	-	-	3.60579	0	7.21333	OK
gene:FBgn0194363	-	-	gene:FBgn0194363	Dsim\GD22970	-	2L:269569-278035	-	-	12.5482	4.19632	20.9	OK
gene:FBgn0194362	-	-	gene:FBgn0194362	Dsim\GD22969	-	2L:273397-277003	-	-	0	0	0	OK
gene:FBgn0066163	-	-	gene:FBgn0066163	Dsim\Hop	-	2L:281402-283722	-	-	13.2177	7.78521	18.6501	OK
gene:FBgn0194393	-	-	gene:FBgn0194393	Dsim\GD23001	-	2L:93850-100414	-	-	105.186	88.0235	122.348	OK
gene:FBgn0194382	-	-	gene:FBgn0194382	Dsim\GD22990	-	2L:100140-102233	-	-	17.3632	9.44402	25.2823	OK
gene:FBgn0194411	-	-	gene:FBgn0194411	Dsim\GD23020	-	2L:350596-360236	-	-	0	0	0	OK
gene:FBgn0194367	-	-	gene:FBgn0194367	Dsim\GD22975	-	2L:238769-258006	-	-	0.661447	0	2.98169	OK
gene:FBgn0085134	-	-	gene:FBgn0085134	Dsim\GD22974	-	2L:249418-255255	-	-	0.574883	0	1.2387	OK
gene:FBgn0194403	-	-	gene:FBgn0194403	Dsim\GD23011	-	2L:255350-257801	-	-	0	0	0	OK
gene:FBgn0194404	-	-	gene:FBgn0194404	Dsim\GD23012	-	2L:260127-261070	-	-	0	0	0	OK
gene:FBgn0194405	-	-	gene:FBgn0194405	Dsim\GD23013	-	2L:264129-268440	-	-	3.29209	0.819157	5.76502	OK
gene:FBgn0194365	-	-	gene:FBgn0194365	Dsim\GD22972	-	2L:261047-264540	-	-	7.17757	3.50765	10.8475	OK
gene:FBgn0194364	-	-	gene:FBgn0194364	Dsim\GD22971	-	2L:268138-269409	-	-	18.8676	7.75031	29.9849	OK
gene:FBgn0194354	-	-	gene:FBgn0194354	Dsim\GD22961	-	2L:369450-374938	-	-	3.43134	1.71567	5.147	OK
gene:FBgn0194407	-	-	gene:FBgn0194407	Dsim\GD23016	-	2L:284123-291097	-	-	5.12867	2.04507	8.21227	OK
gene:FBgn0194414	-	-	gene:FBgn0194414	Dsim\GD23023	-	2L:392662-393429	-	-	430.969	357.058	504.88	OK
gene:FBgn0194412	-	-	gene:FBgn0194412	Dsim\GD23021	-	2L:376937-381423	-	-	1.64121	0.173267	3.10916	OK
gene:FBgn0194351	-	-	gene:FBgn0194351	Dsim\GD22958	-	2L:393607-394326	-	-	11.449	1.2087	21.6892	OK
gene:FBgn0194415	-	-	gene:FBgn0194415	Dsim\GD23024	-	2L:394453-395286	-	-	0	0	0	OK
gene:FBgn0194416	-	-	gene:FBgn0194416	Dsim\GD23025	-	2L:395712-398362	-	-	0	0	0	OK
gene:FBgn0194353	-	-	gene:FBgn0194353	Dsim\GD22960	-	2L:381619-387359	-	-	1.7396	0.319222	3.15998	OK
gene:FBgn0194418	-	-	gene:FBgn0194418	Dsim\GD23027	-	2L:425723-427279	-	-	9.23671	3.66677	14.8067	OK
gene:FBgn0194388	-	-	gene:FBgn0194388	Dsim\GD22996	-	2L:4303-12624	-	-	10.2794	6.697	13.8619	OK
gene:FBgn0194387	-	-	gene:FBgn0194387	Dsim\GD22995	-	2L:12402-17072	-	-	3.38897	1.03151	5.74643	OK
gene:FBgn0194420	-	-	gene:FBgn0194420	Dsim\GD23029	-	2L:444788-447991	-	-	10.0276	5.7518	14.3033	OK
gene:FBgn0194413	-	-	gene:FBgn0194413	Dsim\GD23022	-	2L:387808-391142	-	-	2.17308	0.0961791	4.24999	OK
gene:FBgn0194352	-	-	gene:FBgn0194352	Dsim\GD22959	-	2L:390327-392387	-	-	1.87031	0	4.76023	OK
gene:FBgn0268971	-	-	gene:FBgn0268971	Dsim\GD27681	-	2L:451809-453328	-	-	0	0	0	OK
gene:FBgn0194377	-	-	gene:FBgn0194377	Dsim\GD22985	-	2L:126696-128719	-	-	0	0	0	OK
gene:FBgn0194376	-	-	gene:FBgn0194376	Dsim\GD22984	-	2L:128506-139217	-	-	0	0	0	OK
gene:FBgn0194373	-	-	gene:FBgn0194373	Dsim\GD22981	-	2L:139216-140988	-	-	0	0	0	OK
gene:FBgn0194396	-	-	gene:FBgn0194396	Dsim\GD23004	-	2L:140734-141761	-	-	680.938	570.064	791.812	OK
gene:FBgn0194397	-	-	gene:FBgn0194397	Dsim\GD23005	-	2L:141743-143416	-	-	0	0	0	OK
gene:FBgn0194395	-	-	gene:FBgn0194395	Dsim\GD23003	-	2L:128977-129813	-	-	18.9207	7.51108	30.3303	OK
gene:FBgn0194347	-	-	gene:FBgn0194347	Dsim\GD22953	-	2L:514732-515918	-	-	12.4519	4.94313	19.9607	OK
gene:FBgn0064356	-	-	gene:FBgn0064356	Dsim\crq	-	2L:421317-425630	-	-	88.1836	72.449	103.918	OK
gene:FBgn0194348	-	-	gene:FBgn0194348	Dsim\cbt	-	2L:448586-451537	-	-	9.48791	4.60492	14.3709	OK
gene:FBgn0194346	-	-	gene:FBgn0194346	Dsim\GD22952	-	2L:516217-518062	-	-	11.5103	5.5118	17.5088	OK
gene:FBgn0194423	-	-	gene:FBgn0194423	Dsim\GD23032	-	2L:533029-533938	-	-	97.9215	72.0503	123.793	OK
gene:FBgn0194422	-	-	gene:FBgn0194422	Dsim\GD23031	-	2L:518273-520443	-	-	0.673382	0	4.00582	OK
gene:FBgn0183737	-	-	gene:FBgn0183737	Dsim\GD11998	-	2L:520373-526916	-	-	0	0	0	OK
gene:FBgn0194417	-	-	gene:FBgn0194417	Dsim\GD23026	-	2L:404000-421240	-	-	0.314588	0	0.760103	OK
gene:FBgn0194421	-	-	gene:FBgn0194421	Dsim\GD23030	-	2L:462354-513822	-	-	1.83501	0.61167	3.05835	OK
gene:FBgn0194424	-	-	gene:FBgn0194424	Dsim\GD23033	-	2L:537629-539934	-	-	1.5225	0	3.58572	OK
gene:FBgn0194343	-	-	gene:FBgn0194343	Dsim\GD22949	-	2L:539821-541614	-	-	2.87499	0	6.24936	OK
gene:FBgn0194251	-	-	gene:FBgn0194251	Dsim\GD22857	-	2L:546581-547816	-	-	24.6218	14.3025	34.941	OK
gene:FBgn0194344	-	-	gene:FBgn0194344	Dsim\GD22950	-	2L:534020-536782	-	-	5.19129	2.342	8.04057	OK
gene:FBgn0194341	-	-	gene:FBgn0194341	Dsim\GD22947	-	2L:557573-569697	-	-	0	0	0	OK
gene:FBgn0194427	-	-	gene:FBgn0194427	Dsim\GD23036	-	2L:551116-553129	-	-	1.20467	0	2.91072	OK
gene:FBgn0194426	-	-	gene:FBgn0194426	Dsim\GD23035	-	2L:548069-549374	-	-	98.5144	73.1278	123.901	OK
gene:FBgn0194342	-	-	gene:FBgn0194342	Dsim\GD22948	-	2L:549158-550538	-	-	0	0	0	OK
gene:FBgn0194428	-	-	gene:FBgn0194428	Dsim\GD23037	-	2L:576335-577184	-	-	23.5229	6.35679	40.6889	OK
gene:FBgn0194339	-	-	gene:FBgn0194339	Dsim\GD22945	-	2L:593912-594834	-	-	0	0	0	OK
gene:FBgn0194430	-	-	gene:FBgn0194430	Dsim\GD23039	-	2L:598170-599133	-	-	0	0	0	OK
gene:FBgn0194431	-	-	gene:FBgn0194431	Dsim\GD23040	-	2L:599214-602547	-	-	0	0	0	OK
gene:FBgn0194432	-	-	gene:FBgn0194432	Dsim\GD23041	-	2L:692529-694727	-	-	0	0	0	OK
gene:FBgn0270002	-	-	gene:FBgn0270002	Dsim\GD28712	-	2L:541820-546273	-	-	4.48828	2.31114	6.66542	OK
gene:FBgn0194434	-	-	gene:FBgn0194434	Dsim\GD23043	-	2L:736063-736527	-	-	0	0	0	OK
gene:FBgn0270806	-	-	gene:FBgn0270806	Dsim\GD29516	-	2L:739134-739597	-	-	0	0	0	OK
gene:FBgn0269736	-	-	gene:FBgn0269736	Dsim\GD28446	-	2L:741794-742333	-	-	3.971	0	11.913	OK
gene:FBgn0194435	-	-	gene:FBgn0194435	Dsim\GD23044	-	2L:742416-745539	-	-	0	0	0	OK
gene:FBgn0194436	-	-	gene:FBgn0194436	Dsim\GD23045	-	2L:746714-748697	-	-	0	0	0	OK
gene:FBgn0194336	-	-	gene:FBgn0194336	Dsim\GD22942	-	2L:748645-753305	-	-	0.846432	0	2.31716	OK
gene:FBgn0194437	-	-	gene:FBgn0194437	Dsim\GD23046	-	2L:773581-774474	-	-	2.21294	0	6.63882	OK
