tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0067532	-	-	gene:FBgn0067532	Dsim\18w	-	2R:16535351-16540778	-	-	4.8246	4.29294	5.35627	OK
gene:FBgn0195143	-	-	gene:FBgn0195143	Dsim\ab	-	2L:10868671-10913783	-	-	0.478693	0.282147	0.675239	OK
gene:FBgn0025043	-	-	gene:FBgn0025043	Dsim\Abd-B	-	3R:8497492-8503049	-	-	0.851526	0.573971	1.12908	OK
gene:FBgn0022516	-	-	gene:FBgn0022516	Dsim\Ace	-	3R:12087669-12124207	-	-	4.03375	3.53648	4.53103	OK
gene:FBgn0083474	-	-	gene:FBgn0083474	Dsim\Acp24A4	-	2L:3546647-3547075	-	-	0	0	0	OK
gene:FBgn0012820	-	-	gene:FBgn0012820	Dsim\Acp26Aa	-	2L:5688298-5689540	-	-	0	0	0	OK
gene:FBgn0012821	-	-	gene:FBgn0012821	Dsim\Acp26Ab	-	2L:5687785-5688268	-	-	0	0	0	OK
gene:FBgn0027418	-	-	gene:FBgn0027418	Dsim\Acp29AB	-	2L:8119341-8120161	-	-	0	0	0	OK
gene:FBgn0043403	-	-	gene:FBgn0043403	Dsim\Acp32CD	-	2L:10672874-10673831	-	-	0	0	0	OK
gene:FBgn0041931	-	-	gene:FBgn0041931	Dsim\Acp36DE	-	2L:17881902-17884951	-	-	0	0	0	OK
gene:FBgn0069522	-	-	gene:FBgn0069522	Dsim\Acp53C14a	-	2R:13307178-13307744	-	-	0	0	0	OK
gene:FBgn0069521	-	-	gene:FBgn0069521	Dsim\Acp53C14b	-	2R:13308034-13308627	-	-	0	0	0	OK
gene:FBgn0069520	-	-	gene:FBgn0069520	Dsim\Acp53C14c	-	2R:13309953-13310651	-	-	0.317236	0	1.35653	OK
gene:FBgn0043401	-	-	gene:FBgn0043401	Dsim\Acp53Ea	-	2R:13308966-13309522	-	-	0.300431	0	0.901294	OK
gene:FBgn0083473	-	-	gene:FBgn0083473	Dsim\Acp54A1	-	2R:13691525-13692624	-	-	66.8196	62.1316	71.5076	OK
gene:FBgn0043400	-	-	gene:FBgn0043400	Dsim\Acp62F	-	3L:2626902-2627356	-	-	0	0	0	OK
gene:FBgn0043399	-	-	gene:FBgn0043399	Dsim\Acp63F	-	3L:3706477-3706991	-	-	0.555493	0	1.66648	OK
gene:FBgn0021129	-	-	gene:FBgn0021129	Dsim\Acp70A	-	3L:12996204-12996530	-	-	0	0	0	OK
gene:FBgn0043398	-	-	gene:FBgn0043398	Dsim\Acp76A	-	3L:18563517-18564816	-	-	0	0	0	OK
gene:FBgn0018327	-	-	gene:FBgn0018327	Dsim\Acph-1	-	3R:25165383-25167168	-	-	10.6575	9.19173	12.1233	OK
gene:FBgn0012823	-	-	gene:FBgn0012823	Dsim\Act88F	-	3R:9961335-9963180	-	-	2252.58	2226.89	2278.27	OK
gene:FBgn0069519	-	-	gene:FBgn0069519	Dsim\Acyp	-	2L:13450227-13450783	-	-	0	0	0	OK
gene:FBgn0012824	-	-	gene:FBgn0012824	Dsim\Adh	-	2L:14154544-14156368	-	-	1367.77	1306.96	1428.57	OK
gene:FBgn0012825	-	-	gene:FBgn0012825	Dsim\Adhr	-	2L:14154546-14157850	-	-	0	0	0	OK
gene:FBgn0084546	-	-	gene:FBgn0084546	Dsim\AGO1	-	2R:10518740-10533429	-	-	21.34	20.0826	22.5975	OK
gene:FBgn0084451	-	-	gene:FBgn0084451	Dsim\AGO2	-	3L:15180619-15185845	-	-	37.267	34.8733	39.6608	OK
gene:FBgn0027806	-	-	gene:FBgn0027806	Dsim\alpha-Est4	-	3R:3281037-3283231	-	-	1.0329	0.566196	1.4996	OK
gene:FBgn0027804	-	-	gene:FBgn0027804	Dsim\alpha-Est6	-	3R:3268399-3272730	-	-	0.250303	0.0264251	0.47418	OK
gene:FBgn0083472	-	-	gene:FBgn0083472	Dsim\AlstR	-	X:6544554-6547768	-	-	19.583	17.9069	21.259	OK
gene:FBgn0084450	-	-	gene:FBgn0084450	Dsim\aly	-	3L:2892313-2894305	-	-	0.0445899	0	0.13377	OK
gene:FBgn0046919	-	-	gene:FBgn0046919	Dsim\Ama	-	3R:2480200-2484535	-	-	0.915114	0.368458	1.46177	OK
gene:FBgn0018304	-	-	gene:FBgn0018304	Dsim\amd	-	2L:18626825-18630775	-	-	8.01918	6.75719	9.28117	OK
gene:FBgn0012826	-	-	gene:FBgn0012826	Dsim\Amy-d	-	2R:13681789-13683120	-	-	136.31	130.391	142.228	OK
gene:FBgn0012827	-	-	gene:FBgn0012827	Dsim\Amy-p	-	2R:13676780-13677268	-	-	105.744	95.0893	116.398	OK
gene:FBgn0021128	-	-	gene:FBgn0021128	Dsim\Amyrel	-	2R:13210915-13212544	-	-	12.0566	10.2945	13.8186	OK
gene:FBgn0262093	-	-	gene:FBgn0262093	Dsim\Ance	-	2L:13443918-13447412	-	-	54.1903	51.2048	57.1757	OK
gene:FBgn0027802	-	-	gene:FBgn0027802	Dsim\anon-EST:fe1A3	-	3R:26848843-26852900	-	-	35.6515	33.719	37.584	OK
gene:FBgn0027801	-	-	gene:FBgn0027801	Dsim\anon-EST:fe1E9	-	3R:16194378-16196683	-	-	12.6944	11.3151	14.0736	OK
gene:FBgn0025411	-	-	gene:FBgn0025411	Dsim\Anp	-	3R:25380943-25381317	-	-	0	0	0	OK
