tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
gene:FBgn0255862	-	-	gene:FBgn0255862	Dsec\18SrRNA:GM27729	-	scaffold_204:13059-15056	-	-	630.287	531.551	729.023	OK
gene:FBgn0255863	-	-	gene:FBgn0255863	Dsec\18SrRNA:GM27730	-	scaffold_1920:3346-5276	-	-	1199.79	1059.96	1339.62	OK
gene:FBgn0255864	-	-	gene:FBgn0255864	Dsec\18SrRNA:GM27731	-	scaffold_2973:933-2864	-	-	1066.46	934.233	1198.68	OK
gene:FBgn0255865	-	-	gene:FBgn0255865	Dsec\18SrRNA:GM27732	-	scaffold_3469:658-2585	-	-	1084.52	951.127	1217.92	OK
gene:FBgn0255866	-	-	gene:FBgn0255866	Dsec\18SrRNA:GM27733	-	scaffold_3538:207-2198	-	-	1161.96	1026.63	1297.28	OK
gene:FBgn0255867	-	-	gene:FBgn0255867	Dsec\18SrRNA:GM27734	-	scaffold_3754:168-2165	-	-	810.08	698.075	922.086	OK
gene:FBgn0255077	-	-	gene:FBgn0255077	Dsec\5.8SrRNA:GM26944	-	scaffold_10320:251-430	-	-	1228.29	0	2457.18	OK
gene:FBgn0255078	-	-	gene:FBgn0255078	Dsec\5.8SrRNA:GM26945	-	scaffold_10362:1076-1255	-	-	3070.74	1088	5053.47	OK
gene:FBgn0255079	-	-	gene:FBgn0255079	Dsec\5.8SrRNA:GM26946	-	scaffold_10390:617-796	-	-	4913.18	2456.59	7369.77	OK
gene:FBgn0255080	-	-	gene:FBgn0255080	Dsec\5.8SrRNA:GM26947	-	scaffold_10473:1028-1207	-	-	3684.88	1549.35	5820.42	OK
gene:FBgn0255081	-	-	gene:FBgn0255081	Dsec\5.8SrRNA:GM26948	-	scaffold_10564:1314-1349	-	-	0	0	0	OK
gene:FBgn0255082	-	-	gene:FBgn0255082	Dsec\5.8SrRNA:GM26949	-	scaffold_10700:587-766	-	-	4606.1	2205.67	7006.54	OK
gene:FBgn0255083	-	-	gene:FBgn0255083	Dsec\5.8SrRNA:GM26950	-	scaffold_10846:467-646	-	-	3991.96	1777.62	6206.3	OK
gene:FBgn0255084	-	-	gene:FBgn0255084	Dsec\5.8SrRNA:GM26951	-	scaffold_10880:474-653	-	-	3684.88	1549.35	5820.42	OK
gene:FBgn0255085	-	-	gene:FBgn0255085	Dsec\5.8SrRNA:GM26952	-	scaffold_10893:23-203	-	-	2106.82	514.213	3699.42	OK
gene:FBgn0255086	-	-	gene:FBgn0255086	Dsec\5.8SrRNA:GM26953	-	scaffold_11057:737-916	-	-	3991.96	1777.62	6206.3	OK
gene:FBgn0255087	-	-	gene:FBgn0255087	Dsec\5.8SrRNA:GM26954	-	scaffold_11086:239-418	-	-	2763.05	921.016	4605.08	OK
gene:FBgn0255088	-	-	gene:FBgn0255088	Dsec\5.8SrRNA:GM26955	-	scaffold_11087:1111-1290	-	-	3684.88	1549.35	5820.42	OK
gene:FBgn0255089	-	-	gene:FBgn0255089	Dsec\5.8SrRNA:GM26956	-	scaffold_11253:817-996	-	-	3684.88	1549.35	5820.42	OK
gene:FBgn0255090	-	-	gene:FBgn0255090	Dsec\5.8SrRNA:GM26957	-	scaffold_11278:724-903	-	-	4039.16	1798.64	6279.68	OK
gene:FBgn0255091	-	-	gene:FBgn0255091	Dsec\5.8SrRNA:GM26958	-	scaffold_11373:164-343	-	-	4606.1	2205.67	7006.54	OK
gene:FBgn0255092	-	-	gene:FBgn0255092	Dsec\5.8SrRNA:GM26959	-	scaffold_11385:826-1005	-	-	1842.44	338.094	3346.79	OK
gene:FBgn0255093	-	-	gene:FBgn0255093	Dsec\5.8SrRNA:GM26960	-	scaffold_11636:599-778	-	-	2456.59	719.518	4193.66	OK
gene:FBgn0255094	-	-	gene:FBgn0255094	Dsec\5.8SrRNA:GM26961	-	scaffold_11815:498-677	-	-	4913.18	2456.59	7369.77	OK
gene:FBgn0255095	-	-	gene:FBgn0255095	Dsec\5.8SrRNA:GM26962	-	scaffold_11864:1055-1220	-	-	3443.36	1008.54	5878.19	OK
gene:FBgn0255096	-	-	gene:FBgn0255096	Dsec\5.8SrRNA:GM26963	-	scaffold_11923:626-805	-	-	3070.74	1088	5053.47	OK
gene:FBgn0255097	-	-	gene:FBgn0255097	Dsec\5.8SrRNA:GM26964	-	scaffold_12019:870-1049	-	-	5527.33	2920	8134.65	OK
gene:FBgn0255098	-	-	gene:FBgn0255098	Dsec\5.8SrRNA:GM26965	-	scaffold_12359:829-1008	-	-	6141.47	3394.92	8888.02	OK
gene:FBgn0255104	-	-	gene:FBgn0255104	Dsec\5.8SrRNA:GM26971	-	scaffold_12717:108-287	-	-	3070.74	1088	5053.47	OK
gene:FBgn0255105	-	-	gene:FBgn0255105	Dsec\5.8SrRNA:GM26972	-	scaffold_12815:538-717	-	-	3684.88	1549.35	5820.42	OK
gene:FBgn0255106	-	-	gene:FBgn0255106	Dsec\5.8SrRNA:GM26973	-	scaffold_12857:612-791	-	-	4299.03	2001.1	6596.96	OK
gene:FBgn0255107	-	-	gene:FBgn0255107	Dsec\5.8SrRNA:GM26974	-	scaffold_13093:813-992	-	-	2763.66	921.221	4606.1	OK
gene:FBgn0255108	-	-	gene:FBgn0255108	Dsec\5.8SrRNA:GM26975	-	scaffold_13293:0-30	-	-	0	0	0	OK
gene:FBgn0255109	-	-	gene:FBgn0255109	Dsec\5.8SrRNA:GM26976	-	scaffold_13304:672-851	-	-	1842.44	338.094	3346.79	OK
gene:FBgn0255110	-	-	gene:FBgn0255110	Dsec\5.8SrRNA:GM26977	-	scaffold_13324:186-366	-	-	3912.66	1742.31	6083.01	OK
gene:FBgn0255111	-	-	gene:FBgn0255111	Dsec\5.8SrRNA:GM26978	-	scaffold_13341:404-583	-	-	3377.81	1340.91	5414.71	OK
gene:FBgn0255112	-	-	gene:FBgn0255112	Dsec\5.8SrRNA:GM26979	-	scaffold_13379:417-596	-	-	3070.74	1088	5053.47	OK
gene:FBgn0255113	-	-	gene:FBgn0255113	Dsec\5.8SrRNA:GM26980	-	scaffold_13393:488-667	-	-	2763.66	921.221	4606.1	OK
gene:FBgn0255114	-	-	gene:FBgn0255114	Dsec\5.8SrRNA:GM26981	-	scaffold_13515:495-674	-	-	1842.44	338.094	3346.79	OK
gene:FBgn0255117	-	-	gene:FBgn0255117	Dsec\5.8SrRNA:GM26984	-	scaffold_1844:4851-5031	-	-	4940.83	2470.42	7411.25	OK
gene:FBgn0255118	-	-	gene:FBgn0255118	Dsec\5.8SrRNA:GM26985	-	scaffold_1872:2065-2244	-	-	2154.9	525.949	3783.85	OK
gene:FBgn0255119	-	-	gene:FBgn0255119	Dsec\5.8SrRNA:GM26986	-	scaffold_204:12189-12368	-	-	2456.59	719.518	4193.66	OK
